Row Label,County,Susan K. Kirkendall
Washtucna City #1,AD,83
Batum,AD,68
Othello Rural #1,AD,67
Hatton Rural,AD,27
Ralston,AD,25
Hatton City,AD,15
Othello Rural #6,AD,137
Othello Rural #4,AD,123
Othello Rural #5,AD,77
Ritzville Rural NW,AD,127
Fairview,AD,25
Benge,AD,20
Ritzville Rural SE,AD,114
Ritzville Ward #5,AD,125
Ritzville Ward #4,AD,107
Ritzville Ward #1,AD,82
Ritzville Ward #3,AD,144
Ritzville Ward #2,AD,76
Schrag,AD,28
Cunningham,AD,6
Othello Rural #2,AD,84
Othello Rural #3,AD,178
Othello City #2,AD,145
Othello City #3,AD,134
Othello City #1,AD,17
Othello City #6,AD,94
Othello City #4,AD,153
Othello City #5,AD,152
Lind #1,AD,148
Washtucna Rural,AD,52
Lind Rural,AD,59
Total,AD,2692
