Row Label,County,Repealed,Maintained
BLUFFS 210,CM,156,129
PORT ANGELES 109,CM,367,319
PORT ANGELES 108,CM,143,147
BELLEVIEW 205,CM,271,226
CARLSBORG 214,CM,193,183
PORT ANGELES 103,CM,279,299
PORT ANGELES 102,CM,282,278
PORT ANGELES 101,CM,167,177
OLYMPIC 254,CM,186,171
PORT ANGELES 107,CM,264,336
PORT ANGELES 106,CM,202,240
PORT ANGELES 105,CM,254,267
PORT ANGELES 104,CM,174,224
AGNEW 201,CM,224,176
JAMESTOWN 240,CM,157,184
FRESHWATER BAY 233,CM,329,328
DUNGENESS EAST 222,CM,253,347
SUN 269,CM,76,79
CLARK 216,CM,97,82
MOUNT PLEASANT 251,CM,208,237
PORT WILLIAMS 258,CM,135,143
MILLER PENINSULA 246,CM,121,170
ELK 229,CM,58,67
FAIRVIEW 232,CM,262,274
OBRIEN 253,CM,189,225
HAPPY VALLEY 237,CM,145,130
EAGLE 226,CM,189,199
COYOTE 218,CM,262,285
BOGACHIEL 212,CM,103,72
ROBIN HILL 266,CM,201,186
PRAIRIE NORTH 259,CM,234,222
JOYCE 241,CM,312,268
NEAH BAY 252,CM,83,110
SEQUIM 406,CM,198,202
MADISON CREEK 248,CM,104,77
FORKS 301,CM,133,124
DEER PARK 220,CM,264,273
DIAMOND POINT 221,CM,265,238
BEAVER 204,CM,183,153
MONTERRA 249,CM,232,254
PORT ANGELES 110,CM,49,81
PORT ANGELES 111,CM,311,305
PORT ANGELES 112,CM,163,183
PORT ANGELES 113,CM,191,172
QUILEUTE 262,CM,93,66
CLINE 217,CM,209,281
FORKS 302,CM,202,175
BELL HILL 207,CM,205,306
PRAIRIE SOUTH 260,CM,245,224
MOUNT ANGELES 250,CM,136,173
SUNLAND NORTH 270,CM,229,287
BLYN 211,CM,210,219
DUNGENESS WEST 223,CM,132,146
BLUE MOUNTAIN 209,CM,252,241
MACLEAY 247,CM,249,231
SEQUIM 404,CM,308,338
SEQUIM 405,CM,192,214
SEQUIM 402,CM,125,139
SEQUIM 403,CM,265,229
DRY CREEK 224,CM,202,208
CLALLAM BAY 215,CM,129,113
LOST MOUNTAIN 245,CM,140,190
SEQUIM 401,CM,128,131
RIVERSIDE 265,CM,229,242
BLACK DIAMOND 208,CM,131,179
SUNLAND SOUTH 271,CM,187,145
ELWHA 230,CM,79,71
Total,CM,12946,13390
