Row Label,County,Repealed,Maintained
DAMMAN,KS,150,167
VANTAGE,KS,13,13
PARK,KS,168,170
TEANAWAY,KS,154,145
ELLENSBURG 20,KS,36,45
CLE ELUM 4,KS,147,93
ELLENSBURG 22,KS,91,80
ELLENSBURG 23,KS,109,96
CLE ELUM 1,KS,90,85
ELLENSBURG 25,KS,174,171
CLE ELUM 3,KS,39,25
CLE ELUM 2,KS,63,39
SOUTH CLE ELUM,KS,100,70
FAIRVIEW,KS,102,107
RONALD,KS,79,64
NORTHEAST FAIRVIEW,KS,220,113
ELLENSBURG 24,KS,206,163
ELLENSBURG 9,KS,25,65
ELLENSBURG 8,KS,45,39
RIDGEWAY,KS,242,245
ELLENSBURG 1,KS,15,33
ELLENSBURG 2,KS,23,56
ELLENSBURG 5,KS,43,46
ELLENSBURG 4,KS,18,32
ELLENSBURG 7,KS,19,35
ELLENSBURG 6,KS,29,36
EAST SANDERS,KS,172,153
THRALL,KS,174,116
ELLENSBURG 21,KS,63,68
MOUNTAIN,KS,68,66
HYAK,KS,52,41
ROSLYN 1,KS,96,71
ROSLYN 2,KS,79,66
KITTITAS 1,KS,84,41
KACHESS,KS,60,47
MANASTASH,KS,120,147
DENMARK,KS,226,234
ROSLYN OUTLYING,KS,27,25
SOUTH ELLENSBURG,KS,187,207
DRY CREEK,KS,240,151
NORTH CENTRAL,KS,128,137
ELLENSBURG 11,KS,64,66
ELLENSBURG 10,KS,78,60
ELLENSBURG 13,KS,43,52
ELLENSBURG 12,KS,45,81
ELLENSBURG 15,KS,70,85
ELLENSBURG 14,KS,46,82
ELLENSBURG 17,KS,96,102
ELLENSBURG 16,KS,113,122
ELLENSBURG 19,KS,132,162
ELLENSBURG 18,KS,18,16
WESTSIDE,KS,229,161
EASTON,KS,203,133
PEOH POINT,KS,180,136
SANDERS,KS,78,58
KITTITAS 2,KS,95,53
NORTH ELLENSBURG,KS,187,232
THORP,KS,172,123
SWAUK,KS,128,67
Total,KS,6153,5594
