Row Label,County,Repealed,Maintained
COLUMBUS,KT,27,11
N DALLES,KT,214,164
ROOSEVELT,KT,48,19
GLENWOOD,KT,163,116
HGH PRAIRIE,KT,36,34
LYLE,KT,232,174
F VALLEY,KT,150,212
BINGEN,KT,79,58
WISHRAM,KT,64,24
WHITE SALMON,KT,199,238
ALDER CREEK,KT,90,57
ALDERDALE,KT,19,18
N WHITE SALMON,KT,131,138
PINE FOREST,KT,426,299
GOLDENDALE 3,KT,177,108
ORCHARD HTS,KT,133,99
GOLDENDALE 1,KT,249,144
N F VALLEY,KT,213,201
E LYLE,KT,63,82
E KLICKITAT,KT,59,32
W KLICKITAT,KT,49,32
HUSUM,KT,192,156
TROUT LAKE,KT,149,182
RIVER,KT,14,7
CENTERVILLE,KT,182,120
WOODLAND,KT,478,279
GOLDENDALE 2,KT,242,133
MT BROOK,KT,152,147
Total,KT,4305,3317
APPLETON,KT,75,33
