Row Label,County,Repealed,Maintained
JENNINGS LOOP,OK,18,8
MOCCASIN LAKE,OK,40,56
TONASKET CREEK,OK,23,15
FINLEY CANYON,OK,54,42
TUNK CREEK,OK,62,31
NORTH TONASKET,OK,40,41
FLETCHER,OK,36,20
GREENACRES,OK,30,9
OMAK #21,OK,22,5
BUCKHORN MTN,OK,31,19
GLOVER,OK,35,27
OMAK #22,OK,30,20
OMAK #23,OK,14,12
OMAK #24,OK,25,12
WEST CHEWUCH,OK,27,44
OKANOGAN #13,OK,18,13
METHOW,OK,45,34
ELMWAY,OK,28,14
BREWSTER FLAT,OK,27,18
TEAL LAKE,OK,25,13
TONASKET RURAL,OK,20,20
NORTH STAR,OK,12,14
NESPELEM CITY,OK,17,12
VALLEY,OK,30,16
OMAK RIVER,OK,27,27
BREWSTER #6,OK,11,10
OWHI,OK,26,10
AENEAS CREEK,OK,30,26
OMAK #19,OK,19,19
PINE CONE,OK,18,21
ASTON,OK,22,19
BREWSTER #2,OK,32,36
BREWSTER #3,OK,17,18
BREWSTER RURAL,OK,24,29
BREWSTER #1,OK,13,11
WHISKY MTN,OK,12,6
BREWSTER #4,OK,8,12
LIME BELT,OK,20,11
ELLISFORDE,OK,45,29
ALMA,OK,25,20
OROVILLE #8,OK,10,29
AENEAS LAKE,OK,44,27
OMAK #13,OK,32,9
SUNSET LAKES,OK,11,10
OMAK #6,OK,33,16
PALMER LAKE,OK,33,22
CARLTON,OK,28,22
OMAK #5,OK,39,17
OMAK #2,OK,29,18
MAZAMA,OK,32,78
FIKER,OK,30,19
OMAK #1,OK,16,12
PATEROS #3,OK,24,9
PATEROS #2,OK,24,20
PATEROS #1,OK,26,15
OKANOGAN #6,OK,41,19
OMAK #8,OK,20,7
BLACK CANYON,OK,30,26
CANAL,OK,28,13
OKANOGAN #3,OK,16,10
OKANOGAN #1,OK,24,12
COLUMBIA,OK,18,9
OKANOGAN #7,OK,12,14
TWISP RURAL,OK,25,54
BONAPARTE,OK,21,15
GUSTY RIDGE,OK,25,17
OROVILLE #7,OK,17,17
ROSS CANYON,OK,23,30
OKANOGAN #9,OK,25,32
OROVILLE #4,OK,19,24
KIPLING,OK,28,14
LONGANECKER,OK,22,17
NORTH OMAK,OK,20,14
OMAK MTN,OK,18,9
AVIATION,OK,12,24
RAT LAKE,OK,19,16
WINTHROP #2,OK,34,37
OMAK #7,OK,27,22
OMAK #10,OK,30,15
TWIN LAKES,OK,47,59
OMAK #4,OK,22,18
MOLSON,OK,46,32
YARNELL,OK,14,14
WHITESTONE,OK,13,25
CHEWILIKEN,OK,16,12
COULEE DAM #4,OK,26,19
OMAK #3,OK,12,11
HAVILLAH,OK,58,26
OMAK #20,OK,28,32
PINE CREEK,OK,24,18
EDELWEISS,OK,28,66
BUFFALO LAKE,OK,13,11
POORMAN CREEK,OK,54,55
CHESAW,OK,31,17
PATEROS RURAL,OK,31,22
CAYUSE MTN,OK,13,19
SOURDOUGH,OK,53,22
HIGHWAY,OK,15,12
DAVIS LAKE,OK,28,55
LEECHER MTN,OK,37,39
SOUTH OROVILLE,OK,42,24
BEEMAN,OK,38,42
MYERS CREEK,OK,13,12
BLUE LAKE,OK,31,27
POGUE,OK,43,36
MONSE #3,OK,28,13
TORODA,OK,46,25
MONSE #1,OK,37,34
BOUNDARY,OK,26,29
OMAK #9,OK,45,30
TONASKET #6,OK,19,9
SAN POIL,OK,70,21
LAKE ANDREWS,OK,27,20
ENGH,OK,28,41
OKANOGAN #2,OK,34,20
ANTOINE CREEK,OK,28,14
BRIDGE CREEK,OK,22,41
RIVERSIDE RURAL,OK,59,45
SPRING COULEE,OK,38,30
SPECTACLE LAKE,OK,32,15
AIRPORT,OK,27,44
DULEY LAKE,OK,18,12
OROVILLE #9,OK,21,17
FLATS,OK,31,13
WINTHROP #1,OK,47,60
OROVILLE #5,OK,34,15
OROVILLE #6,OK,17,13
CROSSROADS,OK,19,23
OROVILLE #1,OK,27,19
OROVILLE #2,OK,13,17
OROVILLE #3,OK,17,12
LIBBY CREEK,OK,47,51
OKANOGAN RURAL,OK,32,12
OKANOGAN #4,OK,22,27
WEST RIVER,OK,26,15
BALKY HILL,OK,29,34
COPPLE,OK,27,33
OKANOGAN #5,OK,32,18
MISSION,OK,21,12
NESPELEM RURAL,OK,13,16
PATTERSON LAKE,OK,29,68
MCGINNIS LAKE,OK,5,11
HORSESHOE LAKE,OK,31,18
OKANOGAN #8,OK,23,18
NICHOLS,OK,19,10
CONCONULLY CITY,OK,54,26
ORCHARD,OK,20,28
ELMER CITY,OK,36,43
MCCLURE MTN,OK,46,49
ALTA LAKE,OK,35,27
PEARRYGIN LAKE,OK,16,41
COLEMAN BUTTE,OK,27,24
TWISP #4,OK,15,13
JOHNSON CREEK,OK,38,23
TWISP #3,OK,42,32
TWISP #1,OK,41,54
DUFFYS MTN,OK,16,15
LOOMIS,OK,40,26
RIVERSIDE CITY,OK,43,30
SHORELINE,OK,14,19
SIMILKAMEEN,OK,15,16
PIONEER,OK,27,28
CRUMBACHER,OK,46,23
OMAK #11,OK,47,23
OMAK #12,OK,36,18
LONE PINE,OK,23,9
OMAK #14,OK,19,13
OMAK #15,OK,27,42
OMAK #16,OK,23,25
OMAK #17,OK,53,24
PICKENS MTN,OK,28,18
EDER,OK,24,33
WANNACUT,OK,43,34
CAPE LABELLE,OK,28,13
DIXON,OK,26,31
JANIS,OK,20,15
SIWASH CREEK,OK,36,21
BOSTON,OK,43,33
CHEROKEE,OK,34,36
RANCHES,OK,15,16
WOLF CREEK,OK,18,44
HENDRICK,OK,37,34
ELMERTON,OK,56,33
TONASKET #4,OK,25,22
FRONTAGE,OK,11,8
LEESE,OK,21,4
TONASKET #1,OK,16,13
OKANOGAN #11,OK,31,20
TONASKET #3,OK,17,6
TONASKET #2,OK,25,22
KERMEL,OK,26,29
ANGLIN,OK,51,21
OMAK LAKE,OK,20,20
SAND FLAT,OK,43,30
MALOTT,OK,56,31
DISAUTEL,OK,15,8
BREWSTER #5,OK,19,11
BODIE,OK,14,9
CHILIWIST,OK,35,22
TONASKET #5,OK,22,23
AENEAS,OK,30,16
COULEE DAM #3,OK,20,16
COULEE DAM #2,OK,34,25
COULEE DAM #1,OK,46,28
WESTLAKE,OK,20,12
TONASKET #7,OK,35,17
LEWIS BUTTE,OK,32,56
STARR,OK,22,15
OKANOGAN #10,OK,30,33
BEAVER CREEK,OK,19,24
NORTH MALOTT,OK,47,27
OKANOGAN #12,OK,21,12
WAUCONDA,OK,46,23
WINTHROP RURAL,OK,43,68
DUCK LAKE,OK,21,16
EASTSIDE,OK,49,41
HUDSON,OK,14,15
NIGHTHAWK,OK,15,4
CONCONULLY RURAL,OK,18,24
ANTOINE PEAK,OK,19,13
OROVILLE #10,OK,27,19
OMAK #18,OK,11,23
TWISP #2,OK,36,34
EASTLAKE,OK,15,13
Total,OK,6324,5238
MOCK,OK,35,24
