Row Label,County,Repealed,Maintained
210,CH,169,158
1149,CH,16,21
133,CH,177,128
132,CH,15,14
131,CH,26,24
136,CH,4,2
135,CH,270,182
134,CH,272,203
490,CH,378,372
540,CH,235,177
163,CH,12,14
1150,CH,2,4
710,CH,158,154
120,CH,145,112
121,CH,147,98
122,CH,60,74
123,CH,22,15
124,CH,24,30
125,CH,243,263
126,CH,31,39
127,CH,65,54
128,CH,31,21
129,CH,86,118
410,CH,169,209
530,CH,290,221
590,CH,209,260
310,CH,87,108
190,CH,22,29
115,CH,12,19
114,CH,167,169
116,CH,54,81
111,CH,29,51
110,CH,153,118
113,CH,38,27
112,CH,12,10
520,CH,337,364
420,CH,191,227
580,CH,169,171
440,CH,281,284
100,CH,6,2
510,CH,162,115
430,CH,269,255
450,CH,263,253
330,CH,171,107
175,CH,269,301
174,CH,183,155
173,CH,13,12
172,CH,11,6
171,CH,5,7
730,CH,273,231
182,CH,182,184
183,CH,104,114
181,CH,212,196
151(*),CH,0,0
1151(*),CH,0,0
560,CH,265,208
460,CH,290,184
150(*),CH,0,0
164,CH,93,91
165,CH,53,64
161,CH,17,13
162,CH,19,16
220,CH,180,178
720,CH,210,247
153,CH,312,326
152,CH,3,3
155,CH,96,102
154,CH,267,290
157,CH,227,227
156,CH,31,29
159,CH,6,3
158,CH,135,101
320,CH,141,126
146,CH,55,41
147,CH,239,194
144,CH,12,10
145,CH,20,6
142,CH,15,14
143,CH,5,8
140,CH,79,58
141,CH,5,8
610,CH,197,119
148,CH,107,108
149,CH,117,100
480,CH,272,251
Total,CH,10424,9722
