Row Label,County,Repealed,Maintained
Memorial,CZ,166,94
Windemere,CZ,347,268
Olson,CZ,183,118
Modrow,CZ,239,168
Ostrander,CZ,275,189
Baltimore,CZ,227,184
Magnolia,CZ,350,320
Hudson,CZ,281,191
Lake,CZ,195,174
Kessler,CZ,309,229
St. Helens,CZ,127,76
Woodage,CZ,196,179
Arkansas,CZ,131,75
Elk Ridge(*),CZ,0,0
Woodland South,CZ,305,241
Tunstall,CZ,112,80
Brynion,CZ,190,143
Marigold,CZ,302,241
Crawford,CZ,253,151
Chinook,CZ,284,248
Ridgecrest,CZ,30,6
Cloverdale,CZ,186,186
Woodland North,CZ,358,291
Mill,CZ,330,202
Ponderosa,CZ,246,158
Owl Creek,CZ,321,291
Willow Grove,CZ,76,62
Robbins,CZ,346,251
Powell,CZ,224,194
Ocean Beach,CZ,261,189
Sparks,CZ,158,124
Beacon,CZ,349,260
Harris,CZ,236,190
Delameter,CZ,230,171
Ryderwood,CZ,108,105
Redpath,CZ,201,132
Nevada,CZ,199,190
Sandy Bend,CZ,273,187
Mint Valley,CZ,307,332
Burcham,CZ,382,315
Columbia Valley Gdns,CZ,206,131
Lexington,CZ,216,169
Rose Valley,CZ,181,149
Mt. Solo,CZ,84,52
Haussler,CZ,186,120
Silver Lake,CZ,420,309
Ammons,CZ,155,172
Kalama North,CZ,186,168
Yale,CZ,240,153
Bakers,CZ,15,6
Sacajawea,CZ,351,430
Alabama,CZ,184,94
Kalama South,CZ,269,204
Carrolls,CZ,244,218
Caples,CZ,126,83
Lone Oak,CZ,156,117
Lewis River,CZ,393,297
Industrial,CZ,0,0
Castle Rock,CZ,364,209
West Kelso,CZ,74,39
Stella,CZ,205,209
Toutle,CZ,334,214
Tower,CZ,386,263
Columbia Heights,CZ,125,131
Pacific,CZ,257,220
McGowan,CZ,70,34
Hillcrest,CZ,379,378
Boondox,CZ,9,8
View,CZ,168,126
Coal Creek,CZ,362,250
Laurel,CZ,263,301
Douglas(*),CZ,0,0
Total,CZ,16088,12585
