Row Label,County,Repealed,Maintained
Ephrata 7 012,GR,168,126
Hartline Rural S 020,GR,16,11
Moses Lake 5 029,GR,166,137
Ephrata 9 013,GR,283,210
Beverly 002,GR,20,14
East Wahluke 061,GR,60,30
Royal City 044,GR,53,58
Moses Lake 2 067,GR,169,90
Marlin 024,GR,7,10
Lakeview Park 021,GR,183,97
Moses Lake 9  068,GR,162,168
Coulee City 005,GR,122,79
North Banks Lake 037,GR,43,43
Ephrata Rural E,GR,171,101
Moses Lake 7 033,GR,232,154
George 015,GR,17,23
Mae 023,GR,462,336
Ruff 045,GR,33,14
Cascade Valley 058,GR,300,236
Wilson Crk Rural 056,GR,22,7
Electric City 007,GR,187,151
Coulee Cty Rur N 072,GR,42,39
Moses Lake 1 066,GR,134,87
Smyrna 2 060,GR,14,9
Hartline 019,GR,32,22
Moses Lake 4 031,GR,152,144
Cascade Fairgrnd 004,GR,145,91
Warden 050,GR,112,64
Ephrata 5 008,GR,166,98
Quincy 4 040,GR,85,57
Ephrata 4 011,GR,234,167
Quincy 1 039,GR,145,108
Stratford 049,GR,20,25
Westslope 1 053,GR,63,43
McConihe 1 028,GR,114,86
Marlin Rural 025,GR,27,15
Coulee Cty Rur W 006,GR,50,35
Coulee Cty Rur E 062,GR,12,10
Moses Lake 6 032,GR,299,158
Wheeler 2 070,GR,329,274
Longview 022,GR,223,147
Greenfield 065,GR,36,18
Mattawa Rural 027,GR,264,189
Airport 2 057,GR,111,76
Soap Lake 1 047,GR,140,53
Airport 1 001,GR,136,105
Grand Coulee 018,GR,148,110
Moses Lake 12 036,GR,207,152
Gloyd 017,GR,166,110
Hartline Rural N 073,GR,18,19
Smyrna 1 046,GR,62,54
Westslope 2 059,GR,45,31
Moses Lake 3 030,GR,241,220
Mattawa 026,GR,29,13
O Sullivan Dam 2 069,GR,302,306
Soap Lake 2 052,GR,98,72
Quincy Rural S 064,GR,291,221
Ephrata Rural ,GR,152,118
Ephrata 3 010,GR,134,102
Wheeler 1 054,GR,113,110
Warden Rural 051,GR,228,151
George Rural 016,GR,289,204
McConihe 2 063,GR,82,72
Quincy 6 041,GR,229,193
Block 71 003,GR,303,222
Wilson Creek 055,GR,46,24
Quincy Rural N 042,GR,113,107
Moses Lake 8 034,GR,264,240
O Sullivan Dam 1 038,GR,288,175
Soap Lake Rur E ,GR,56,32
Royal Camp 043,GR,262,171
Total,GR,10806,8004
Soap Lake Rur W ,GR,196,144
Ephrata 2 009,GR,170,156
Moses Lake 11 035,GR,313,260
