Row Label,County,Repealed,Maintained
Friday Harbor North,SJ,209,229
San Juan South East,SJ,126,206
Lopez North,SJ,265,479
Total,SJ,2928,4244
Decatur and Outer Is,SJ,20,19
Shaw,SJ,34,63
San Juan West,SJ,185,294
Turn Point,SJ,78,133
San Juan South West,SJ,190,292
Orcas East,SJ,179,286
Eastsound,SJ,295,316
Blakely &amp; Outer Is,SJ,16,16
Friday Harbor South,SJ,145,175
Waldron &amp; Outer Is,SJ,14,39
Orcas Central,SJ,218,315
San Juan North,SJ,187,230
Lopez South,SJ,183,347
Orcas West,SJ,225,323
San Juan East,SJ,153,211
San Juan Central,SJ,206,271
