Row Label,County,Repealed,Maintained
216,WM,127,296
217,WM,137,180
214,WM,119,236
215,WM,107,324
212,WM,91,108
213,WM,215,307
210,WM,116,371
211,WM,203,208
106    ,WM,197,177
260    ,WM,82,259
218,WM,133,183
219,WM,163,202
133,WM,160,155
132,WM,173,163
131,WM,251,263
130,WM,148,132
137,WM,114,215
135,WM,165,230
139,WM,152,79
138,WM,133,317
179    ,WM,64,57
182    ,WM,222,334
604    ,WM,257,179
162    ,WM,141,195
606    ,WM,248,213
175    ,WM,143,254
249    ,WM,155,268
610    ,WM,312,229
401,WM,160,98
248    ,WM,110,148
220,WM,141,190
124    ,WM,152,122
145    ,WM,325,248
173    ,WM,144,227
265    ,WM,139,195
120,WM,226,199
121,WM,126,168
122,WM,170,108
123,WM,146,133
125,WM,231,174
127,WM,254,327
129,WM,227,199
268,WM,8,14
166    ,WM,220,271
201    ,WM,264,350
304    ,WM,81,93
172    ,WM,129,150
111    ,WM,232,189
607    ,WM,233,210
160    ,WM,170,242
701,WM,223,163
115,WM,268,194
114,WM,129,107
117,WM,223,155
116,WM,172,119
110,WM,189,193
113,WM,189,207
112,WM,105,117
205,WM,107,170
118,WM,297,206
163    ,WM,143,238
261    ,WM,101,257
209,WM,128,311
509    ,WM,156,153
161    ,WM,99,160
251    ,WM,92,288
156    ,WM,96,103
252    ,WM,30,36
301,WM,239,277
302,WM,242,282
303,WM,193,318
611    ,WM,209,138
245,WM,92,100
244,WM,104,310
108,WM,264,274
246,WM,77,217
241,WM,148,160
240,WM,143,309
243,WM,146,253
242,WM,93,178
102,WM,179,146
103,WM,183,242
101,WM,156,251
107,WM,291,219
104,WM,135,155
105,WM,107,122
247,WM,92,175
253    ,WM,124,172
169    ,WM,221,385
605,WM,158,128
141    ,WM,321,224
140    ,WM,371,274
250    ,WM,129,446
259    ,WM,87,174
601,WM,357,286
507    ,WM,186,171
174    ,WM,139,209
255    ,WM,85,177
180    ,WM,118,276
254    ,WM,105,221
603,WM,216,183
181    ,WM,228,306
609    ,WM,324,237
504,WM,116,125
505,WM,261,231
502,WM,176,197
503,WM,213,257
501,WM,182,236
168    ,WM,194,335
257    ,WM,56,160
263    ,WM,102,254
177    ,WM,108,180
178    ,WM,152,283
183    ,WM,12,8
229,WM,158,242
228,WM,109,222
227,WM,151,281
226,WM,65,132
225,WM,123,277
224,WM,36,108
223,WM,71,214
222,WM,162,422
221,WM,155,278
167    ,WM,50,30
126    ,WM,319,256
258    ,WM,111,298
256    ,WM,119,303
608    ,WM,236,162
158    ,WM,98,116
264    ,WM,121,317
262    ,WM,111,227
159    ,WM,58,63
176    ,WM,125,226
151,WM,255,270
150,WM,258,246
153,WM,210,209
152,WM,199,243
155,WM,146,152
157,WM,112,99
602,WM,281,236
164    ,WM,68,83
508    ,WM,250,211
238,WM,120,203
239,WM,165,307
144    ,WM,324,233
234,WM,184,285
235,WM,109,146
236,WM,61,122
237,WM,74,156
230,WM,104,144
231,WM,145,236
232,WM,164,267
233,WM,162,220
154    ,WM,158,145
146    ,WM,313,247
136    ,WM,182,203
165    ,WM,115,108
147,WM,229,216
203,WM,229,220
202,WM,126,175
142,WM,199,144
204,WM,84,117
207,WM,97,181
206,WM,164,252
119    ,WM,102,130
208,WM,231,374
148,WM,247,195
149,WM,178,173
170    ,WM,120,193
143    ,WM,138,147
402    ,WM,201,153
171    ,WM,151,305
506    ,WM,211,224
267    ,WM,9,26
266    ,WM,146,291
134    ,WM,213,348
801,WM,167,116
Total,WM,28776,36552
