Row Label,County,Andy Miller
Griffin,BE,4
215,BE,145
Ridge,BE,0
Kiona,BE,280
210,BE,148
Hedges,BE,147
Weidle,BE,27
Randy,BE,86
W2 - P641,BE,142
W2 - P640,BE,191
135,BE,178
165,BE,148
W1 - P685,BE,291
W1 - P686,BE,222
W1 - P680,BE,264
W1 - P681,BE,194
W1 - P682,BE,310
W1 - P683,BE,206
Columbia,BE,0
El Rancho,BE,287
Benton South,BE,188
W3 - P545,BE,117
French,BE,24
289,BE,299
288,BE,188
(none),BE,185
281,BE,298
280,BE,256
283,BE,180
220,BE,126
285,BE,349
284,BE,178
287,BE,140
286,BE,159
235,BE,127
Pearson,BE,3
Apricot,BE,58
Benton East,BE,0
McBee,BE,2
Candy,BE,5
455,BE,199
Reata,BE,186
W1 - P670,BE,188
W3-P511,BE,19
W1 - P675,BE,85
W1 - P674,BE,140
265,BE,171
W1 - P676,BE,312
Harrington,BE,242
W3 - P558,BE,247
W3 - P559,BE,258
Carley,BE,0
W3 - P552,BE,212
W3 - P553,BE,197
W3 - P550,BE,210
W3 - P551,BE,201
W3 - P556,BE,284
W3 - P557,BE,235
WR 11,BE,209
W3 - P555,BE,179
WR 17,BE,149
130,BE,187
WR 16,BE,147
Benton North,BE,263
292,BE,155
293,BE,120
290,BE,243
Badger,BE,140
Sacagawea,BE,1
Crow Butte,BE,22
195,BE,173
Washington,BE,75
311,BE,0
310,BE,211
Mills,BE,255
Rattlesnake,BE,42
Liberty,BE,9
Vineyard,BE,0
271,BE,100
W1 - P660,BE,201
W1 - P667,BE,103
W1 - P664,BE,352
W1 - P665,BE,276
278,BE,224
279,BE,85
W1 - P668,BE,336
W1 - P669,BE,149
175,BE,354
Susie,BE,20
Walnut Grove,BE,145
Kennewick Valley,BE,198
Yakima,BE,3
Hawthorne,BE,134
Expansion,BE,2
W3 - P560,BE,115
255,BE,181
Yellowstone,BE,117
Cook,BE,9
Celilo,BE,224
WR 10,BE,14
Orchard,BE,11
300,BE,203
301,BE,210
Jewel,BE,27
305,BE,194
W1 - P657,BE,171
W1 - P656,BE,111
W1 - P655,BE,124
Shockley,BE,4
240,BE,291
W1 - P651,BE,45
W1 - P650,BE,225
Ivey,BE,148
105,BE,137
245,BE,155
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,186
270,BE,233
Roe,BE,11
WR 1,BE,113
W2 - P633,BE,212
Cone,BE,114
W3 - P540,BE,212
160,BE,269
291,BE,250
282,BE,300
W2 - P635,BE,247
Elk,BE,0
125,BE,146
450,BE,246
Salmon,BE,38
Umatilla,BE,92
W1 - P645,BE,58
W1 - P646,BE,76
Gage,BE,5
Bobbie,BE,0
W2 - P639,BE,129
W2 - P601,BE,113
W2 - P600,BE,107
Riverside,BE,221
W2 - P605,BE,151
W1 - P691,BE,30
170,BE,152
W3 - P505,BE,143
Buena Vista,BE,329
W3 - P500,BE,46
Demoss,BE,14
Sunny,BE,54
316,BE,0
180,BE,122
W2 - P570,BE,187
186,BE,73
Dot,BE,100
W2 - P575,BE,92
185,BE,98
250,BE,194
Onion,BE,0
465,BE,219
Horse Heaven,BE,30
460,BE,181
190,BE,219
315,BE,341
Enterprise,BE,144
W2 - P590,BE,149
W2 - P610,BE,153
W2 - P595,BE,152
Prosser North,BE,202
W2 - P615,BE,60
115,BE,152
W3 - P515,BE,127
W3 - P510,BE,106
225,BE,179
W2 - P565,BE,93
Canyon,BE,195
295,BE,206
W2 - P560,BE,121
Roza,BE,0
Edgewater,BE,156
W2 - P625,BE,233
110,BE,186
151,BE,371
150,BE,263
Vista,BE,93
WR 4,BE,265
Legion,BE,191
Cherry,BE,234
Oak,BE,107
WR 9,BE,158
WR 8,BE,277
W1-P663,BE,168
Paterson,BE,13
WR 2,BE,135
WR 3,BE,93
W2 - P626,BE,117
W2 - P580,BE,141
W3 - P520,BE,79
WR 7,BE,251
Chandler,BE,28
W3 - P525,BE,129
W2 - P585,BE,107
W2-P574,BE,119
230,BE,133
WR12,BE,228
WR13,BE,160
WR14,BE,276
WR15,BE,188
WR 6,BE,267
320,BE,288
WR 5,BE,82
155,BE,308
W2 - P620,BE,142
White Bluffs,BE,265
200,BE,169
145,BE,277
205,BE,127
140,BE,164
275,BE,84
W3 - P535,BE,95
W2 - P630,BE,203
Goose Ridge,BE,50
W2 - P634,BE,294
Reese,BE,19
W2 - P636,BE,219
W2 - P637,BE,249
W2 - P638,BE,229
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,286
W3 - P530,BE,121
South,BE,154
Ida,BE,0
120,BE,234
Finley,BE,294
Tumble Weed,BE,32
Miller,BE,0
470,BE,167
260,BE,160
W3-P516,BE,11
Red Mountain,BE,174
Total,BE,35821
Clements,BE,49
