Row Label,County,Roy S. Fore
210,CH,197
1149,CH,28
133,CH,189
132,CH,20
131,CH,31
136,CH,4
135,CH,308
134,CH,299
490,CH,514
540,CH,291
163,CH,16
1151,CH,2
1150,CH,6
710,CH,219
120,CH,143
121,CH,144
122,CH,83
123,CH,22
124,CH,34
125,CH,308
126,CH,40
127,CH,65
128,CH,32
129,CH,111
410,CH,244
530,CH,378
590,CH,305
310,CH,124
190,CH,19
115,CH,17
114,CH,211
116,CH,77
111,CH,53
110,CH,158
113,CH,37
112,CH,16
520,CH,488
420,CH,287
580,CH,230
440,CH,407
100,CH,6
510,CH,193
430,CH,355
450,CH,351
330,CH,209
175,CH,358
174,CH,209
173,CH,10
172,CH,10
171,CH,8
730,CH,347
182,CH,226
183,CH,124
181,CH,265
560,CH,335
460,CH,341
164,CH,104
165,CH,73
161,CH,21
162,CH,21
220,CH,229
720,CH,290
151,CH,3
150,CH,32
153,CH,432
152,CH,4
155,CH,137
154,CH,368
157,CH,290
156,CH,38
159,CH,5
158,CH,144
320,CH,178
146,CH,56
147,CH,294
144,CH,17
145,CH,17
142,CH,26
143,CH,3
140,CH,103
141,CH,6
610,CH,217
148,CH,129
149,CH,151
480,CH,342
Total,CH,13234
