Row Label,County,Yes,No
29-620(*),PI,0,0
27-448,PI,8,12
27-449,PI,247,209
27-444,PI,233,191
27-445,PI,232,166
27-446,PI,226,169
27-447,PI,225,195
27-440,PI,284,177
27-441,PI,233,151
27-442,PI,179,145
27-443,PI,200,156
27-428,PI,278,169
27-429,PI,274,210
27-426,PI,202,303
27-427,PI,278,220
27-424,PI,266,285
27-425,PI,252,255
27-422,PI,318,359
27-423,PI,318,285
27-420,PI,319,323
27-421,PI,264,198
28-506,PI,301,272
28-507,PI,248,222
28-504,PI,305,257
28-505,PI,286,377
28-502,PI,251,347
28-503,PI,294,260
28-501,PI,290,322
28-508,PI,145,104
28-509,PI,0,0
27-459,PI,156,111
27-458,PI,176,114
27-453,PI,183,99
27-452,PI,220,181
27-451,PI,210,164
27-450,PI,270,208
27-457,PI,229,148
27-456,PI,184,135
27-455,PI,211,158
27-454,PI,265,188
27-439,PI,276,163
27-438,PI,275,138
27-435,PI,250,249
27-434,PI,221,221
27-437,PI,254,172
27-436,PI,289,183
27-431,PI,102,101
27-430,PI,289,185
27-433,PI,261,228
27-432,PI,247,232
29-626,PI,8,2
29-627,PI,0,0
29-624,PI,0,0
29-622,PI,166,125
29-623,PI,63,18
27-408,PI,277,286
27-409,PI,278,246
27-404,PI,99,69
27-405,PI,260,301
27-406,PI,335,404
27-407,PI,257,259
29-625(*),PI,0,0
29-601,PI,216,136
29-602,PI,167,138
29-603,PI,240,130
29-604,PI,226,145
29-605,PI,182,143
29-606,PI,250,185
29-607,PI,264,207
29-608,PI,188,153
29-609,PI,149,128
29-619,PI,206,165
29-618,PI,183,132
29-617,PI,200,189
29-616,PI,222,175
29-615,PI,245,209
29-614,PI,230,220
29-613,PI,235,200
29-612,PI,135,80
29-611,PI,58,40
29-610,PI,199,176
27-417,PI,296,287
27-416,PI,282,288
27-415,PI,259,344
27-414,PI,263,326
27-413,PI,264,279
27-412,PI,237,255
27-411,PI,316,383
27-410,PI,286,265
27-419,PI,261,282
27-418,PI,263,255
29-621(*),PI,0,0
27-462,PI,287,240
27-463,PI,216,177
27-460,PI,295,221
27-461,PI,329,262
27-466,PI,258,147
27-467,PI,234,207
27-464,PI,246,194
27-465,PI,231,176
27-468,PI,234,162
Total,PI,22236,19229
