Row Label,County,Jane Van Dyke,Byron Hanke
669,CR,194,235
668,CR,307,225
667,CR,191,176
664,CR,256,243
663,CR,190,146
662,CR,264,226
660,CR,263,237
130,CR,320,193
571,CR,231,212
490,CR,162,205
491,CR,24,14
626,CR,283,173
692,CR,265,246
693,CR,167,114
690,CR,273,217
691,CR,265,193
696,CR,276,297
697,CR,306,284
694,CR,121,54
695,CR,258,257
698,CR,217,218
699,CR,227,199
450,CR,330,259
540,CR,253,291
340,CR,297,193
400,CR,159,130
930,CR,246,227
452,CR,214,226
935,CR,227,255
570,CR,241,257
678,CR,192,175
679,CR,198,131
674,CR,199,220
675,CR,194,164
677,CR,221,261
670,CR,287,230
672,CR,221,181
455,CR,200,163
120,CR,341,240
914,CR,257,222
917,CR,167,159
528,CR,194,255
910,CR,259,191
537,CR,108,84
415,CR,188,171
535,CR,274,360
410,CR,329,251
913,CR,282,248
298,CR,148,147
530,CR,94,129
296,CR,205,138
370,CR,210,148
294,CR,179,141
912,CR,213,196
925,CR,204,225
290,CR,251,220
538,CR,99,147
591,CR,296,368
590,CR,306,335
593,CR,229,295
592,CR,316,314
595,CR,123,170
594,CR,11,7
597,CR,23,34
200,CR,328,178
598,CR,10,5
629,CR,237,185
700,CR,35,46
190,CR,300,244
985,CR,225,175
390,CR,310,262
110,CR,330,184
113,CR,166,95
112,CR,25,16
250,CR,315,261
536,CR,164,141
628,CR,310,204
524,CR,36,25
525,CR,151,180
527,CR,195,225
520,CR,142,129
521,CR,5,6
522,CR,89,93
523,CR,3,6
420,CR,242,239
423,CR,204,154
255,CR,241,250
425,CR,186,172
424,CR,295,246
360,CR,291,226
426,CR,334,314
586,CR,218,191
587,CR,193,205
449,CR,338,301
448,CR,325,284
582,CR,187,183
583,CR,208,187
580,CR,168,150
581,CR,125,105
441,CR,241,234
440,CR,266,228
447,CR,286,305
446,CR,212,245
445,CR,344,255
444,CR,340,291
245,CR,248,308
920,CR,207,191
108,CR,284,196
240,CR,306,333
102,CR,192,206
100,CR,325,215
615,CR,103,110
106,CR,245,187
649,CR,213,188
104,CR,280,238
903,CR,269,221
900,CR,255,197
905,CR,255,232
641,CR,114,64
640,CR,272,205
643,CR,253,197
642,CR,115,110
645,CR,320,248
644,CR,255,232
647,CR,180,148
646,CR,124,111
436,CR,150,116
510,CR,154,182
434,CR,191,148
435,CR,168,190
515,CR,306,248
430,CR,193,146
588,CR,141,131
579,CR,11,6
578,CR,28,19
627,CR,247,216
338,CR,266,194
625,CR,267,239
624,CR,63,46
335,CR,218,159
451,CR,271,201
337,CR,212,231
453,CR,241,218
577,CR,315,304
330,CR,279,218
456,CR,342,317
574,CR,16,7
600,CR,133,130
175,CR,210,123
257,CR,285,204
170,CR,229,159
543,CR,232,249
654,CR,184,152
656,CR,142,103
710,CR,117,95
180,CR,255,142
655,CR,240,190
652,CR,245,189
653,CR,255,146
650,CR,265,213
651,CR,187,162
505,CR,290,308
502,CR,206,219
503,CR,180,186
500,CR,256,274
659,CR,254,225
630,CR,226,160
631,CR,294,229
632,CR,133,120
633,CR,253,179
634,CR,253,148
635,CR,220,144
636,CR,198,187
560,CR,266,223
639,CR,219,198
545,CR,173,167
460,CR,379,322
566,CR,185,144
225,CR,321,379
160,CR,242,142
220,CR,216,154
964,CR,249,222
965,CR,221,218
966,CR,142,156
967,CR,149,146
960,CR,263,263
961,CR,42,41
962,CR,173,195
963,CR,184,182
968,CR,188,222
969,CR,130,145
658,CR,190,239
720,CR,218,155
947,CR,211,175
575(*),CR,0,0
605,CR,176,292
150,CR,195,111
153,CR,168,160
606,CR,49,36
395,CR,98,49
603,CR,111,194
555,CR,325,276
550,CR,300,292
553,CR,206,238
584,CR,226,220
681,CR,232,163
959,CR,11,10
958,CR,43,30
951,CR,250,187
950,CR,258,200
953,CR,127,84
576(*),CR,0,0
957,CR,50,54
638,CR,217,217
327,CR,271,261
585,CR,283,270
325,CR,179,190
620,CR,241,301
147,CR,219,195
618,CR,265,256
563,CR,311,222
613,CR,92,147
610,CR,306,346
617,CR,219,260
565,CR,203,178
511,CR,15,14
648,CR,184,185
487,CR,103,125
485,CR,140,217
673,CR,273,270
483,CR,329,353
573,CR,295,314
480,CR,330,337
686,CR,176,182
432,CR,185,163
940,CR,246,207
680,CR,238,159
470,CR,373,289
689,CR,279,222
688,CR,214,168
350,CR,216,208
685,CR,72,57
687,CR,236,201
Total,CR,52050,46606
572,CR,305,301
596(*),CR,0,0
683,CR,242,183
682,CR,233,191
