Row Label,County,Julie Anderson
31-900,PI,215
29-680,PI,280
31-902,PI,436
31-903,PI,3
31-904,PI,59
31-905,PI,282
31-906,PI,175
31-907,PI,265
31-908,PI,224
31-909,PI,255
29-640,PI,326
29-641,PI,332
29-642,PI,345
29-643,PI,31
29-648,PI,7
29-649,PI,103
25-239,PI,420
25-238,PI,220
31-901,PI,38
25-235,PI,16
25-237,PI,0
25-236,PI,320
25-230,PI,107
28-588,PI,382
28-589,PI,386
28-586,PI,353
28-587,PI,254
28-584,PI,262
28-585,PI,413
28-582,PI,151
28-583,PI,229
28-580,PI,57
28-581,PI,226
25-280,PI,419
25-281,PI,288
25-282,PI,414
02-149,PI,430
25-284,PI,211
25-285,PI,535
25-286,PI,389
25-287,PI,3
25-288,PI,413
25-289,PI,0
02-140,PI,401
02-141,PI,378
02-146,PI,279
02-147,PI,280
02-144,PI,333
02-145,PI,368
27-439,PI,360
27-438,PI,346
27-435,PI,401
27-434,PI,377
27-437,PI,354
27-436,PI,374
27-431,PI,164
27-430,PI,411
27-433,PI,391
27-432,PI,392
26-339,PI,81
26-338,PI,357
26-333,PI,442
26-332,PI,382
26-331,PI,126
26-330,PI,300
26-337,PI,449
26-336,PI,504
26-335,PI,356
26-334,PI,400
28-515,PI,486
28-517,PI,479
28-516,PI,456
28-519,PI,460
28-518,PI,464
31-869,PI,145
31-865,PI,88
31-861,PI,87
26-348,PI,428
26-349,PI,428
26-346,PI,369
26-347,PI,361
26-344,PI,56
26-345,PI,415
26-342,PI,489
26-343,PI,408
26-340,PI,480
26-341,PI,405
25-271,PI,406
25-270,PI,402
25-273,PI,264
25-272,PI,415
25-275,PI,0
25-274,PI,514
25-277,PI,401
25-276,PI,17
25-279,PI,334
25-278,PI,146
29-682,PI,324
29-683,PI,330
31-923,PI,192
29-619,PI,304
29-618,PI,281
29-617,PI,322
29-616,PI,316
29-615,PI,383
29-614,PI,362
29-613,PI,358
29-612,PI,173
29-611,PI,69
29-610,PI,327
28-559,PI,392
28-558,PI,356
28-551,PI,530
28-550,PI,318
28-553,PI,469
28-552,PI,469
28-555,PI,508
28-554,PI,437
28-557,PI,354
28-556,PI,361
02-115,PI,310
02-114,PI,190
02-117,PI,368
02-116,PI,388
02-111,PI,290
25-291,PI,91
02-113,PI,251
02-112,PI,214
02-143,PI,271
25-290,PI,38
02-119,PI,224
02-118,PI,241
31-823,PI,212
31-822,PI,253
31-827,PI,83
31-826,PI,336
31-825,PI,273
31-824,PI,1
31-829,PI,283
31-828,PI,305
26-302,PI,583
26-303,PI,548
26-301,PI,158
26-304,PI,623
26-305,PI,579
31-892,PI,214
31-893,PI,0
31-890,PI,182
27-471,PI,15
31-891,PI,106
27-475,PI,340
27-477,PI,373
27-476,PI,266
31-896,PI,5
31-897,PI,150
31-894,PI,44
31-895,PI,235
31-856,PI,246
31-857,PI,162
31-854,PI,157
31-855,PI,201
31-853,PI,59
31-919,PI,276
31-917,PI,390
31-916,PI,261
31-915,PI,52
31-914,PI,217
31-913,PI,118
31-912,PI,213
31-911,PI,164
31-910,PI,267
29-653,PI,323
29-652,PI,35
29-651,PI,380
29-650,PI,328
29-657,PI,6
29-656,PI,305
29-655,PI,148
29-654,PI,370
29-659,PI,194
29-658,PI,314
25-208,PI,469
25-209,PI,458
25-201,PI,474
25-202,PI,370
25-203,PI,449
25-204,PI,392
25-205,PI,431
25-206,PI,276
28-590,PI,14
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,4
29-622,PI,248
29-623,PI,75
29-620,PI,185
29-621,PI,1
02-159,PI,207
02-158,PI,305
02-151,PI,120
02-150,PI,322
02-153,PI,285
02-152,PI,371
02-155,PI,362
02-154,PI,278
02-157,PI,439
02-156,PI,463
27-408,PI,449
27-409,PI,432
27-401,PI,215
27-404,PI,153
27-405,PI,482
27-406,PI,583
27-407,PI,423
28-520,PI,469
28-521,PI,499
28-522,PI,489
28-523,PI,494
28-524,PI,532
28-525,PI,556
28-526,PI,341
28-527,PI,570
28-528,PI,481
28-529,PI,379
31-818,PI,84
31-819,PI,143
31-813,PI,165
31-810,PI,187
31-816,PI,272
31-817,PI,348
31-814,PI,40
31-815,PI,237
26-351,PI,407
26-350,PI,436
26-352,PI,403
31-926,PI,10
31-927,PI,258
31-924,PI,188
31-925,PI,88
25-248,PI,482
25-249,PI,422
31-920,PI,226
31-921,PI,242
25-244,PI,495
25-245,PI,2
25-246,PI,34
25-247,PI,376
25-240,PI,176
25-241,PI,220
25-242,PI,427
25-243,PI,332
02-110,PI,206
29-668,PI,266
29-669,PI,348
29-662,PI,0
29-663,PI,324
29-660,PI,393
29-661,PI,285
29-667,PI,363
29-664,PI,331
28-565,PI,338
28-566,PI,369
28-567,PI,388
28-560,PI,512
28-561,PI,284
28-562,PI,240
28-563,PI,136
28-568,PI,401
02-148,PI,365
02-120,PI,304
02-121,PI,363
02-122,PI,385
02-123,PI,373
02-124,PI,312
02-125,PI,285
02-126,PI,378
02-127,PI,225
02-128,PI,381
02-129,PI,230
02-142,PI,262
26-315,PI,458
26-317,PI,443
26-316,PI,511
26-319,PI,381
26-318,PI,370
27-448,PI,14
27-449,PI,383
27-444,PI,340
27-445,PI,324
27-446,PI,334
27-447,PI,371
27-440,PI,398
27-441,PI,321
27-442,PI,264
27-443,PI,283
31-845,PI,259
31-844,PI,193
31-847,PI,145
31-846,PI,119
31-841,PI,159
31-840,PI,137
31-843,PI,210
31-842,PI,252
31-849,PI,111
31-848,PI,48
25-217,PI,463
25-216,PI,278
25-215,PI,424
25-213,PI,487
25-212,PI,432
25-211,PI,409
25-210,PI,531
25-219,PI,433
25-218,PI,438
29-671,PI,312
29-670,PI,372
29-675,PI,351
29-677,PI,338
29-676,PI,328
29-635,PI,88
31-883,PI,382
29-637,PI,291
29-636,PI,402
29-633,PI,32
29-639,PI,312
29-638,PI,175
31-882,PI,293
28-538,PI,407
28-537,PI,500
28-536,PI,460
28-535,PI,505
28-531,PI,416
28-530,PI,209
30-713,PI,4
31-809,PI,303
31-808,PI,294
31-801,PI,203
31-803,PI,322
31-802,PI,293
31-805,PI,316
31-804,PI,296
31-807,PI,3
31-806,PI,367
25-293,PI,378
27-417,PI,481
27-416,PI,458
27-415,PI,492
27-414,PI,480
27-413,PI,443
27-412,PI,407
27-411,PI,540
27-410,PI,470
31-898,PI,322
31-899,PI,184
27-419,PI,427
27-418,PI,423
25-292,PI,423
25-259,PI,410
25-258,PI,413
25-253,PI,244
25-252,PI,360
25-251,PI,362
25-250,PI,175
25-257,PI,364
25-256,PI,372
25-255,PI,265
25-254,PI,232
Total,PI,151333
29-679,PI,274
29-678,PI,262
25-228,PI,401
25-226,PI,287
25-227,PI,216
29-673,PI,374
29-672,PI,197
25-222,PI,304
29-674,PI,121
25-220,PI,2
25-221,PI,394
30-708,PI,256
28-573,PI,245
28-572,PI,372
28-571,PI,6
28-570,PI,4
28-577,PI,15
28-576,PI,394
28-575,PI,2
28-574,PI,83
28-579,PI,60
28-578,PI,75
02-139,PI,346
02-138,PI,437
02-137,PI,184
02-136,PI,69
02-135,PI,381
02-134,PI,414
02-133,PI,95
02-131,PI,422
02-130,PI,205
27-428,PI,389
27-429,PI,407
27-426,PI,408
27-427,PI,402
27-424,PI,427
27-425,PI,400
27-422,PI,564
27-423,PI,499
27-420,PI,523
27-421,PI,380
26-328,PI,363
26-329,PI,452
26-324,PI,451
26-325,PI,402
26-326,PI,495
26-327,PI,465
26-320,PI,420
26-321,PI,542
26-322,PI,497
26-323,PI,482
28-506,PI,488
28-507,PI,392
28-504,PI,460
28-505,PI,510
28-502,PI,495
28-503,PI,509
28-501,PI,502
28-508,PI,214
28-509,PI,0
27-459,PI,226
27-458,PI,231
27-453,PI,249
27-452,PI,344
27-451,PI,301
27-450,PI,400
27-457,PI,322
