Row Label,County,Derek M. Young,Stan Flemming
27-408,PI,329,255
27-409,PI,301,245
27-401,PI,173,107
28-507(*),PI,0,0
27-404,PI,137,54
27-405,PI,336,266
27-406,PI,414,370
27-407,PI,350,196
26-302,PI,420,395
26-303,PI,333,409
26-301,PI,89,128
26-328,PI,185,369
26-329,PI,187,455
26-304,PI,415,427
26-305,PI,388,418
26-324,PI,261,355
26-325,PI,258,320
26-326,PI,330,329
26-327,PI,295,325
26-320,PI,274,319
26-321,PI,327,465
26-322,PI,301,365
26-323,PI,331,399
28-506,PI,340,287
28-504,PI,298,307
28-505,PI,336,383
28-502,PI,370,257
28-503,PI,366,256
26-348,PI,268,325
26-349,PI,243,355
26-346,PI,241,261
26-337,PI,307,363
26-344,PI,44,25
26-345,PI,264,335
26-342,PI,325,341
26-343,PI,248,320
26-340,PI,319,386
26-341,PI,266,315
27-417,PI,401,203
27-416,PI,366,235
27-415,PI,367,268
27-414,PI,389,234
27-413,PI,332,231
27-412,PI,275,235
27-411,PI,383,334
27-410,PI,356,209
27-421,PI,304,168
27-419,PI,368,213
27-418,PI,353,200
28-575(*),PI,0,0
27-422,PI,399,302
27-431,PI,120,92
27-423,PI,438,202
26-339,PI,53,54
26-338,PI,226,312
26-315,PI,298,372
27-420,PI,459,216
26-317,PI,251,353
26-316,PI,309,381
26-319,PI,245,320
26-318,PI,242,271
26-331,PI,76,104
26-330,PI,187,232
26-333,PI,260,372
26-336,PI,282,393
26-335,PI,231,253
26-334,PI,274,367
28-501,PI,351,304
26-351,PI,261,339
26-350,PI,259,361
26-352,PI,266,323
26-347,PI,201,297
26-332,PI,262,287
Total,PI,20808,20715
