Row Label,County,Jerry Pettit
DAMMAN,KS,263
VANTAGE,KS,21
PARK,KS,260
TEANAWAY,KS,189
ELLENSBURG 20,KS,58
CLE ELUM 4,KS,186
ELLENSBURG 22,KS,131
ELLENSBURG 23,KS,168
CLE ELUM 1,KS,121
ELLENSBURG 25,KS,266
CLE ELUM 3,KS,42
CLE ELUM 2,KS,85
SOUTH CLE ELUM,KS,134
FAIRVIEW,KS,146
RONALD,KS,93
NORTHEAST FAIRVIEW,KS,253
ELLENSBURG 24,KS,307
ELLENSBURG 9,KS,79
ELLENSBURG 8,KS,63
RIDGEWAY,KS,372
ELLENSBURG 1,KS,46
ELLENSBURG 2,KS,69
ELLENSBURG 5,KS,73
ELLENSBURG 4,KS,41
ELLENSBURG 7,KS,42
ELLENSBURG 6,KS,57
EAST SANDERS,KS,246
THRALL,KS,219
ELLENSBURG 21,KS,98
MOUNTAIN,KS,94
HYAK,KS,59
ROSLYN 1,KS,135
ROSLYN 2,KS,98
KITTITAS 1,KS,99
KACHESS,KS,67
MANASTASH,KS,198
DENMARK,KS,326
ROSLYN OUTLYING,KS,36
SOUTH ELLENSBURG,KS,340
DRY CREEK,KS,262
NORTH CENTRAL,KS,207
ELLENSBURG 11,KS,108
ELLENSBURG 10,KS,105
ELLENSBURG 13,KS,85
ELLENSBURG 12,KS,115
ELLENSBURG 15,KS,127
ELLENSBURG 14,KS,117
ELLENSBURG 17,KS,162
ELLENSBURG 16,KS,197
ELLENSBURG 19,KS,253
ELLENSBURG 18,KS,29
WESTSIDE,KS,268
EASTON,KS,226
PEOH POINT,KS,212
SANDERS,KS,117
KITTITAS 2,KS,116
NORTH ELLENSBURG,KS,325
THORP,KS,228
SWAUK,KS,146
Total,KS,8985
