Row Label,County,Kim Yacklin,Shoona Riggs
BLUFFS 210,CM,89,146
PORT ANGELES 109,CM,269,350
PORT ANGELES 108,CM,114,146
BELLEVIEW 205,CM,194,266
CARLSBORG 214,CM,118,188
PORT ANGELES 103,CM,264,320
PORT ANGELES 102,CM,227,278
PORT ANGELES 101,CM,136,207
OLYMPIC 254,CM,119,177
PORT ANGELES 107,CM,236,321
PORT ANGELES 106,CM,188,250
PORT ANGELES 105,CM,202,290
PORT ANGELES 104,CM,134,246
AGNEW 201,CM,155,203
JAMESTOWN 240,CM,129,145
FRESHWATER BAY 233,CM,220,335
DUNGENESS EAST 222,CM,174,321
SUN 269,CM,60,70
CLARK 216,CM,68,93
MOUNT PLEASANT 251,CM,144,261
PORT WILLIAMS 258,CM,101,137
MILLER PENINSULA 246,CM,83,136
ELK 229,CM,50,57
FAIRVIEW 232,CM,159,314
OBRIEN 253,CM,174,212
HAPPY VALLEY 237,CM,92,125
EAGLE 226,CM,151,182
COYOTE 218,CM,193,275
BOGACHIEL 212,CM,65,64
ROBIN HILL 266,CM,136,188
PRAIRIE NORTH 259,CM,123,263
JOYCE 241,CM,191,312
NEAH BAY 252,CM,111,60
SEQUIM 406,CM,116,229
MADISON CREEK 248,CM,64,111
FORKS 301,CM,102,100
DEER PARK 220,CM,168,304
DIAMOND POINT 221,CM,183,207
BEAVER 204,CM,120,156
MONTERRA 249,CM,159,256
PORT ANGELES 110,CM,63,62
PORT ANGELES 111,CM,219,356
PORT ANGELES 112,CM,110,205
PORT ANGELES 113,CM,152,195
QUILEUTE 262,CM,66,63
CLINE 217,CM,184,255
FORKS 302,CM,146,164
BELL HILL 207,CM,151,261
PRAIRIE SOUTH 260,CM,177,211
MOUNT ANGELES 250,CM,95,179
SUNLAND NORTH 270,CM,130,321
BLYN 211,CM,163,175
DUNGENESS WEST 223,CM,90,135
BLUE MOUNTAIN 209,CM,188,252
MACLEAY 247,CM,155,274
SEQUIM 404,CM,208,333
SEQUIM 405,CM,129,211
SEQUIM 402,CM,86,139
SEQUIM 403,CM,176,220
DRY CREEK 224,CM,167,210
CLALLAM BAY 215,CM,91,111
LOST MOUNTAIN 245,CM,102,154
SEQUIM 401,CM,93,134
RIVERSIDE 265,CM,170,212
BLACK DIAMOND 208,CM,93,201
SUNLAND SOUTH 271,CM,111,149
ELWHA 230,CM,42,88
Total,CM,9338,13571
