Row Label,County,Holly Schiffer,Tiffany Rogers
CLARKSTON #2,AS,138,94
SWALLOWS NEST,AS,271,162
WEST CLARKSTON #1,AS,143,139
WEST CLARKSTON #2,AS,162,115
WEST CLARKSTON #3,AS,212,126
ASOTIN #1,AS,117,105
ASOTIN #2,AS,131,114
SOUTH CLARKSTON #1,AS,146,112
SOUTH CLARKSTON #2,AS,192,141
W ASOTIN,AS,108,67
CLARKSTON #6,AS,136,107
CLARKSTON #7,AS,83,75
RURAL ASOTIN,AS,100,64
CLARKSTON #4,AS,164,89
Total,AS,4304,2906
ANATONE,AS,97,52
CLARKSTON #3,AS,128,106
CLARKSTON HTS #4,AS,174,125
CLARKSTON #8,AS,112,103
CLARKSTON HTS #3,AS,92,29
CLARKSTON HTS #2,AS,341,192
CLARKSTON HTS #1,AS,196,120
CLARKSTON #5,AS,88,65
CLARKSTON HTS #7,AS,219,147
CLARKSTON HTS #6,AS,284,198
CLARKSTON HTS #5,AS,368,183
CLARKSTON #1,AS,102,76
