Row Label,County,Jill Whelchel Wahl
ENDICOTT 147,WT,97
LACROSSE IN,WT,96
GARFIELD IN,WT,156
PULLMAN CITY 114,WT,15
PULLMAN 235,WT,256
FARMINGTON 103,WT,27
LAMONT IN,WT,21
PULLMAN 234,WT,53
COLFAX CITY 139,WT,209
PULLMAN CITY 127,WT,22
MALDEN IN,WT,44
PULLMAN CITY 125,WT,15
PULLMAN CITY 124,WT,18
PULLMAN CITY 123,WT,161
PULLMAN CITY 122,WT,80
PULLMAN CITY 121,WT,111
PULLMAN CITY 120,WT,403
UNIONTOWN 109,WT,57
TEKOA 101,WT,54
PULLMAN CITY 129,WT,49
PULLMAN CITY 128,WT,47
COLFAX RURAL 137,WT,209
DUSTY 143,WT,41
ALBION 112,WT,95
COLFAX CITY 142,WT,281
PULLMAN CITY 126,WT,15
COLTON 108,WT,87
COLFAX CITY 141,WT,160
WILCOX 138,WT,117
HAY 144,WT,21
PULLMAN 228,WT,17
ALBION IN,WT,122
COLFAX RURAL 136,WT,124
COLTON IN,WT,157
ROSALIA IN,WT,173
TEKOA IN,WT,180
MALDEN 150,WT,8
HOOPER 145,WT,17
OAKESDALE IN,WT,151
ST JOHN IN,WT,172
LAMONT 148,WT,37
ROSALIA 151,WT,62
ST JOHN 149,WT,180
PULLMAN CITY 135,WT,141
ENDICOTT IN,WT,111
COLFAX CITY 140,WT,191
PULLMAN 218,WT,241
PULLMAN CITY 134,WT,17
OAKESDALE 102,WT,78
PULLMAN CITY 118,WT,213
PULLMAN CITY 119,WT,153
PULLMAN CITY 130,WT,44
PULLMAN CITY 131,WT,4
PULLMAN CITY 132,WT,0
PULLMAN CITY 133,WT,0
PULLMAN RURAL 110,WT,301
PULLMAN RURAL 111,WT,84
THORNTON 152,WT,46
LACROSSE 146,WT,70
PULLMAN CITY 116,WT,303
PULLMAN CITY 117,WT,121
PALOUSE 107,WT,233
PULLMAN CITY 115,WT,7
PALOUSE RURAL 106,WT,135
UNIONTOWN IN,WT,75
STEPTOE 104,WT,88
FARMINGTON IN,WT,57
PULLMAN CITY 113,WT,95
GARFIELD 105,WT,68
Total,WT,7293
