Row Label,County,Sissi Bruch,Bill Peach
BLUFFS 210,CM,117,164
PORT ANGELES 109,CM,408,302
PORT ANGELES 108,CM,178,122
BELLEVIEW 205,CM,237,272
CARLSBORG 214,CM,164,211
PORT ANGELES 103,CM,321,308
PORT ANGELES 102,CM,338,226
PORT ANGELES 101,CM,183,189
OLYMPIC 254,CM,164,193
PORT ANGELES 107,CM,368,263
PORT ANGELES 106,CM,236,224
PORT ANGELES 105,CM,312,249
PORT ANGELES 104,CM,275,149
AGNEW 201,CM,197,212
JAMESTOWN 240,CM,185,151
FRESHWATER BAY 233,CM,305,358
DUNGENESS EAST 222,CM,288,322
SUN 269,CM,42,117
CLARK 216,CM,97,90
MOUNT PLEASANT 251,CM,211,244
PORT WILLIAMS 258,CM,154,137
MILLER PENINSULA 246,CM,161,114
ELK 229,CM,64,61
FAIRVIEW 232,CM,235,315
OBRIEN 253,CM,174,252
HAPPY VALLEY 237,CM,116,161
EAGLE 226,CM,166,218
COYOTE 218,CM,284,272
BOGACHIEL 212,CM,45,130
ROBIN HILL 266,CM,176,220
PRAIRIE NORTH 259,CM,213,245
JOYCE 241,CM,258,340
NEAH BAY 252,CM,168,35
SEQUIM 406,CM,209,213
MADISON CREEK 248,CM,80,110
FORKS 301,CM,91,174
DEER PARK 220,CM,239,303
DIAMOND POINT 221,CM,244,246
BEAVER 204,CM,87,276
MONTERRA 249,CM,230,267
PORT ANGELES 110,CM,70,76
PORT ANGELES 111,CM,337,310
PORT ANGELES 112,CM,174,184
PORT ANGELES 113,CM,167,214
QUILEUTE 262,CM,76,98
CLINE 217,CM,287,224
FORKS 302,CM,114,281
BELL HILL 207,CM,216,291
PRAIRIE SOUTH 260,CM,212,268
MOUNT ANGELES 250,CM,177,153
SUNLAND NORTH 270,CM,255,278
BLYN 211,CM,206,224
DUNGENESS WEST 223,CM,134,133
BLUE MOUNTAIN 209,CM,248,276
MACLEAY 247,CM,249,264
SEQUIM 404,CM,305,354
SEQUIM 405,CM,198,218
SEQUIM 402,CM,144,127
SEQUIM 403,CM,269,225
DRY CREEK 224,CM,226,212
CLALLAM BAY 215,CM,114,139
LOST MOUNTAIN 245,CM,135,180
SEQUIM 401,CM,140,123
RIVERSIDE 265,CM,255,227
BLACK DIAMOND 208,CM,141,187
SUNLAND SOUTH 271,CM,152,185
ELWHA 230,CM,66,91
Total,CM,13087,13997
