Row Label,County,Mary Wilson-Engle
CAMANO 08,IS,339
CAMANO 09,IS,521
S WHIDBEY 09,IS,499
S WHIDBEY 08,IS,359
N WHIDBEY 04,IS,611
N WHIDBEY 05,IS,319
N WHIDBEY 06,IS,310
N WHIDBEY 07,IS,431
S WHIDBEY 03,IS,612
S WHIDBEY 02,IS,529
S WHIDBEY 01,IS,585
CAMANO 03,IS,511
S WHIDBEY 07,IS,470
S WHIDBEY 06,IS,498
S WHIDBEY 05,IS,502
S WHIDBEY 04,IS,453
N WHIDBEY 01,IS,564
N WHIDBEY 03,IS,432
CAMANO 01,IS,388
C WHIDBEY 03,IS,600
C WHIDBEY 02,IS,645
C WHIDBEY 01,IS,369
COUPEVILLE,IS,580
C WHIDBEY 05,IS,532
C WHIDBEY 04,IS,598
N WHIDBEY 02,IS,546
N WHIDBEY 08,IS,355
N WHIDBEY 09,IS,327
CAMANO 02,IS,525
N WHIDBEY 11,IS,82
N WHIDBEY 10,IS,149
S WHIDBEY 10,IS,474
CAMANO 04,IS,681
CAMANO 05,IS,580
CAMANO 06,IS,505
CAMANO 11,IS,493
CAMANO 10,IS,379
CAMANO 07,IS,473
OAK HARBOR 08,IS,428
OAK HARBOR 09,IS,123
OAK HARBOR 01,IS,517
OAK HARBOR 02,IS,407
OAK HARBOR 03,IS,482
OAK HARBOR 04,IS,486
OAK HARBOR 05,IS,526
OAK HARBOR 06,IS,420
OAK HARBOR 07,IS,502
LANGLEY,IS,288
Total,IS,22005
