Row Label,County,Bob Anderson,Bob Hamlin
NORTH BONNEVILLE,SM,134,186
STABLER,SM,133,154
UNDERWOOD SOUTH,SM,65,119
WIND RIVER,SM,94,109
CAPE HORN,SM,89,127
SKAMANIA,SM,126,130
ROCK CREEK,SM,58,86
CARSON CREEK,SM,93,126
SOUTH STEVENSON,SM,20,36
SKYE,SM,80,98
HOT SPRINGS SOUTH,SM,77,77
NORTH STEVENSON,SM,62,130
CHENOWITH,SM,45,111
MT. PLEASANT,SM,76,78
BEAR PRAIRIE,SM,94,60
CASCADES,SM,5,5
NELSON CREEK,SM,28,79
HOT SPRINGS NORTH,SM,45,45
LEWIS RIVER,SM,8,8
UNDERWOOD NORTH,SM,99,120
UPPER WASHOUGAL,SM,85,95
WIND MOUNTAIN,SM,44,77
MAPLE VIEW,SM,88,177
Total,SM,1648,2233
