Row Label,County,Vickie Clelland
NORTH BONNEVILLE,SM,253
STABLER,SM,221
UNDERWOOD SOUTH,SM,128
WIND RIVER,SM,172
CAPE HORN,SM,165
SKAMANIA,SM,192
ROCK CREEK,SM,115
CARSON CREEK,SM,197
SOUTH STEVENSON,SM,44
SKYE,SM,129
HOT SPRINGS SOUTH,SM,128
NORTH STEVENSON,SM,148
CHENOWITH,SM,113
MT. PLEASANT,SM,112
BEAR PRAIRIE,SM,125
CASCADES,SM,9
NELSON CREEK,SM,80
HOT SPRINGS NORTH,SM,79
LEWIS RIVER,SM,11
UNDERWOOD NORTH,SM,159
UPPER WASHOUGAL,SM,143
WIND MOUNTAIN,SM,79
MAPLE VIEW,SM,199
Total,SM,3001
