Row Label,County,Richard Reierson,Gregory J. Tripp
PCT 3000(*),SP,0,0
PCT 3329,SP,67,219
PCT 4448,SP,90,228
PCT 3323,SP,88,282
PCT 3322,SP,75,221
PCT 3321,SP,84,285
PCT 3320,SP,56,229
PCT 3327,SP,67,185
PCT 3326,SP,40,108
PCT 4438,SP,138,399
PCT 4439,SP,125,288
PCT 3325,SP,112,323
PCT 4432,SP,97,306
PCT 4433,SP,69,201
PCT 4430,SP,106,332
PCT 3324,SP,93,260
PCT 4436,SP,143,374
PCT 4437,SP,150,307
PCT 4434,SP,142,411
PCT 4435,SP,87,334
PCT 7028,SP,126,363
PCT 7029,SP,124,232
PCT 7020,SP,81,308
PCT 7021,SP,62,184
PCT 7022,SP,51,252
PCT 7023,SP,83,227
PCT 7024,SP,145,331
PCT 7025,SP,87,266
PCT 7026,SP,82,323
PCT 7027,SP,68,255
PCT 3222,SP,43,141
PCT 3223,SP,58,190
PCT 3220,SP,100,348
PCT 3221,SP,117,296
PCT 6221,SP,119,355
PCT 6220,SP,97,341
PCT 6223,SP,72,397
PCT 6222,SP,53,273
PCT 6225,SP,124,322
PCT 6224,SP,96,278
PCT 3128,SP,87,222
PCT 3121,SP,80,213
PCT 3120,SP,83,236
PCT 3123,SP,83,195
PCT 3122,SP,87,268
PCT 3125,SP,84,187
PCT 3124,SP,105,206
PCT 3127,SP,76,199
PCT 3126,SP,19,51
PCT 9400,SP,12,15
PCT 4034,SP,79,215
PCT 4035,SP,70,166
PCT 4032,SP,77,162
PCT 4033,SP,76,213
PCT 4030,SP,51,202
PCT 4031,SP,65,225
PCT 6315,SP,62,167
PCT 6314,SP,98,288
PCT 6317,SP,81,203
PCT 6316,SP,31,142
PCT 6311,SP,81,252
PCT 6310,SP,68,274
PCT 6313,SP,104,314
PCT 6312,SP,85,242
PCT 6318,SP,77,251
PCT 6009,SP,90,222
PCT 6008,SP,85,239
PCT 9700,SP,43,81
PCT 6001,SP,81,264
PCT 6000,SP,81,180
PCT 6003,SP,84,310
PCT 6002,SP,16,86
PCT 6005,SP,106,227
PCT 6004,SP,60,195
PCT 6007,SP,98,240
PCT 6006,SP,82,273
PCT 3301,SP,114,399
PCT 3100(*),SP,0,0
PCT 3303,SP,105,263
PCT 3302,SP,97,280
PCT 3305,SP,79,221
PCT 3304,SP,95,287
PCT 3307,SP,57,205
PCT 3306,SP,90,280
PCT 3309,SP,81,284
PCT 3308,SP,114,250
PCT 6500,SP,26,58
PCT 6218,SP,85,275
PCT 6219,SP,97,312
PCT 6210,SP,93,401
PCT 6211,SP,68,237
PCT 6212,SP,76,179
PCT 6213,SP,121,330
PCT 6214,SP,74,280
PCT 6215,SP,80,368
PCT 6216,SP,82,292
PCT 6217,SP,110,335
PCT 3110,SP,76,169
PCT 3111,SP,69,174
PCT 3112,SP,7,11
PCT 3113,SP,90,260
PCT 3114,SP,120,218
PCT 3115,SP,79,239
PCT 3116,SP,117,224
PCT 3117,SP,70,170
PCT 3118,SP,69,154
PCT 3119,SP,80,201
PCT 4429,SP,106,339
PCT 4428,SP,68,216
PCT 4425,SP,77,212
PCT 4424,SP,85,283
PCT 4427,SP,134,364
PCT 4426,SP,49,167
PCT 4421,SP,86,214
PCT 4420,SP,52,132
PCT 4423,SP,150,365
PCT 4422,SP,109,299
PCT 7033,SP,60,194
PCT 7032,SP,103,292
PCT 7031,SP,83,272
PCT 7030,SP,83,307
PCT 7036,SP,87,200
PCT 7035,SP,67,172
PCT 7034,SP,71,178
PCT 6602,SP,107,262
PCT 6601,SP,84,231
PCT 6600,SP,106,253
PCT 6030,SP,121,390
PCT 6031,SP,68,215
PCT 6032,SP,36,184
PCT 6033,SP,117,408
PCT 6034,SP,104,300
PCT 6035,SP,50,175
PCT 6036,SP,72,163
PCT 6037,SP,59,147
PCT 4450,SP,50,153
PCT 4451,SP,76,224
PCT 4452,SP,86,204
PCT 4453,SP,89,288
PCT 4454,SP,75,199
PCT 4455,SP,87,212
PCT 3300,SP,76,252
PCT 4029,SP,78,277
PCT 4028,SP,129,356
PCT 4021,SP,105,315
PCT 4020,SP,120,300
PCT 4023,SP,26,127
PCT 4022,SP,81,251
PCT 4025,SP,71,264
PCT 4024,SP,54,214
PCT 4027,SP,77,262
PCT 4026,SP,87,216
PCT 4431,SP,81,244
PCT 4414,SP,121,357
PCT 4415,SP,75,238
PCT 4416,SP,107,275
PCT 4417,SP,67,190
PCT 4410,SP,100,315
PCT 4411,SP,111,314
PCT 4412,SP,68,242
PCT 4413,SP,115,282
