Row Label,County,Debra R. Hayes
PCT 3329,SP,242
PCT 4448,SP,261
PCT 3323,SP,289
PCT 3322,SP,245
PCT 3321,SP,291
PCT 3320,SP,217
PCT 3327,SP,219
PCT 3326,SP,142
PCT 4438,SP,453
PCT 4439,SP,342
PCT 3325,SP,353
PCT 4432,SP,327
PCT 4433,SP,234
PCT 4430,SP,360
PCT 3324,SP,294
PCT 4436,SP,425
PCT 4437,SP,395
PCT 4434,SP,430
PCT 4435,SP,349
PCT 7028,SP,406
PCT 7029,SP,308
PCT 7020,SP,310
PCT 7021,SP,206
PCT 7022,SP,239
PCT 7023,SP,265
PCT 7024,SP,388
PCT 7025,SP,287
PCT 7026,SP,296
PCT 7027,SP,281
PCT 3222,SP,142
PCT 3223,SP,186
PCT 3220,SP,334
PCT 3221,SP,319
PCT 6221,SP,354
PCT 6220,SP,352
PCT 6223,SP,355
PCT 6222,SP,259
PCT 6225,SP,383
PCT 6224,SP,311
PCT 3128,SP,255
PCT 3121,SP,244
PCT 3120,SP,281
PCT 3123,SP,240
PCT 3122,SP,298
PCT 3125,SP,239
PCT 3124,SP,271
PCT 3127,SP,244
PCT 3126,SP,56
PCT 9400,SP,23
PCT 4034,SP,243
PCT 4035,SP,204
PCT 4032,SP,180
PCT 4033,SP,227
PCT 4030,SP,213
PCT 4031,SP,231
PCT 6315,SP,206
PCT 6314,SP,306
PCT 6317,SP,211
PCT 6316,SP,139
PCT 6311,SP,261
PCT 6310,SP,274
PCT 6313,SP,356
PCT 6312,SP,284
PCT 6318,SP,275
PCT 6009,SP,272
PCT 6008,SP,254
PCT 9700,SP,103
PCT 6001,SP,259
PCT 6000,SP,205
PCT 6003,SP,318
PCT 6002,SP,77
PCT 6005,SP,283
PCT 6004,SP,201
PCT 6007,SP,277
PCT 6006,SP,282
PCT 3301,SP,417
PCT 3300,SP,260
PCT 3303,SP,306
PCT 3302,SP,311
PCT 3305,SP,226
PCT 3304,SP,306
PCT 3307,SP,210
PCT 3306,SP,305
PCT 3309,SP,298
PCT 3308,SP,306
PCT 6500,SP,70
PCT 6218,SP,297
PCT 6219,SP,312
PCT 6210,SP,353
PCT 6211,SP,235
PCT 6212,SP,209
PCT 6213,SP,353
PCT 6214,SP,253
PCT 6215,SP,358
PCT 6216,SP,285
PCT 6217,SP,352
PCT 3110,SP,213
PCT 3111,SP,214
PCT 3112,SP,17
PCT 3113,SP,305
PCT 3114,SP,303
PCT 3115,SP,281
PCT 3116,SP,273
PCT 3117,SP,204
PCT 3118,SP,187
PCT 3119,SP,240
PCT 4429,SP,343
PCT 4428,SP,227
PCT 4425,SP,248
PCT 4424,SP,292
PCT 4427,SP,397
PCT 4426,SP,177
PCT 4421,SP,245
PCT 4420,SP,154
PCT 4423,SP,429
PCT 4422,SP,343
PCT 7033,SP,197
PCT 7032,SP,303
PCT 7031,SP,291
PCT 7030,SP,316
PCT 7036,SP,237
PCT 7035,SP,197
PCT 7034,SP,206
PCT 6602,SP,306
PCT 6601,SP,268
PCT 6600,SP,292
PCT 6030,SP,398
PCT 6031,SP,213
PCT 6032,SP,162
PCT 6033,SP,404
PCT 6034,SP,312
PCT 6035,SP,192
PCT 6036,SP,202
PCT 6037,SP,172
PCT 4450,SP,176
PCT 4451,SP,269
PCT 4452,SP,254
PCT 4453,SP,299
PCT 4454,SP,238
PCT 4455,SP,259
PCT 4029,SP,273
PCT 4028,SP,393
PCT 4021,SP,352
PCT 4020,SP,357
PCT 4023,SP,128
PCT 4022,SP,269
PCT 4025,SP,285
PCT 4024,SP,211
PCT 4027,SP,289
PCT 4026,SP,267
PCT 4431,SP,281
PCT 4414,SP,398
PCT 4415,SP,259
PCT 4416,SP,321
PCT 4417,SP,227
PCT 4410,SP,339
PCT 4411,SP,318
PCT 4412,SP,246
PCT 4413,SP,325
PCT 4418,SP,326
PCT 4419,SP,347
PCT 4201,SP,151
PCT 4200,SP,236
PCT 9600,SP,37
PCT 6100,SP,199
PCT 6101,SP,285
PCT 6102,SP,286
PCT 6103,SP,121
PCT 6104,SP,212
PCT 6105,SP,239
PCT 6106,SP,381
PCT 6107,SP,189
PCT 6108,SP,235
PCT 6109,SP,184
PCT 3208,SP,294
PCT 3209,SP,359
PCT 3200,SP,211
PCT 3201,SP,303
PCT 3202,SP,185
PCT 3203,SP,261
PCT 3204,SP,205
PCT 3205,SP,250
PCT 3206,SP,207
PCT 3207,SP,138
PCT 6209,SP,281
PCT 6208,SP,364
PCT 6203,SP,327
PCT 6202,SP,307
PCT 6201,SP,260
PCT 6200,SP,392
PCT 6207,SP,346
PCT 6206,SP,343
PCT 6205,SP,309
PCT 6204,SP,363
PCT 3103,SP,206
PCT 3102,SP,165
PCT 3101,SP,228
PCT 3100,SP,265
PCT 3107,SP,281
PCT 3106,SP,261
PCT 3105,SP,245
PCT 3104,SP,281
PCT 3109,SP,239
PCT 3108,SP,209
PCT 4010,SP,292
PCT 4011,SP,386
PCT 4012,SP,448
PCT 4013,SP,268
PCT 4014,SP,211
PCT 4015,SP,212
PCT 4016,SP,320
PCT 4017,SP,395
PCT 4018,SP,221
PCT 4019,SP,245
PCT 6704,SP,292
PCT 6702,SP,212
PCT 6703,SP,263
PCT 6700,SP,288
PCT 6701,SP,282
PCT 7008,SP,333
PCT 7009,SP,427
PCT 7006,SP,347
PCT 7007,SP,302
PCT 7004,SP,320
PCT 7005,SP,458
PCT 7002,SP,242
PCT 7003,SP,373
PCT 7000,SP,397
PCT 7001,SP,230
PCT 6023,SP,165
PCT 6022,SP,301
PCT 6021,SP,297
PCT 6020,SP,457
PCT 6027,SP,280
PCT 6026,SP,455
PCT 6025,SP,232
PCT 6024,SP,150
PCT 6029,SP,282
PCT 6028,SP,248
PCT 4449,SP,182
PCT 3328,SP,285
PCT 4443,SP,185
PCT 4442,SP,234
PCT 4441,SP,255
PCT 4440,SP,336
PCT 4447,SP,150
PCT 4446,SP,203
PCT 4445,SP,283
PCT 4444,SP,344
Total,SP,92996
PCT 7301,SP,238
PCT 7300,SP,265
PCT 7302,SP,219
PCT 4407,SP,322
PCT 4406,SP,315
PCT 4405,SP,382
PCT 4404,SP,361
PCT 4403,SP,383
PCT 4402,SP,331
PCT 4401,SP,339
PCT 4400,SP,304
PCT 4409,SP,434
PCT 4408,SP,384
PCT 3219,SP,264
PCT 3218,SP,322
PCT 3213,SP,310
PCT 3212,SP,198
PCT 3211,SP,233
PCT 3210,SP,244
PCT 3217,SP,377
PCT 3216,SP,326
PCT 3215,SP,162
PCT 3214,SP,263
PCT 4300,SP,232
PCT 4301,SP,157
PCT 4302,SP,318
PCT 4303,SP,290
PCT 4304,SP,220
PCT 4305,SP,205
PCT 4306,SP,280
PCT 4307,SP,70
PCT 9500,SP,104
PCT 4003,SP,435
PCT 4002,SP,284
PCT 4001,SP,244
PCT 4007,SP,225
PCT 4006,SP,400
PCT 4005,SP,243
PCT 4004,SP,314
PCT 4009,SP,272
PCT 4008,SP,210
PCT 6302,SP,241
PCT 6303,SP,433
PCT 6300,SP,474
PCT 6301,SP,436
PCT 6306,SP,265
PCT 6307,SP,150
PCT 6304,SP,370
PCT 6305,SP,188
PCT 6308,SP,183
PCT 6309,SP,321
PCT 3000,SP,5
PCT 7011,SP,190
PCT 7010,SP,234
PCT 7013,SP,274
PCT 7012,SP,269
PCT 7015,SP,264
PCT 7014,SP,251
PCT 7017,SP,300
PCT 7016,SP,419
PCT 7019,SP,291
PCT 7018,SP,364
PCT 9300,SP,53
PCT 6401,SP,147
PCT 6400,SP,258
PCT 6402,SP,313
PCT 6016,SP,198
PCT 6017,SP,420
PCT 6014,SP,150
PCT 6015,SP,168
PCT 6012,SP,197
PCT 6013,SP,218
PCT 6010,SP,41
PCT 6011,SP,263
PCT 6018,SP,368
PCT 6019,SP,410
PCT 3318,SP,282
PCT 3319,SP,249
PCT 3316,SP,337
PCT 3317,SP,395
PCT 3314,SP,261
PCT 3315,SP,342
PCT 3312,SP,366
PCT 3313,SP,399
PCT 3310,SP,300
PCT 3311,SP,197
PCT 9008,SP,41
PCT 9004,SP,283
PCT 9005,SP,99
PCT 9006,SP,297
PCT 9007,SP,77
PCT 9000,SP,328
PCT 9001,SP,226
PCT 9002,SP,206
PCT 9003,SP,149
