Row Label,County,Michael E Clay,Gina A Tveit
MILL CREEK,ST,57,105
KETTLE FALLS 1,ST,120,208
COLUMBIA,ST,154,318
ARDEN 1,ST,87,237
COLVILLE 1,ST,50,94
COLVILLE 2,ST,46,140
DAISY,ST,41,141
COLVILLE 4,ST,103,294
COLVILLE 5,ST,83,231
COLVILLE 6,ST,57,153
COLVILLE 7,ST,54,158
COLVILLE VALLEY,ST,166,433
STONE LODGE,ST,157,176
ECHO VALLEY,ST,97,116
LOON LAKE 2,ST,104,134
NARCISSE,ST,144,316
LOON LAKE 1,ST,191,238
COLVILLE 3,ST,67,123
CAMAS PRAIRIE,ST,96,107
EVANS,ST,82,141
SPRINGDALE,ST,22,45
MEYERS FALLS 2,ST,152,333
NORTHPORT,ST,25,80
SUMMIT,ST,107,144
KELLY HILL,ST,29,78
CLAYTON 2,ST,218,162
CLAYTON 1,ST,116,101
ARDEN 2,ST,105,260
MEYERS FALLS 1,ST,113,193
WAITTS LAKE,ST,152,194
WELLPINIT,ST,66,88
CHEWELAH 3,ST,76,134
HUNTERS,ST,151,203
ONION CREEK,ST,40,94
CHEWELAH 2,ST,38,100
CHEWELAH 1,ST,109,168
ECHO,ST,151,247
QUARTZITE 1,ST,186,359
QUARTZITE 2,ST,104,174
TUM TUM 5,ST,131,187
TUM TUM 4,ST,144,129
ROCK CUT,ST,33,48
TUM TUM 1,ST,117,93
TUM TUM 3,ST,223,256
TUM TUM 2,ST,155,247
MARCUS,ST,23,45
Total,ST,5924,9729
FIRST THOUGHT,ST,14,42
WALKERS PRAIRIE,ST,123,127
CAMAS,ST,146,154
ADDY,ST,168,213
WILLIAMS VALLEY,ST,247,199
ORIN 1,ST,83,180
ORIN 2,ST,111,222
KETTLE FALLS 2,ST,65,140
CHEWELAH FORE,ST,59,115
RICE,ST,73,128
VALLEY 1,ST,24,35
VALLEY 2,ST,69,149
