Row Label,County,Selinda Barkhuis
BLUFFS 210,CM,190
PORT ANGELES 109,CM,464
PORT ANGELES 108,CM,210
BELLEVIEW 205,CM,353
CARLSBORG 214,CM,241
PORT ANGELES 103,CM,395
PORT ANGELES 102,CM,390
PORT ANGELES 101,CM,238
OLYMPIC 254,CM,211
PORT ANGELES 107,CM,417
PORT ANGELES 106,CM,303
PORT ANGELES 105,CM,388
PORT ANGELES 104,CM,291
AGNEW 201,CM,277
JAMESTOWN 240,CM,202
FRESHWATER BAY 233,CM,400
DUNGENESS EAST 222,CM,368
SUN 269,CM,106
CLARK 216,CM,131
MOUNT PLEASANT 251,CM,304
PORT WILLIAMS 258,CM,184
MILLER PENINSULA 246,CM,159
ELK 229,CM,86
FAIRVIEW 232,CM,321
OBRIEN 253,CM,274
HAPPY VALLEY 237,CM,164
EAGLE 226,CM,254
COYOTE 218,CM,366
BOGACHIEL 212,CM,99
ROBIN HILL 266,CM,244
PRAIRIE NORTH 259,CM,266
JOYCE 241,CM,353
NEAH BAY 252,CM,153
SEQUIM 406,CM,275
MADISON CREEK 248,CM,120
FORKS 301,CM,172
DEER PARK 220,CM,335
DIAMOND POINT 221,CM,334
BEAVER 204,CM,190
MONTERRA 249,CM,306
PORT ANGELES 110,CM,104
PORT ANGELES 111,CM,448
PORT ANGELES 112,CM,236
PORT ANGELES 113,CM,247
QUILEUTE 262,CM,105
CLINE 217,CM,318
FORKS 302,CM,231
BELL HILL 207,CM,313
PRAIRIE SOUTH 260,CM,325
MOUNT ANGELES 250,CM,196
SUNLAND NORTH 270,CM,352
BLYN 211,CM,261
DUNGENESS WEST 223,CM,172
BLUE MOUNTAIN 209,CM,327
MACLEAY 247,CM,302
SEQUIM 404,CM,406
SEQUIM 405,CM,267
SEQUIM 402,CM,189
SEQUIM 403,CM,335
DRY CREEK 224,CM,297
CLALLAM BAY 215,CM,171
LOST MOUNTAIN 245,CM,181
SEQUIM 401,CM,186
RIVERSIDE 265,CM,294
BLACK DIAMOND 208,CM,193
SUNLAND SOUTH 271,CM,225
ELWHA 230,CM,97
Total,CM,17312
