Row Label,County,Rick Porter,Cathy Marshall
BLUFFS 210,CM,168,107
PORT ANGELES 109,CM,348,327
PORT ANGELES 108,CM,145,143
BELLEVIEW 205,CM,281,218
CARLSBORG 214,CM,177,166
PORT ANGELES 103,CM,342,274
PORT ANGELES 102,CM,288,255
PORT ANGELES 101,CM,206,164
OLYMPIC 254,CM,207,126
PORT ANGELES 107,CM,370,249
PORT ANGELES 106,CM,278,174
PORT ANGELES 105,CM,304,250
PORT ANGELES 104,CM,197,211
JAMESTOWN 240,CM,168,132
FRESHWATER BAY 233,CM,400,234
DUNGENESS EAST 222,CM,327,228
CLARK 216,CM,95,70
MOUNT PLEASANT 251,CM,281,155
PORT WILLIAMS 258,CM,152,113
MILLER PENINSULA 246,CM,110,135
ELK 229,CM,54,60
FAIRVIEW 232,CM,316,201
OBRIEN 253,CM,258,145
HAPPY VALLEY 237,CM,138,113
EAGLE 226,CM,194,170
COYOTE 218,CM,299,214
JOYCE 241,CM,310,225
ROBIN HILL 266,CM,202,171
MACLEAY 247,CM,298,176
PRAIRIE NORTH 259,CM,255,164
SEQUIM 406,CM,243,152
BEAVER 204(*),CM,0,0
DEER PARK 220,CM,316,204
DIAMOND POINT 221,CM,317,137
MONTERRA 249,CM,288,163
PORT ANGELES 110,CM,77,64
PORT ANGELES 111,CM,357,277
PORT ANGELES 112,CM,203,140
PORT ANGELES 113,CM,236,136
SEQUIM 404,CM,364,251
CLINE 217,CM,285,191
BELL HILL 207,CM,300,161
PRAIRIE SOUTH 260,CM,261,180
MOUNT ANGELES 250,CM,176,123
SUNLAND NORTH 270,CM,341,174
BLYN 211,CM,189,191
DUNGENESS WEST 223,CM,157,103
BLUE MOUNTAIN 209,CM,286,185
AGNEW 201(*),CM,0,0
MADISON CREEK 248,CM,118,67
SEQUIM 405,CM,215,166
SEQUIM 402,CM,127,122
SEQUIM 403,CM,227,220
DRY CREEK 224,CM,228,177
SEQUIM 401,CM,147,104
LOST MOUNTAIN 245,CM,160,128
RIVERSIDE 265,CM,242,192
BLACK DIAMOND 208,CM,189,116
SUNLAND SOUTH 271,CM,187,132
ELWHA 230,CM,80,62
Total,CM,13704,9851
