Row Label,County,Kathy Hanks
Memorial,CZ,211
Windemere,CZ,448
Modrow,CZ,262
Ostrander,CZ,332
Baltimore,CZ,337
Magnolia,CZ,498
Hudson,CZ,366
Lake,CZ,296
Douglas,CZ,244
Kessler,CZ,402
St. Helens,CZ,163
Woodage,CZ,196
Arkansas,CZ,135
Olson,CZ,207
Woodland South,CZ,321
Tunstall,CZ,115
Brynion,CZ,252
Marigold,CZ,444
Crawford,CZ,307
Chinook,CZ,344
Ridgecrest,CZ,22
Cloverdale,CZ,235
Elk Ridge,CZ,3
Woodland North,CZ,357
West Kelso,CZ,95
Ponderosa,CZ,265
Owl Creek,CZ,404
Willow Grove,CZ,95
Robbins,CZ,429
Powell,CZ,286
Ocean Beach,CZ,295
Sparks,CZ,184
Beacon,CZ,430
Harris,CZ,285
Delameter,CZ,269
Ryderwood,CZ,137
Redpath,CZ,251
Nevada,CZ,286
Sandy Bend,CZ,295
Mint Valley,CZ,497
Burcham,CZ,547
Columbia Valley Gdns,CZ,232
Lexington,CZ,301
Rose Valley,CZ,213
Mt. Solo,CZ,93
Haussler,CZ,221
Silver Lake,CZ,489
Ammons,CZ,210
Kalama North,CZ,249
Yale,CZ,213
Bakers,CZ,15
Sacajawea,CZ,613
Alabama,CZ,224
Kalama South,CZ,339
Mill,CZ,412
Caples,CZ,105
Lone Oak,CZ,176
Lewis River,CZ,361
Industrial,CZ,0
Castle Rock,CZ,415
Stella,CZ,278
Toutle,CZ,372
Tower,CZ,464
Columbia Heights,CZ,186
Pacific,CZ,362
McGowan,CZ,64
Hillcrest,CZ,532
Boondox,CZ,11
View,CZ,221
Coal Creek,CZ,402
Laurel,CZ,383
Carrolls,CZ,309
Total,CZ,20012
