Row Label,County,Suzan DelBene,Pedro Celis
TINGLEY,SK,112,115
CONCRETE,SK,105,70
BIRDSVIEW,SK,231,198
BIG LAKE,SK,293,281
CEDARDALE,SK,72,79
ROCKPORT,SK,227,130
MOUNT VERNON 16,SK,332,244
MOUNT VERNON 15,SK,170,97
MOUNT VERNON 14,SK,349,181
MOUNT VERNON 12,SK,124,71
MOUNT VERNON 11,SK,245,149
MOUNT VERNON  5,SK,74,36
MOUNT VERNON 19,SK,277,197
VIEW TERRACE(*),SK,0,0
MOUNT VERNON  4,SK,356,236
MOUNT VERNON  1,SK,103,66
MOUNT VERNON  6,SK,240,88
PRAIRIE,SK,193,244
MONTBORNE,SK,289,265
MOUNT VERNON  2,SK,120,70
HAMBURG,SK,112,76
SAUK,SK,260,157
MOUNT VERNON  3,SK,247,124
MANSFORD,SK,43,28
MOUNT VERNON  9,SK,135,88
MAPES,SK,91,64
STERLING,SK,62,61
LYMAN,SK,56,51
MOUNT VERNON 30,SK,268,239
NOOKACHAMPS,SK,143,103
MCMURRAY EAST,SK,51,52
LAKE CAVANAUGH,SK,51,84
CASCADE,SK,65,27
DIGBY,SK,11,27
HAMILTON,SK,37,20
MOUNT VERNON 27,SK,80,48
MOUNT VERNON 22,SK,405,361
MOUNT VERNON 21,SK,422,260
SKYRIDGE,SK,223,175
MOUNT VERNON  8,SK,453,281
MOUNT VERNON 10,SK,134,85
ALDER,SK,133,108
CLEAR LAKE,SK,216,209
MOUNT VERNON  7,SK,328,119
VAN FLEET(*),SK,0,0
Total,SK,8292,5973
MINKLER,SK,164,131
