Row Label,County,Rick Larsen,B.J. Guillot
LUNDS GULCH,SN,86,31
STRAUS,SN,176,222
EVERETT  73,SN,169,114
EVERETT  72,SN,94,56
EVERETT  71,SN,86,64
EVERETT  70,SN,2,2
EVERETT  77,SN,141,88
EVERETT  76,SN,140,112
EVERETT  75,SN,93,93
EVERETT  74,SN,85,94
EVERETT  79,SN,160,102
EVERETT  78,SN,73,64
NILE,SN,0,0
RHODY RIDGE,SN,126,86
CHATHAM,SN,36,23
MARYSVILLE 45,SN,175,206
MARYSVILLE 44,SN,206,189
MUKILTEO 18,SN,236,188
MARYSVILLE 46,SN,198,201
MARYSVILLE 41,SN,117,85
MARYSVILLE 40,SN,104,138
MARYSVILLE 43,SN,138,143
MARYSVILLE 42,SN,132,112
MUKILTEO 12,SN,321,167
KACKMAN,SN,109,114
MUKILTEO 10,SN,147,73
MUKILTEO 11,SN,171,109
MUKILTEO 16,SN,275,152
MUKILTEO 17,SN,251,179
MUKILTEO 14,SN,236,165
MUKILTEO 15,SN,53,53
MC RAE,SN,104,133
MARYSVILLE 30,SN,160,184
MARYSVILLE 31,SN,201,245
MARYSVILLE 32,SN,106,107
MARYSVILLE 34,SN,124,128
MARYSVILLE 35,SN,150,140
MARYSVILLE 36,SN,126,79
MARYSVILLE 37,SN,117,88
MARYSVILLE 38,SN,104,107
MARYSVILLE 39,SN,150,104
WAXON,SN,246,149
PRIEST POINT,SN,120,77
LYNNWOOD 23,SN,201,67
LYNNWOOD 22,SN,136,60
LYNNWOOD 21,SN,170,117
LYNNWOOD 20,SN,189,97
LYNNWOOD 26,SN,204,100
LYNNWOOD 25,SN,236,123
LYNNWOOD 24,SN,165,62
WATERS,SN,156,234
LYNNWOOD 28,SN,109,73
EVERETT   4,SN,187,96
ELFIN,SN,89,81
EVERETT   1,SN,239,134
SPENCER(*),SN,0,0
HILTONS LAKE,SN,176,148
EVERETT  39,SN,133,127
EVERETT  38,SN,42,34
EVERETT  37,SN,178,97
EVERETT  36,SN,148,95
EVERETT  35,SN,171,134
MARINER,SN,140,97
EVERETT  33,SN,231,144
EVERETT  32,SN,167,113
EVERETT  31,SN,132,75
EVERETT  30,SN,205,134
PACIFIC,SN,55,17
ARLINGTON 17,SN,4,3
ARLINGTON 16,SN,93,123
ARLINGTON 15,SN,57,54
ARLINGTON 14,SN,112,126
VINE,SN,173,100
ARLINGTON 12,SN,97,131
ARLINGTON 11,SN,90,75
ARLINGTON 10,SN,191,200
TIMBER,SN,0,0
EVERGREEN,SN,116,81
STONE GATE,SN,171,72
EVERETT  69,SN,178,86
MUKILTEO 21,SN,126,78
WALNUT,SN,128,88
STANWOOD 1,SN,92,70
STANWOOD 3,SN,123,121
STANWOOD 2,SN,135,146
STANWOOD 5,SN,172,209
STANWOOD 4,SN,214,203
STANWOOD 7,SN,90,85
STANWOOD 6,SN,91,125
CLOVER,SN,139,104
COHO,SN,87,36
MARYSVILLE 47,SN,168,131
LYNNWOOD  5,SN,109,58
LYNNWOOD  4,SN,144,77
LYNNWOOD  7,SN,217,119
LYNNWOOD  6,SN,181,83
LYNNWOOD  1,SN,108,44
LYNNWOOD  3,SN,169,100
LYNNWOOD  2,SN,154,65
ATLAS,SN,241,138
LYNNWOOD  9,SN,229,105
LYNNWOOD  8,SN,139,74
BRIER 8,SN,146,103
BRIER 3,SN,290,179
BRIER 2,SN,169,98
BRIER 1,SN,219,115
BRIER 7,SN,167,116
NORTHROAD,SN,229,149
BRIER 5,SN,255,149
BRIER 4,SN,239,104
POPLAR,SN,104,68
PORT SUSAN,SN,225,214
MUKILTEO  5,SN,249,190
MUKILTEO  4,SN,143,102
MUKILTEO  7,SN,153,95
MUKILTEO  6,SN,199,141
MUKILTEO  1,SN,262,158
MUKILTEO  3,SN,153,116
MUKILTEO  2,SN,313,167
MARYSVILLE 49,SN,124,111
MUKILTEO  9,SN,191,130
MUKILTEO  8,SN,152,88
MARYSVILLE 48,SN,147,100
SILVER LAKE,SN,158,111
SUNDAY LAKE,SN,201,202
RIDGEVIEW,SN,109,52
ROYAL,SN,228,207
