Row Label,County,Jaime Herrera Beutler,Bob Dingethal
Salzer,LE,150,23
Napavine #2,LE,0,0
Packwood,LE,79,28
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,379,81
Union,LE,213,53
Paradise,LE,36,22
Napavine #4,LE,0,0
Urquhart,LE,176,34
Mossyrock,LE,116,36
Independence,LE,59,23
Sommerville,LE,55,8
Stillwater West,LE,118,69
Veness,LE,300,69
Greenwood,LE,16,3
Stearns Creek,LE,128,22
Elk Crk,LE,118,20
Stillwater East,LE,81,24
Agate,LE,159,34
Skookumchuck,LE,309,60
Silver Creek,LE,280,97
Meskill,LE,58,15
Onalaska,LE,560,149
Jackson,LE,363,103
Napavine #3(*),LE,0,0
Toledo,LE,135,50
Mauermann,LE,59,28
Chehalis #9,LE,10,5
Chehalis #8,LE,197,79
Harmony,LE,293,87
Chehalis #1,LE,176,94
Chehalis #3,LE,160,48
Chehalis #2,LE,140,54
Chehalis #5,LE,137,43
Chehalis #4,LE,142,63
Chehalis #7,LE,57,5
Chehalis #6,LE,290,79
Centralia #2,LE,297,122
Centralia #3,LE,112,41
Centralia #1,LE,118,51
Centralia #6,LE,210,133
Centralia #7,LE,120,47
Centralia #4,LE,187,65
Centralia #5,LE,116,49
Centralia #8,LE,147,57
Centralia #9,LE,304,85
Mineral,LE,151,54
Salkum,LE,251,59
Randle West,LE,203,65
Ethel,LE,395,96
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,670,170
Parcuvia,LE,247,52
Evaline West,LE,156,46
Pe Ell,LE,145,55
Newaukum,LE,293,57
Forest,LE,329,72
Dryad,LE,99,23
Temple,LE,244,79
Cowlitz,LE,461,127
Drews Prairie,LE,144,40
Seminary Hill,LE,156,52
Klickitat,LE,185,44
Verndale,LE,265,80
Cinebar,LE,256,71
Whealdon,LE,213,54
Sears,LE,212,48
Adna ,LE,545,98
Big Bottom,LE,265,126
Fords Prairie,LE,337,57
Jackson North,LE,0,0
Boistfort,LE,109,22
Claquato,LE,309,57
Curtis,LE,120,23
Vader,LE,103,51
Logan,LE,278,88
Alpha,LE,379,119
Berwick,LE,448,85
Evaline East,LE,107,35
Lincoln Creek,LE,253,59
Randle East,LE,261,90
Salmon Creek,LE,457,160
Emery North(*),LE,0,0
Emery(*),LE,0,0
Winlock,LE,208,67
Prescott,LE,569,163
Total,LE,18522,5376
Kelly,LE,0,0
Roswell,LE,7,5
Centralia #10,LE,108,37
Centralia #11,LE,280,120
Centralia #12,LE,349,114
Centralia #13,LE,375,103
Morton,LE,225,59
