Row Label,County,Clint Didier,Dan Newhouse
Ephrata 7 012,GR,177,123
Hartline Rural S 020,GR,20,7
Moses Lake 5 029,GR,179,139
Ephrata 9 013,GR,302,216
Beverly 002,GR,27,7
East Wahluke 061,GR,75,14
Royal City 044,GR,79,34
Moses Lake 2 067,GR,157,104
Marlin 024,GR,8,9
Lakeview Park 021,GR,201,91
Moses Lake 9  068,GR,187,154
Coulee City 005,GR,137,65
North Banks Lake 037,GR,32,35
Ephrata Rural E,GR,197,80
Moses Lake 7 033,GR,252,146
George 015,GR,24,16
Mae 023,GR,503,313
Ruff 045,GR,47,9
Cascade Valley 058,GR,322,231
Wilson Crk Rural 056,GR,25,4
Electric City 007,GR,183,125
Coulee Cty Rur N 072,GR,46,28
Moses Lake 1 066,GR,137,86
Smyrna 2 060,GR,16,8
Hartline 019,GR,37,21
Moses Lake 4 031,GR,155,138
Cascade Fairgrnd 004,GR,138,91
Warden 050,GR,120,57
Ephrata 5 008,GR,173,104
Quincy 4 040,GR,82,56
Ephrata 4 011,GR,223,183
Quincy 1 039,GR,141,118
Stratford 049,GR,32,13
Westslope 1 053,GR,80,29
McConihe 1 028,GR,134,62
Marlin Rural 025,GR,32,15
Coulee Cty Rur W 006,GR,49,35
Coulee Cty Rur E 062,GR,20,2
Moses Lake 6 032,GR,263,193
Wheeler 2 070,GR,418,223
Longview 022,GR,256,122
Greenfield 065,GR,36,18
Mattawa Rural 027,GR,284,176
Airport 2 057,GR,108,84
Soap Lake 1 047,GR,108,78
Airport 1 001,GR,153,86
Grand Coulee 018,GR,135,109
Moses Lake 12 036,GR,211,148
Gloyd 017,GR,192,92
Hartline Rural N 073,GR,28,9
Smyrna 1 046,GR,82,40
Westslope 2 059,GR,56,25
Moses Lake 3 030,GR,309,178
Mattawa 026,GR,25,17
O Sullivan Dam 2 069,GR,357,292
Soap Lake 2 052,GR,91,80
Quincy Rural S 064,GR,300,254
Ephrata Rural ,GR,187,90
Ephrata 3 010,GR,139,104
Wheeler 1 054,GR,150,76
Warden Rural 051,GR,291,116
George Rural 016,GR,326,177
McConihe 2 063,GR,103,51
Quincy 6 041,GR,234,221
Block 71 003,GR,378,173
Wilson Creek 055,GR,53,20
Quincy Rural N 042,GR,132,91
Moses Lake 8 034,GR,322,188
O Sullivan Dam 1 038,GR,336,150
Soap Lake Rur E ,GR,52,41
Royal Camp 043,GR,287,168
Total,GR,11923,7370
Soap Lake Rur W ,GR,200,139
Ephrata 2 009,GR,191,153
Moses Lake 11 035,GR,381,220
