Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
CLARKSTON #2,AS,140,108
SWALLOWS NEST,AS,299,163
WEST CLARKSTON #1,AS,142,155
WEST CLARKSTON #2,AS,159,128
WEST CLARKSTON #3,AS,208,152
ASOTIN #1,AS,124,101
ASOTIN #2,AS,144,96
SOUTH CLARKSTON #1,AS,163,104
SOUTH CLARKSTON #2,AS,224,132
W ASOTIN,AS,131,43
CLARKSTON #6,AS,165,92
CLARKSTON #7,AS,77,89
RURAL ASOTIN,AS,121,52
CLARKSTON #4,AS,155,119
Total,AS,4553,3016
ANATONE,AS,110,38
CLARKSTON #3,AS,139,96
CLARKSTON HTS #4,AS,177,139
CLARKSTON #8,AS,132,102
CLARKSTON HTS #3,AS,74,53
CLARKSTON HTS #2,AS,339,215
CLARKSTON HTS #1,AS,203,124
CLARKSTON #5,AS,95,77
CLARKSTON HTS #7,AS,241,153
CLARKSTON HTS #6,AS,287,221
CLARKSTON HTS #5,AS,394,188
CLARKSTON #1,AS,110,76
