Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
Usk,PE,139,48
Diamond Lk East,PE,72,45
Sacheen,PE,144,123
Diamond Lk,PE,225,161
Diamond Lk West,PE,129,71
Noble,PE,204,129
Furport,PE,152,100
Deer Valley South,PE,49,27
Cusick,PE,67,72
Ione East,PE,116,57
Kalispel Leclerc,PE,98,56
Tiger Dry Canyon,PE,196,115
Ruby,PE,17,10
Ione West,PE,148,60
Newport NE,PE,152,101
Metaline,PE,57,46
Newport SE,PE,72,42
Skookum,PE,49,17
Newport NW,PE,138,104
Newport SW,PE,110,73
Dalkena,PE,186,110
Deer Valley North,PE,132,102
Locke,PE,25,15
Fertile Valley South,PE,122,49
Fertile Valley North,PE,134,49
Camden,PE,142,41
Total,PE,3179,1901
Metaline Falls,PE,104,78
