Row Label,County,Derek Kilmer,Marty McClendon
26-302,PI,564,300
26-303,PI,483,296
26-301,PI,131,97
26-304,PI,585,305
26-305,PI,516,337
26-315,PI,414,313
26-317,PI,342,291
26-316,PI,426,317
26-319,PI,347,255
26-318,PI,315,231
27-444,PI,312,138
27-445,PI,298,129
27-446,PI,277,152
27-447,PI,314,131
27-440,PI,410,84
27-441,PI,310,109
27-442,PI,238,105
27-443,PI,226,142
27-428,PI,403,85
27-429,PI,394,133
27-426,PI,412,132
27-427,PI,426,113
27-424,PI,470,139
27-425,PI,442,117
27-422,PI,552,195
27-423,PI,540,139
27-420,PI,555,146
27-421,PI,379,118
26-328,PI,284,317
26-329,PI,321,355
26-324,PI,365,286
26-325,PI,349,272
26-326,PI,403,289
26-327,PI,412,245
26-320,PI,359,270
26-321,PI,511,327
26-322,PI,406,295
26-323,PI,475,296
28-506,PI,462,194
28-507,PI,350,154
28-504,PI,396,232
28-505,PI,472,269
28-502,PI,488,166
28-503,PI,461,181
28-501,PI,432,235
27-439,PI,390,84
27-438,PI,371,74
27-435,PI,386,183
27-434,PI,330,158
27-437,PI,361,102
27-436,PI,389,128
27-431,PI,143,76
27-430,PI,402,143
27-433,PI,394,146
27-432,PI,348,192
26-339,PI,75,37
26-338,PI,326,250
26-333,PI,343,336
26-332,PI,363,223
26-331,PI,110,84
26-330,PI,260,179
26-337,PI,433,274
26-336,PI,417,304
26-335,PI,324,197
26-334,PI,420,250
29-627,PI,0,0
27-408,PI,385,216
27-409,PI,361,204
27-401,PI,215,84
27-404,PI,167,27
27-405,PI,455,186
27-406,PI,544,267
27-407,PI,422,157
26-348,PI,370,254
26-349,PI,356,283
26-346,PI,337,195
26-347,PI,299,232
26-344,PI,54,18
26-345,PI,393,234
26-342,PI,459,250
26-343,PI,375,229
26-340,PI,454,305
26-341,PI,362,266
29-600,PI,0,0
29-601,PI,245,132
29-602,PI,218,116
29-603,PI,274,120
29-604,PI,288,112
29-605,PI,213,134
29-606,PI,285,172
29-607,PI,356,161
29-608,PI,233,139
29-609,PI,201,105
26-351,PI,357,272
26-350,PI,379,295
26-352,PI,382,233
29-619,PI,251,154
29-618,PI,237,121
29-616,PI,258,167
29-615,PI,322,172
29-614,PI,323,166
29-613,PI,302,160
29-612,PI,146,75
29-611,PI,70,29
29-610,PI,268,142
27-417,PI,504,138
27-416,PI,464,165
27-415,PI,482,187
27-414,PI,503,149
27-413,PI,442,153
27-412,PI,346,187
27-411,PI,511,244
27-410,PI,434,161
27-419,PI,471,146
27-418,PI,440,126
Total,PI,40825,21092
