Row Label,County,Jim McDermott,Craig Keller
EDMONDS 30,SN,171,94
EDMONDS 51,SN,200,120
EDMONDS 50,SN,142,72
EDMONDS 45,SN,164,105
EDMONDS 52,SN,204,78
HOLLY,SN,235,112
EDMONDS 41,SN,158,66
CHAPEL,SN,156,83
EDMONDS  2,SN,204,164
EDMONDS  3,SN,255,136
EDMONDS 39,SN,226,196
EDMONDS  1,SN,187,149
EDMONDS  6,SN,266,178
EDMONDS  7,SN,287,145
EDMONDS  4,SN,218,95
EDMONDS  5,SN,137,78
EDMONDS 33,SN,193,106
EDMONDS 32,SN,202,119
EDMONDS  8,SN,277,186
EDMONDS  9,SN,144,103
EDMONDS 37,SN,198,121
EDMONDS 36,SN,202,116
EDMONDS 35,SN,159,127
EDMONDS 34,SN,222,121
EDMONDS 11,SN,231,159
EDMONDS 10,SN,242,155
EDMONDS 13,SN,292,134
EDMONDS 12,SN,131,66
EDMONDS 15,SN,162,92
EDMONDS 14,SN,171,70
EDMONDS 17,SN,195,97
EDMONDS 16,SN,174,79
EDMONDS 19,SN,254,104
EDMONDS 18,SN,218,92
ANN,SN,182,87
ROB,SN,131,88
EDMONDS 38,SN,212,149
SUMMIT,SN,158,116
WOODWAY 1,SN,197,155
EDMONDS 48,SN,187,108
EDMONDS 49,SN,179,114
EDMONDS 46,SN,329,225
EDMONDS 47,SN,118,54
EDMONDS 44,SN,223,87
WOODWAY 2,SN,97,113
EDMONDS 42,SN,149,89
EDMONDS 43,SN,242,138
EDMONDS 40,SN,222,102
EDMONDS 29,SN,247,108
EDMONDS 24,SN,158,86
EDMONDS 25,SN,198,96
EDMONDS 26,SN,154,98
EDMONDS 27,SN,180,106
EDMONDS 21,SN,246,193
EDMONDS 22,SN,216,117
EDMONDS 23,SN,219,202
Total,SN,11551,6793
EDMONDS 28,SN,208,113
EDMONDS 31,SN,222,131
