Row Label,County,Dave Reichert,Jason Ritchie
210,CH,185,166
1149,CH,24,15
133,CH,255,73
132,CH,19,16
131,CH,38,12
136,CH,4,2
135,CH,421,86
134,CH,430,86
490,CH,588,245
540,CH,301,148
1150(*),CH,0,0
163,CH,17,9
710,CH,251,101
120,CH,191,76
121,CH,201,51
122,CH,106,50
123,CH,29,6
124,CH,49,18
125,CH,357,205
126,CH,40,43
127,CH,88,41
128,CH,38,17
129,CH,144,95
410,CH,304,116
530,CH,383,179
590,CH,381,152
310,CH,140,80
190,CH,39,18
115,CH,23,16
114,CH,250,127
116,CH,101,49
111,CH,48,37
110,CH,189,107
113,CH,35,30
112,CH,20,7
520,CH,599,183
420,CH,308,149
580,CH,284,89
440,CH,439,216
100,CH,6,2
510,CH,185,109
430,CH,438,156
450,CH,383,186
330,CH,229,77
175,CH,452,196
174,CH,257,112
173,CH,10,18
172,CH,16,4
171,CH,8,4
730,CH,320,218
182,CH,290,114
183,CH,161,62
181,CH,337,113
151(*),CH,0,0
1151(*),CH,0,0
560,CH,319,177
460,CH,307,197
164,CH,158,36
165,CH,97,33
161,CH,27,7
162,CH,20,16
220,CH,232,187
720,CH,372,136
150,CH,39,19
153,CH,546,154
155,CH,160,75
154,CH,467,159
157,CH,373,126
156,CH,48,19
159,CH,6,2
158,CH,179,68
320,CH,258,44
146,CH,83,17
147,CH,360,104
144,CH,21,3
145,CH,19,7
142,CH,23,11
143,CH,6,7
140,CH,82,56
141,CH,9,4
610,CH,251,82
148,CH,149,82
149,CH,187,52
152(*),CH,0,0
480,CH,360,235
Total,CH,15584,6604
