Row Label,County,Dave Reichert,Jason Ritchie
PRECINCT 107,DG,134,57
PRECINCT 106,DG,132,58
PRECINCT 105,DG,92,49
PRECINCT 104,DG,377,119
PRECINCT 103,DG,60,32
PRECINCT 102,DG,333,104
PRECINCT 112,DG,154,79
PRECINCT 113,DG,145,55
PRECINCT 114,DG,140,47
PRECINCT 109,DG,112,29
PRECINCT 108,DG,138,65
PRECINCT 318,DG,73,26
PRECINCT 208,DG,117,55
PRECINCT 214,DG,52,28
PRECINCT 302,DG,276,82
PRECINCT 215,DG,216,61
Total,DG,3236,1180
PRECINCT 203,DG,216,71
PRECINCT 201,DG,168,66
PRECINCT 111,DG,301,97
