Row Label,County,Dave Reichert,Jason Ritchie
DAMMAN,KS,251,94
VANTAGE,KS,24,2
PARK,KS,293,60
TEANAWAY,KS,231,89
ELLENSBURG 20,KS,39,46
CLE ELUM 4,KS,173,85
ELLENSBURG 22,KS,118,60
ELLENSBURG 23,KS,123,99
CLE ELUM 1,KS,123,61
ELLENSBURG 25,KS,234,123
CLE ELUM 3,KS,38,30
CLE ELUM 2,KS,84,27
SOUTH CLE ELUM,KS,132,46
FAIRVIEW,KS,168,52
RONALD,KS,101,53
NORTHEAST FAIRVIEW,KS,253,91
ELLENSBURG 24,KS,259,131
ELLENSBURG 9,KS,46,49
ELLENSBURG 8,KS,46,42
RIDGEWAY,KS,367,156
ELLENSBURG 1,KS,26,25
ELLENSBURG 2,KS,23,59
ELLENSBURG 5,KS,38,58
ELLENSBURG 4,KS,21,32
ELLENSBURG 7,KS,31,24
ELLENSBURG 6,KS,32,35
EAST SANDERS,KS,261,84
THRALL,KS,234,78
ELLENSBURG 21,KS,70,62
MOUNTAIN,KS,96,52
HYAK,KS,71,31
ROSLYN 1,KS,86,97
ROSLYN 2,KS,73,78
KITTITAS 1,KS,100,37
KACHESS,KS,76,32
MANASTASH,KS,202,85
DENMARK,KS,371,100
ROSLYN OUTLYING,KS,46,10
SOUTH ELLENSBURG,KS,295,147
DRY CREEK,KS,299,104
NORTH CENTRAL,KS,210,77
ELLENSBURG 11,KS,71,72
ELLENSBURG 10,KS,74,77
ELLENSBURG 13,KS,52,57
ELLENSBURG 12,KS,51,90
ELLENSBURG 15,KS,109,66
ELLENSBURG 14,KS,80,57
ELLENSBURG 17,KS,115,105
ELLENSBURG 16,KS,145,101
ELLENSBURG 19,KS,149,165
ELLENSBURG 18,KS,18,19
WESTSIDE,KS,295,132
EASTON,KS,260,93
PEOH POINT,KS,243,81
SANDERS,KS,106,43
KITTITAS 2,KS,110,44
NORTH ELLENSBURG,KS,335,116
THORP,KS,218,96
SWAUK,KS,170,39
Total,KS,8365,4156
