Row Label,County,Michael J. Killian,Byron J. Pugh
Pct 008,FR,155,54
Pct 009,FR,50,15
Pct 002,FR,67,28
Pct 003,FR,31,18
Pct 001,FR,152,44
Pct 006,FR,91,24
Pct 007,FR,68,29
Pct 004,FR,50,25
Pct 005,FR,52,15
Pct 082,FR,55,60
Pct 083,FR,51,44
Pct 080,FR,198,91
Pct 081,FR,51,17
Pct 086,FR,61,24
Pct 087,FR,43,23
Pct 084,FR,33,10
Pct 085,FR,33,16
Pct 088,FR,38,4
Pct 089,FR,93,27
Pct 079,FR,56,70
Pct 078,FR,46,40
Pct 077,FR,42,19
Pct 076,FR,56,28
Pct 075,FR,23,19
Pct 074,FR,157,90
Pct 073,FR,197,67
Pct 072,FR,93,35
Pct 071,FR,104,56
Pct 070,FR,45,21
Pct 101,FR,80,26
Pct 100,FR,65,37
Pct 069,FR,31,9
Pct 064,FR,136,55
Pct 065,FR,71,36
Pct 066,FR,201,73
Pct 060,FR,76,20
Pct 061,FR,210,63
Pct 062,FR,287,72
Pct 063,FR,125,64
Pct 067(*),FR,0,0
Pct 059,FR,231,66
Pct 058,FR,18,7
Pct 051,FR,158,65
Pct 050,FR,167,64
Pct 053,FR,139,31
Pct 052,FR,40,14
Pct 055,FR,231,88
Pct 054,FR,79,12
Pct 057,FR,114,61
Pct 056,FR,112,40
Pct 046,FR,185,84
Pct 047,FR,22,6
Pct 044,FR,148,38
Pct 045,FR,177,62
Pct 042,FR,111,43
Pct 043,FR,124,47
Pct 040,FR,136,46
Pct 041,FR,112,23
Pct 048,FR,183,43
Pct 049,FR,186,66
Pct 033,FR,107,46
Pct 032,FR,277,102
Pct 031,FR,66,13
Pct 030,FR,50,9
Pct 037,FR,195,67
Pct 036,FR,211,79
Pct 035,FR,87,21
Pct 034,FR,196,62
Pct 039,FR,144,58
Pct 038,FR,134,53
Pct 091(*),FR,0,0
Pct 020,FR,61,13
Pct 021,FR,27,14
Pct 022,FR,131,40
Pct 023,FR,242,64
Pct 024,FR,106,44
Pct 025,FR,46,22
Pct 026,FR,96,19
Pct 027,FR,60,20
Pct 028,FR,64,15
Pct 029,FR,73,26
Pct 068(*),FR,0,0
Pct 019,FR,126,43
Pct 018,FR,46,9
Pct 015,FR,85,33
Pct 014,FR,79,15
Pct 017,FR,87,40
Pct 016,FR,15,3
Pct 011,FR,93,11
Pct 010,FR,99,24
Pct 013,FR,62,13
Pct 012,FR,56,22
Pct 095,FR,52,15
Pct 094,FR,0,0
Pct 097,FR,31,16
Pct 096,FR,62,20
Pct 090,FR,111,32
Pct 093,FR,112,39
Pct 092,FR,88,43
Total,FR,9928,3639
Pct 099,FR,19,13
Pct 098,FR,17,9
