Row Label,County,Dan R Blasdel
Pct 008,FR,178
Pct 009,FR,59
Pct 002,FR,100
Pct 003,FR,44
Pct 001,FR,179
Pct 006,FR,96
Pct 007,FR,85
Pct 004,FR,72
Pct 005,FR,67
Pct 082,FR,90
Pct 083,FR,80
Pct 080,FR,245
Pct 081,FR,66
Pct 086,FR,64
Pct 087,FR,59
Pct 084,FR,40
Pct 085,FR,36
Pct 088,FR,32
Pct 089,FR,110
Pct 079,FR,101
Pct 078,FR,75
Pct 077,FR,53
Pct 076,FR,79
Pct 075,FR,40
Pct 074,FR,200
Pct 073,FR,220
Pct 072,FR,114
Pct 071,FR,142
Pct 070,FR,52
Pct 101,FR,100
Pct 100,FR,87
Pct 068,FR,11
Pct 069,FR,31
Pct 064,FR,169
Pct 065,FR,77
Pct 066,FR,225
Pct 067,FR,175
Pct 060,FR,78
Pct 061,FR,241
Pct 062,FR,292
Pct 063,FR,174
Pct 059,FR,244
Pct 058,FR,18
Pct 051,FR,195
Pct 050,FR,201
Pct 053,FR,156
Pct 052,FR,51
Pct 055,FR,265
Pct 054,FR,86
Pct 057,FR,157
Pct 056,FR,142
Pct 046,FR,235
Pct 047,FR,24
Pct 044,FR,154
Pct 045,FR,215
Pct 042,FR,130
Pct 043,FR,150
Pct 040,FR,169
Pct 041,FR,100
Pct 048,FR,190
Pct 049,FR,207
Pct 033,FR,136
Pct 032,FR,331
Pct 031,FR,61
Pct 030,FR,54
Pct 037,FR,246
Pct 036,FR,250
Pct 035,FR,94
Pct 034,FR,209
Pct 039,FR,181
Pct 038,FR,160
Pct 020,FR,57
Pct 021,FR,37
Pct 022,FR,148
Pct 023,FR,265
Pct 024,FR,133
Pct 025,FR,56
Pct 026,FR,111
Pct 027,FR,72
Pct 028,FR,69
Pct 029,FR,83
Pct 019,FR,148
Pct 018,FR,50
Pct 015,FR,110
Pct 014,FR,87
Pct 017,FR,115
Pct 016,FR,18
Pct 011,FR,93
Pct 010,FR,118
Pct 013,FR,60
Pct 012,FR,67
Pct 095,FR,58
Pct 094,FR,0
Pct 097,FR,41
Pct 096,FR,66
Pct 091,FR,8
Pct 090,FR,134
Pct 093,FR,133
Pct 092,FR,122
Total,FR,11760
Pct 099,FR,29
Pct 098,FR,23
