Row Label,County,Josie Koelzer
Pct 008,FR,175
Pct 009,FR,60
Pct 002,FR,99
Pct 003,FR,47
Pct 001,FR,179
Pct 006,FR,93
Pct 007,FR,87
Pct 004,FR,72
Pct 005,FR,65
Pct 082,FR,96
Pct 083,FR,84
Pct 080,FR,250
Pct 081,FR,67
Pct 086,FR,73
Pct 087,FR,60
Pct 084,FR,41
Pct 085,FR,42
Pct 088,FR,39
Pct 089,FR,113
Pct 079,FR,106
Pct 078,FR,72
Pct 077,FR,55
Pct 076,FR,79
Pct 075,FR,41
Pct 074,FR,198
Pct 073,FR,213
Pct 072,FR,112
Pct 071,FR,139
Pct 070,FR,47
Pct 101,FR,98
Pct 100,FR,89
Pct 068,FR,11
Pct 069,FR,32
Pct 064,FR,167
Pct 065,FR,81
Pct 066,FR,228
Pct 067,FR,165
Pct 060,FR,76
Pct 061,FR,225
Pct 062,FR,277
Pct 063,FR,171
Pct 059,FR,237
Pct 058,FR,18
Pct 051,FR,195
Pct 050,FR,200
Pct 053,FR,155
Pct 052,FR,50
Pct 055,FR,270
Pct 054,FR,83
Pct 057,FR,152
Pct 056,FR,140
Pct 046,FR,238
Pct 047,FR,25
Pct 044,FR,151
Pct 045,FR,212
Pct 042,FR,128
Pct 043,FR,144
Pct 040,FR,161
Pct 041,FR,102
Pct 048,FR,185
Pct 049,FR,201
Pct 033,FR,137
Pct 032,FR,332
Pct 031,FR,58
Pct 030,FR,51
Pct 037,FR,244
Pct 036,FR,238
Pct 035,FR,96
Pct 034,FR,204
Pct 039,FR,177
Pct 038,FR,163
Pct 020,FR,59
Pct 021,FR,36
Pct 022,FR,147
Pct 023,FR,257
Pct 024,FR,131
Pct 025,FR,49
Pct 026,FR,100
Pct 027,FR,70
Pct 028,FR,68
Pct 029,FR,82
Pct 019,FR,143
Pct 018,FR,51
Pct 015,FR,106
Pct 014,FR,82
Pct 017,FR,112
Pct 016,FR,17
Pct 011,FR,83
Pct 010,FR,110
Pct 013,FR,60
Pct 012,FR,63
Pct 095,FR,60
Pct 094,FR,0
Pct 097,FR,41
Pct 096,FR,71
Pct 091,FR,8
Pct 090,FR,139
Pct 093,FR,136
Pct 092,FR,123
Total,FR,11622
Pct 099,FR,27
Pct 098,FR,20
