Row Label,County,Wendy L. Davis,David Stanko
601 Queets,JE,20,12
704 Port Townsend,JE,163,83
101 Gardiner,JE,101,71
501 Port Ludlow I,JE,252,336
200 Coyle,JE,112,108
708 Port Townsend,JE,408,237
302 Center I,JE,115,154
702 Port Townsend,JE,183,93
306 Irondale II,JE,173,297
300 Chimacum I,JE,136,198
102 Port Discovery,JE,94,103
105 Discovery Bay,JE,250,248
305 Irondale I,JE,154,191
710 Port Townsend,JE,217,173
500 Port Ludlow,JE,205,320
106 North Jacob,JE,212,172
503 Port Ludlow III,JE,150,200
301 Chimacum II,JE,79,135
706 Port Townsend,JE,453,270
401 Nordland,JE,257,266
502 Port Ludlow II,JE,135,266
505 Port Ludlow V,JE,176,214
709 Port Townsend,JE,343,231
303 Hadlock,JE,198,276
304 Kala Point,JE,213,341
107 South Jacob,JE,234,260
201 Quilcene,JE,177,310
308 Center II,JE,95,80
705 Port Townsend,JE,167,136
204 Brinnon,JE,210,343
707 Port Townsend,JE,381,241
104 Cape George,JE,248,265
103 Crocker,JE,82,75
600 Hoh,JE,16,21
703 Port Townsend,JE,189,137
700 Port Townsend,JE,258,231
504 Port Ludlow IV,JE,114,128
Total,JE,7232,7501
701 Port Townsend,JE,132,98
307 Four Corners,JE,130,181
