Row Label,County,Sam Meyer
Yelm 1,TH,194
Griffin,TH,203
Kaiser,TH,97
Smith Prairie,TH,257
Olympia 01,TH,189
Lacey 29,TH,253
Scott Lake South,TH,174
Tri Lakes,TH,122
Woodland,TH,199
Plumb,TH,240
Montgomery,TH,120
Olympia 10,TH,215
Summerset,TH,334
Olympia 12,TH,120
Olympia 13,TH,201
Pleasant Hill,TH,231
Olympia 15,TH,136
Smith Lake,TH,216
Olympia 17,TH,154
Olympia 18,TH,182
Rocky Prairie,TH,142
Tumwater 05,TH,153
Scatter Creek,TH,161
Lacey 06,TH,82
Henderson,TH,298
Mullen,TH,261
Marvin,TH,262
Rochester 4,TH,159
Rochester 5,TH,225
Rochester 2,TH,205
Rochester 3,TH,220
French,TH,220
Rochester 1,TH,271
Tumwater 11,TH,288
Evergreen Ballroom,TH,284
Littlerock,TH,337
Lacey 10,TH,260
Skookumchuck,TH,216
Delphi,TH,207
Tolmie,TH,95
St Clair,TH,207
Olympia 58,TH,211
Tenino 01,TH,132
James,TH,178
Tumwater 10,TH,282
Lacey 14,TH,77
Olympia 07,TH,112
Olympia 06,TH,314
Olympia 05,TH,180
Olympia 04,TH,199
Olympia 03,TH,203
Olympia 02,TH,201
Plainview,TH,318
Lacey 27,TH,186
Delridge,TH,64
Military,TH,87
Lacey 16,TH,196
Lacey 39,TH,335
Olympia 09,TH,371
Sweet Briar,TH,294
Rainier 01,TH,157
Puget,TH,269
Olympia 11,TH,173
Vail,TH,257
Stedman,TH,131
Tumwater 13,TH,89
Zenkner Valley,TH,51
Trailblazer,TH,88
Libby,TH,174
Lackamas,TH,83
Broadway,TH,278
Johnson Point,TH,267
Sleater Kinney,TH,193
Medicine Creek,TH,107
Lacey 42,TH,69
Olympia 16,TH,42
Tumwater 12,TH,202
Prine,TH,48
Long Lake,TH,58
Lacey 33,TH,106
Olympia 53,TH,195
Lacey 31,TH,166
Lacey 30,TH,292
Greenridge,TH,148
Lacey 36,TH,131
Rich,TH,159
Olympia 19,TH,177
Butler Cove,TH,216
Lacey 34,TH,132
Mud Bay,TH,203
Olympia 14,TH,193
Mclane,TH,161
Tumwater 15,TH,248
Lawrence Lake,TH,263
Lacey 45,TH,104
Olympia 38,TH,59
Tilley,TH,263
Yelm 3,TH,249
Hunter Point,TH,133
Skokomish,TH,180
Schneiders Prairie,TH,169
Grand Mound,TH,109
Alpine,TH,353
Hays,TH,165
Luhr Beach,TH,243
Berry Valley,TH,174
Freedom,TH,280
Morris,TH,235
Lacey 07,TH,168
Lacey 04,TH,107
Lacey 05,TH,128
Lacey 02,TH,147
Lacey 03,TH,174
Deschutes,TH,240
Olympia 50,TH,165
Tumwater 28,TH,284
Tumwater 29,TH,0
Friendly Grove,TH,113
Olympia 51,TH,47
Fair Oaks,TH,147
Woodard Creek,TH,180
Pines,TH,177
Scott Lake North,TH,96
Mushroom Corner,TH,227
Tumwater 14,TH,100
Yelm 2,TH,208
Deerbrush,TH,255
Henness,TH,318
Lacey 09,TH,111
Kinwood,TH,189
Rainier 02,TH,126
Summit Lake,TH,182
Lacey 19,TH,136
Lacey 18,TH,232
Simmons 9,TH,5
Lacey 11,TH,204
Simmons 4,TH,10
Lacey 13,TH,108
Lacey 01,TH,83
Lacey 15,TH,190
Gull Harbor,TH,140
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,95
Black River,TH,308
Forest,TH,307
Olympia 24,TH,195
Quince,TH,4
Meadows,TH,172
Pattison,TH,226
Olympia 54,TH,125
Olympia 55,TH,112
Olympia 56,TH,192
Olympia 57,TH,95
Tykle Cove,TH,211
Mcallister Creek,TH,196
Olympia 52,TH,105
Mcintosh,TH,360
Tenino 02,TH,143
Olympia 39,TH,196
Steamboat Island,TH,179
Olympia 20,TH,99
Lacey 08,TH,127
Lacey 41,TH,188
Delta,TH,0
Ames,TH,185
Jones Beach,TH,127
Pleasant Glade,TH,131
Lacey 35,TH,75
Evergreen Shores,TH,186
Hewitt Lake,TH,279
Tumwater 08,TH,228
Olympia 60,TH,132
Tumwater 06,TH,349
Tumwater 07,TH,164
Tumwater 04,TH,146
Beach Crest,TH,179
Tumwater 02,TH,201
Tumwater 03,TH,241
Roosevelt,TH,255
Tumwater 01,TH,152
University North,TH,90
Olympia 49,TH,199
Olympia 48,TH,250
Bush Prairie,TH,55
Olympia 43,TH,213
Olympia 42,TH,131
Olympia 41,TH,186
Olympia 40,TH,178
Olympia 47,TH,241
Olympia 46,TH,197
Olympia 45,TH,132
Olympia 44,TH,99
Holmes,TH,192
Cooper Point,TH,207
Ruth Prairie,TH,104
Hawks Ridge,TH,104
Weir Prairie,TH,208
Wilderness,TH,297
Lacey 32,TH,220
Camelot,TH,143
University South,TH,123
Lacey 24,TH,284
Gallagher Cove,TH,319
Lacey 17,TH,203
Total,TH,51006
College,TH,34
Bigelow,TH,184
Lacey 37,TH,66
Olympia 08,TH,191
Beaver Creek,TH,390
Oyster Bay,TH,227
Eaton Creek,TH,133
Lacey 28,TH,121
Olympia 25,TH,164
Four Corners,TH,316
South Bay,TH,261
Indian Summer,TH,261
Longmire,TH,148
Tumwater 24,TH,147
Olympia 59,TH,177
Clear Lake,TH,340
Airport,TH,17
Thompson,TH,145
Bucoda,TH,97
Glen Terra,TH,77
Frye Cove,TH,227
Cougar Mountain,TH,47
Mckinley,TH,73
Olympia 37,TH,138
Gibson Valley,TH,27
Olympia 35,TH,389
Black Lake,TH,277
Scheller,TH,95
Olympia 30,TH,166
Olympia 31,TH,161
Sunwood Lakes,TH,333
Lydia Hawk,TH,376
Lacey 23,TH,88
Olympia 32,TH,266
Michigan Hill,TH,99
Tumwater 09,TH,145
Yelm 4,TH,228
Lacey 48,TH,141
Zangle,TH,188
Fish Trap,TH,167
East Olympia,TH,202
Munn Lake,TH,127
Sunset Beach,TH,253
Olympia 27,TH,103
Lacey 43,TH,254
Lacey 40,TH,266
Fristoe,TH,158
Lacey 46,TH,461
Lacey 47,TH,339
Lacey 44,TH,95
Hicks,TH,35
Salmon Creek,TH,138
Lacey 49,TH,119
Wards,TH,98
South Union,TH,267
Boston Harbor,TH,257
Olympia 29,TH,226
Olympia 28,TH,185
Trails End,TH,399
Hartwood,TH,367
Waddell Creek,TH,172
Fleetwood,TH,296
Olympia 26,TH,154
Olympia 21,TH,287
Bald Hills,TH,55
Olympia 23,TH,220
Violet Prairie,TH,243
Lacey 20,TH,88
Hawk Acres,TH,137
Tumwater 27,TH,211
Lacey 21,TH,108
Lakeside,TH,116
Lacey 22,TH,137
Olympia 36,TH,79
Glenwood,TH,82
Chambers,TH,347
Nisqually,TH,176
