Row Label,County,Elizabeth Penoyar
North Cove,PA,235
North River,PA,24
South Bend 1 R,PA,43
South Bend 2R,PA,9
Willapa,PA,344
Raymond W1p2,PA,107
Raymond W1p3,PA,113
Raymond W3 R,PA,35
Raymond W1p1,PA,27
Menlo-Firdale,PA,282
Eklund Park,PA,63
Baleville,PA,52
South Bend 3R,PA,5
Frances-Lebam,PA,126
Bay Center,PA,131
Smith Creek,PA,46
Raymond W2 R,PA,39
South Fork,PA,105
Raymond W3,PA,187
Raymond W2,PA,137
Total,PA,2511
South Bend 1,PA,173
South Bend 2,PA,90
South Bend 3,PA,138
