Row Label,County,Lisa L. Sutton
LEMOLO 435,KP,273
ANNAPOLIS 212,KP,412
MEADOWDALE 150,KP,236
BELLA VISTA 413,KP,249
LIGHTHOUSE POINT 292,KP,338
CLEAR CREEK 120,KP,306
AUGUSTA 461,KP,197
HEINS CREEK 297,KP,0
HANSVILLE 415,KP,192
TORVANGER 345,KP,353
BREMERTON 012,KP,76
BREMERTON 013,KP,262
BREMERTON 015,KP,316
BREMERTON 016,KP,69
WINSLOW 304,KP,552
HIGHLAND 423,KP,185
LAKE HELENA 214,KP,288
DICKENSON 282,KP,326
UNIVERSITY POINT 142,KP,236
SANDY HOOK 464,KP,234
BARKER CREEK 147,KP,382
BAYVIEW 087,KP,94
ISLAND CENTER 320,KP,313
EVERGREEN RIDGE 426,KP,130
REGAL 131,KP,95
COUNTRY CLUB 113,KP,194
POULSBO 405,KP,352
POULSBO 404,KP,381
POULSBO 407,KP,270
POULSBO 406,KP,415
SEDGWICK 272,KP,381
BERRY LAKE 279,KP,198
POULSBO 403,KP,313
EBBERT 247,KP,346
ILLAHEE 065,KP,371
COTTONWOOD 125,KP,298
MARION 090,KP,70
OLYMPIC 099,KP,41
GILBERTON 140,KP,266
STRIEBEL 453,KP,292
AZALEA 302,KP,379
YUKON 241,KP,236
FOREST RIDGE 126,KP,212
FAIRVIEW 135,KP,196
ANDERSON CREEK 163,KP,268
PORT GAMBLE 450,KP,319
RAINIER 067,KP,360
BRASCH 213,KP,348
GAMBLEWOOD 454,KP,212
CENTRAL VALLEY 128,KP,381
HOLLY 158,KP,100
BURLEY 218,KP,314
LUOTO 122,KP,177
POINT JEFFERSON 419,KP,245
BREMERTON 296,KP,0
MORKEN 161,KP,441
INDIANOLA 420,KP,419
TWIN LAKES 285,KP,91
BELFAIR VALLEY 280,KP,100
KARIOTIS 143,KP,361
TRACYTON 170,KP,235
ROCKY POINT 083,KP,391
HERITAGE PARK 112,KP,222
BREMERTON 294,KP,0
ORCA 421,KP,241
BREMERTON 293,KP,2
MINTERBROOK 216,KP,158
ALASKA 221,KP,389
GLENWOOD 232,KP,407
MEADOWMEER 321,KP,149
APEX 162,KP,367
OLALLA 265,KP,228
WINSTON 129,KP,143
RIDGETOP 149,KP,259
EAGLE CREST 164,KP,391
LOCKER 246,KP,401
BROWNSVILLE 105,KP,423
KINGSTON 430,KP,488
VENA 173,KP,311
CEDAR 211,KP,297
BREMERTON 041,KP,245
BREMERTON 040,KP,268
POULSBO 401,KP,454
BREMERTON 046,KP,284
CAMBRIDGE 144,KP,222
BREMERTON 056,KP,265
TWIN SPITS 417,KP,355
BIG VALLEY 441,KP,226
CHARLAND 110,KP,246
SKIFF POINT 328,KP,280
LOST HIGHWAY 157,KP,340
TRIDENT 101,KP,83
WILSON CREEK 242,KP,270
SYLVAN 066,KP,328
PORT ORCHARD 201,KP,266
EVERGREEN 257,KP,458
FERNWOOD 230,KP,368
MANCHESTER 255,KP,256
SUNNYSLOPE 281,KP,261
LOFALL 442,KP,448
BLAKELY 310,KP,294
PORT ORCHARD 207,KP,316
WOODMERE 127,KP,403
BREMERTON 058,KP,323
UELAND 082,KP,0
WATERMAN 295,KP,194
BREMERTON 054,KP,197
PIONEER 152,KP,391
SILVERDALE 160,KP,346
BREMERTON 051,KP,34
BREMERTON 052,KP,214
BREMERTON 053,KP,397
SEABECK 155,KP,425
POWERLINE 086,KP,3
PARKWOOD 270,KP,386
ISLAND LAKE 427,KP,317
BREMERTON 109,KP,30
BREIDABLIK 410,KP,342
BREMERTON 107,KP,0
WHISPERING PINES 227,KP,348
FRAGARIA 259,KP,259
LOVGREN 332,KP,188
BANDIX 263,KP,313
FORT WARD 318,KP,331
FUSON 175,KP,322
HARPER 240,KP,285
WILLOCK 258,KP,269
LIBERTY 325,KP,289
PORT ORCHARD 203,KP,179
SPRING CREEK 217,KP,230
MULLENIX 260,KP,387
LARSON 153,KP,396
FINCH 314,KP,224
ROLLING BAY 330,KP,304
BREMERTON 029,KP,257
TOTTEN 463,KP,288
WOODRIDGE 222,KP,185
MANZANITA 336,KP,221
OLD FRONTIER 106,KP,379
BREMERTON 022,KP,228
NEBRASKA 223,KP,323
EAGLE HARBOR 317,KP,242
NEW BROOKLYN 322,KP,203
TOLO 333,KP,275
FERNCLIFF 315,KP,474
S&#39;KLALLAM 418,KP,34
KITSAP LAKE 085,KP,23
PORT ORCHARD 202,KP,381
NAVY YARD CITY 095,KP,335
PORT ORCHARD 200,KP,175
SANTA FE 148,KP,307
PORT ORCHARD 206,KP,0
FIRGLADE 137,KP,215
PORT ORCHARD 204,KP,269
PORT ORCHARD 205,KP,665
HUNTER 219,KP,248
CONIFER 271,KP,195
PORT ORCHARD 208,KP,0
PORT ORCHARD 209,KP,0
KEYPORT 425,KP,397
SCANDIA 455,KP,324
PORT MADISON 340,KP,267
ALPINE 111,KP,270
LUNDBERG 250,KP,355
POINT NO POINT 416,KP,463
VINLAND 412,KP,380
LINCOLN 440,KP,257
BREMERTON 032,KP,50
OVERLOOK 267,KP,292
BREMERTON 030,KP,257
BREMERTON 031,KP,148
BREMERTON 037,KP,402
APPLE TREE 422,KP,361
ERLANDS POINT 130,KP,232
RIDGEPOINT 141,KP,243
PERRY 073,KP,194
CRYSTAL SPRINGS 312,KP,413
CRESCENT VALLEY 266,KP,315
SHERMAN HEIGHTS 278,KP,9
SPINNAKER 146,KP,240
SINCLAIR 275,KP,163
PORT ORCHARD 215,KP,0
BLUE HERON 301,KP,467
SYMINGTON 151,KP,178
PORT ORCHARD 210,KP,233
FRONTIER 102,KP,375
RIDGEWAY 084,KP,82
WING POINT 305,KP,252
PEARSON 445,KP,432
BREMERTON 114,KP,0
SEABOLD 335,KP,385
