Row Label,County,Rich Melnick
669,CR,354
668,CR,386
667,CR,328
664,CR,408
663,CR,287
662,CR,412
660,CR,424
130,CR,408
571,CR,381
490,CR,279
491,CR,32
626,CR,390
692,CR,422
693,CR,238
690,CR,394
691,CR,390
696,CR,459
697,CR,518
694,CR,161
695,CR,430
698,CR,353
699,CR,345
450,CR,474
540,CR,421
340,CR,390
400,CR,239
930,CR,368
452,CR,357
935,CR,375
570,CR,392
678,CR,299
679,CR,276
674,CR,346
675,CR,257
677,CR,381
670,CR,427
672,CR,342
455,CR,296
120,CR,467
575,CR,121
914,CR,406
917,CR,275
528,CR,338
910,CR,381
537,CR,167
415,CR,311
535,CR,485
410,CR,466
913,CR,431
298,CR,250
530,CR,160
296,CR,289
370,CR,283
294,CR,257
912,CR,333
925,CR,345
290,CR,394
538,CR,203
591,CR,490
590,CR,513
593,CR,406
592,CR,461
595,CR,221
594,CR,13
597,CR,38
200,CR,430
598,CR,11
629,CR,356
700,CR,66
190,CR,418
985,CR,321
390,CR,465
110,CR,406
113,CR,221
112,CR,39
250,CR,493
536,CR,244
628,CR,448
524,CR,39
525,CR,247
527,CR,320
520,CR,212
521,CR,7
522,CR,139
523,CR,6
420,CR,387
423,CR,313
255,CR,413
425,CR,298
424,CR,469
360,CR,387
426,CR,539
586,CR,345
587,CR,327
449,CR,521
448,CR,494
582,CR,312
583,CR,309
580,CR,258
581,CR,192
441,CR,397
440,CR,390
447,CR,482
446,CR,373
445,CR,494
444,CR,493
245,CR,435
920,CR,316
108,CR,370
240,CR,470
102,CR,331
100,CR,427
615,CR,179
106,CR,347
649,CR,346
104,CR,401
903,CR,392
900,CR,356
905,CR,413
641,CR,157
640,CR,403
643,CR,386
642,CR,177
645,CR,481
644,CR,410
647,CR,266
646,CR,200
436,CR,236
510,CR,264
434,CR,282
435,CR,275
515,CR,454
430,CR,296
588,CR,232
579,CR,17
578,CR,34
627,CR,400
338,CR,380
625,CR,406
624,CR,101
335,CR,315
451,CR,386
337,CR,335
453,CR,372
577,CR,507
330,CR,407
456,CR,541
574,CR,17
600,CR,198
175,CR,298
257,CR,415
170,CR,308
543,CR,375
596,CR,0
654,CR,281
656,CR,190
710,CR,188
180,CR,336
655,CR,384
652,CR,364
653,CR,343
650,CR,403
651,CR,277
505,CR,466
502,CR,356
503,CR,291
500,CR,405
659,CR,408
630,CR,324
631,CR,461
632,CR,220
633,CR,374
634,CR,354
635,CR,316
636,CR,329
560,CR,397
639,CR,362
545,CR,279
460,CR,588
566,CR,273
225,CR,555
160,CR,323
220,CR,306
964,CR,405
965,CR,355
966,CR,248
967,CR,231
960,CR,448
961,CR,76
962,CR,293
963,CR,307
968,CR,341
969,CR,218
658,CR,340
720,CR,306
947,CR,320
605,CR,373
150,CR,253
153,CR,281
606,CR,71
395,CR,113
603,CR,209
555,CR,477
550,CR,451
553,CR,390
584,CR,377
681,CR,332
959,CR,17
958,CR,69
951,CR,331
950,CR,387
953,CR,181
957,CR,76
638,CR,354
327,CR,417
585,CR,471
325,CR,303
620,CR,457
147,CR,321
618,CR,436
563,CR,452
613,CR,165
610,CR,540
617,CR,400
565,CR,326
511,CR,25
648,CR,335
487,CR,196
485,CR,263
673,CR,436
483,CR,556
573,CR,502
480,CR,541
686,CR,300
432,CR,309
576,CR,3
940,CR,339
470,CR,531
689,CR,420
688,CR,332
350,CR,331
685,CR,104
687,CR,377
Total,CR,80682
572,CR,529
680,CR,325
683,CR,357
682,CR,362
