Row Label,County,Rich Melnick
North Cove,PA,213
North River,PA,19
South Bend 1 R,PA,33
Ocean Park 2,PA,344
South Bend 2R,PA,5
Ocean Park 1,PA,141
Nemah,PA,33
Pioneer,PA,172
Willapa,PA,271
Pioneer 2,PA,135
Raymond W1p2,PA,80
Raymond W1p3,PA,100
Raymond W3 R,PA,32
Raymond W2 R,PA,29
Menlo-Firdale,PA,200
Klipsan,PA,227
Eklund Park,PA,42
Baleville,PA,40
Smith Creek,PA,34
South Bend 3R,PA,4
Frances-Lebam,PA,102
Raymond W2,PA,124
Bay Center,PA,106
Raymond W1p1,PA,20
Ilwaco 2 Rural,PA,45
Chinook,PA,173
Naselle,PA,316
Ilwaco City,PA,210
Seaview 2,PA,17
Seaview 1,PA,206
South Fork,PA,68
Nahcotta,PA,508
Long Beach,PA,345
South Bend 2,PA,60
Raymond W3,PA,152
Oysterville,PA,264
Total,PA,5084
South Bend 1,PA,124
Ilwaco 1 Rural,PA,0
South Bend 3,PA,90
