Row Label,County,Stephen M. Brown
210,CH,194
1149,CH,27
133,CH,188
132,CH,21
131,CH,30
136,CH,4
135,CH,300
134,CH,289
490,CH,496
540,CH,281
163,CH,16
1151,CH,2
1150,CH,6
710,CH,216
120,CH,142
121,CH,146
122,CH,80
123,CH,21
124,CH,34
125,CH,306
126,CH,42
127,CH,63
128,CH,30
129,CH,113
410,CH,236
530,CH,375
590,CH,294
310,CH,122
190,CH,19
115,CH,17
114,CH,208
116,CH,80
111,CH,53
110,CH,160
113,CH,37
112,CH,16
520,CH,475
420,CH,284
580,CH,224
440,CH,405
100,CH,6
510,CH,190
430,CH,340
450,CH,345
330,CH,211
175,CH,353
174,CH,205
173,CH,11
172,CH,10
171,CH,7
730,CH,344
182,CH,225
183,CH,127
181,CH,265
560,CH,336
460,CH,336
164,CH,102
165,CH,73
161,CH,21
162,CH,20
220,CH,230
720,CH,285
151,CH,3
150,CH,26
153,CH,424
152,CH,3
155,CH,129
154,CH,354
157,CH,292
156,CH,35
159,CH,5
158,CH,141
320,CH,177
146,CH,57
147,CH,291
144,CH,16
145,CH,17
142,CH,27
143,CH,3
140,CH,101
141,CH,6
610,CH,217
148,CH,130
149,CH,148
480,CH,345
Total,CH,13041
