Row Label,County,Stephen M. Brown
0134,YA,508
4303,YA,100
0130,YA,166
0131,YA,197
0132,YA,195
0133,YA,400
0138,YA,421
0139,YA,368
4005,YA,192
1301,YA,135
5101,YA,118
0140,YA,179
0142,YA,352
0308,YA,0
0307,YA,16
0306,YA,249
0305,YA,9
0304,YA,88
0303,YA,172
0302,YA,182
0301,YA,56
0127,YA,225
0126,YA,111
0124,YA,71
0120,YA,159
2701,YA,532
0129,YA,141
3401,YA,100
1701,YA,197
1702,YA,19
1703,YA,178
1704,YA,0
1705,YA,309
1706,YA,241
1708,YA,175
4401,YA,144
4402,YA,169
5010,YA,81
0113,YA,132
0110,YA,164
0111,YA,180
0116,YA,274
5016,YA,118
0118,YA,109
4106,YA,238
3308,YA,251
3309,YA,191
3306,YA,137
3304,YA,286
3305,YA,224
3303,YA,110
3301,YA,205
4801,YA,440
4802,YA,418
2301,YA,188
2303,YA,194
2306,YA,274
5003,YA,250
5001,YA,66
0104,YA,163
0101,YA,127
0103,YA,124
4114,YA,90
4115,YA,135
0901,YA,104
4625,YA,10
4626,YA,13
4111,YA,316
3311,YA,496
3310,YA,215
3313,YA,90
3504,YA,12
4623,YA,24
4624,YA,141
4112,YA,391
0190,YA,180
5014,YA,250
0179,YA,337
0170,YA,229
0173,YA,216
0175,YA,169
0177,YA,370
4101,YA,102
3004,YA,10
4102,YA,238
4105,YA,131
4104,YA,191
3002,YA,75
4109,YA,382
4108,YA,175
1901,YA,102
0185,YA,339
0184,YA,260
0187,YA,288
0186,YA,426
0181,YA,354
0180,YA,179
0183,YA,280
0182,YA,501
0501,YA,195
0189,YA,208
0188,YA,391
1502,YA,300
1503,YA,272
1501,YA,212
1504,YA,326
3602,YA,423
0169,YA,371
0168,YA,331
0001,YA,0
3605,YA,452
0163,YA,350
0162,YA,181
0167,YA,346
4627,YA,85
4608,YA,97
4609,YA,109
4606,YA,281
4604,YA,127
4605,YA,2
4602,YA,139
4603,YA,306
4601,YA,120
3206,YA,328
3205,YA,366
3204,YA,34
3203,YA,335
4628,YA,88
3208,YA,32
1103,YA,231
1101,YA,217
2103,YA,226
2101,YA,297
3904,YA,97
3905,YA,82
3901,YA,312
3902,YA,121
3903,YA,536
3601,YA,31
4618,YA,189
4615,YA,237
4616,YA,108
3104,YA,230
3105,YA,32
3106,YA,266
4003,YA,367
3101,YA,425
3102,YA,211
3103,YA,146
5012,YA,218
5020,YA,168
2501,YA,215
4504,YA,230
5202,YA,0
4501,YA,76
4503,YA,29
3701,YA,195
0156,YA,164
0154,YA,267
0155,YA,284
0153,YA,236
0150,YA,150
4001,YA,85
0701,YA,68
Total,YA,33432
4002,YA,100
0158,YA,140
