Row Label,County,Rob Lawrence-Berrey
COLUMBUS,KT,29
N DALLES,KT,243
ROOSEVELT,KT,49
GLENWOOD,KT,170
HGH PRAIRIE,KT,34
LYLE,KT,258
F VALLEY,KT,225
BINGEN,KT,91
WISHRAM,KT,65
WHITE SALMON,KT,252
ALDER CREEK,KT,104
ALDERDALE,KT,31
N WHITE SALMON,KT,152
PINE FOREST,KT,461
GOLDENDALE 3,KT,199
ORCHARD HTS,KT,145
GOLDENDALE 1,KT,295
N F VALLEY,KT,267
E LYLE,KT,81
E KLICKITAT,KT,70
W KLICKITAT,KT,53
HUSUM,KT,203
TROUT LAKE,KT,186
RIVER,KT,18
CENTERVILLE,KT,186
WOODLAND,KT,503
GOLDENDALE 2,KT,266
MT BROOK,KT,174
Total,KT,4873
APPLETON,KT,63
