Row Label,County,Jeanette A. Lineberry,Karl L. Williams
31-900,PI,148,78
29-680,PI,170,138
31-902,PI,272,164
31-903,PI,2,3
31-904,PI,39,21
31-905,PI,189,112
31-906,PI,101,82
31-907,PI,144,132
31-908,PI,130,85
31-909,PI,142,114
29-640,PI,203,134
29-641,PI,206,136
29-642,PI,218,162
29-643,PI,17,17
29-648,PI,5,2
29-649,PI,52,47
25-239,PI,245,202
25-238,PI,150,90
31-901,PI,29,14
25-235,PI,8,9
25-236,PI,191,141
25-230,PI,61,49
28-588,PI,204,186
28-589,PI,256,162
28-586,PI,211,163
28-587,PI,154,127
28-584,PI,149,135
28-585,PI,270,178
28-582,PI,101,68
28-583,PI,136,114
28-580,PI,46,19
28-581,PI,147,94
25-280,PI,247,199
25-281,PI,175,117
25-282,PI,254,189
02-149,PI,278,168
25-284,PI,130,100
25-285,PI,326,230
25-286,PI,216,175
25-288,PI,251,165
25-289,PI,0,0
02-140,PI,246,190
02-141,PI,258,145
02-146,PI,197,123
02-147,PI,192,117
02-144,PI,232,146
02-145,PI,234,174
27-439,PI,202,172
27-438,PI,186,172
27-435,PI,234,197
27-434,PI,215,187
27-437,PI,159,216
27-436,PI,213,196
27-431,PI,100,79
27-430,PI,248,171
27-433,PI,215,195
27-432,PI,224,190
26-339,PI,59,24
26-338,PI,255,151
26-333,PI,294,179
26-332,PI,234,203
26-331,PI,85,55
26-330,PI,215,122
26-337,PI,303,191
26-336,PI,323,209
26-335,PI,239,145
26-334,PI,296,172
28-515,PI,286,275
28-517,PI,289,258
28-516,PI,245,255
25-237(*),PI,0,0
28-519,PI,277,231
28-518,PI,271,213
31-869,PI,78,81
31-865,PI,65,37
31-861,PI,54,34
26-348,PI,291,170
26-349,PI,331,161
26-346,PI,266,142
26-347,PI,265,148
26-344,PI,43,16
26-345,PI,270,198
26-342,PI,358,159
26-343,PI,259,177
26-340,PI,345,211
26-341,PI,275,166
25-271,PI,241,177
25-270,PI,268,171
25-273,PI,145,120
25-272,PI,253,206
25-274,PI,312,214
25-277,PI,246,167
25-276,PI,13,4
25-279,PI,209,131
25-278,PI,85,74
29-682,PI,214,142
29-683,PI,225,135
31-896(*),PI,0,0
29-619,PI,206,130
29-618,PI,170,127
29-617,PI,180,144
29-616,PI,197,143
29-615,PI,223,182
29-614,PI,201,182
29-613,PI,207,156
29-612,PI,106,77
29-611,PI,41,36
29-610,PI,193,139
28-559,PI,250,164
28-558,PI,213,162
28-551,PI,325,252
28-550,PI,191,144
28-553,PI,299,206
28-552,PI,312,221
28-555,PI,355,214
28-554,PI,274,214
28-557,PI,219,144
28-556,PI,249,151
02-115,PI,195,125
02-114,PI,141,76
02-117,PI,236,155
02-116,PI,225,185
02-111,PI,210,107
25-291,PI,52,42
02-113,PI,154,112
02-112,PI,120,105
02-143,PI,190,100
25-290,PI,18,15
02-119,PI,145,91
02-118,PI,124,130
31-823,PI,118,100
31-822,PI,168,90
31-827,PI,56,34
31-826,PI,193,159
31-825,PI,165,134
31-829,PI,180,99
31-828,PI,177,124
26-302,PI,385,250
26-303,PI,369,217
26-301,PI,95,66
26-304,PI,440,251
26-305,PI,377,250
31-892,PI,136,94
31-890,PI,122,67
27-471,PI,10,5
31-891,PI,60,47
27-475,PI,209,161
27-477,PI,232,181
27-476,PI,180,125
31-897,PI,79,62
31-894,PI,32,16
31-895,PI,133,111
31-856,PI,175,96
31-857,PI,103,64
31-854,PI,103,60
31-855,PI,120,90
31-853,PI,36,22
31-919,PI,168,120
31-917,PI,232,180
31-916,PI,144,140
31-915,PI,34,24
31-914,PI,146,84
31-913,PI,63,57
31-912,PI,114,103
31-911,PI,111,61
31-910,PI,157,115
28-570(*),PI,0,0
29-653,PI,198,146
29-652,PI,22,15
29-651,PI,235,173
29-650,PI,198,141
29-656,PI,163,163
29-655,PI,86,67
29-654,PI,243,151
29-659,PI,129,88
29-658,PI,207,147
25-208,PI,300,207
25-209,PI,268,197
25-201,PI,296,220
25-202,PI,236,165
25-203,PI,263,206
25-204,PI,228,166
25-205,PI,249,193
25-206,PI,170,113
28-590,PI,13,3
29-626,PI,4,2
29-627,PI,0,0
29-624,PI,0,0
29-625,PI,4,2
29-622,PI,141,127
29-623,PI,41,30
29-620,PI,124,75
02-159,PI,125,105
02-158,PI,204,125
02-151,PI,76,65
02-150,PI,225,129
02-153,PI,186,142
02-152,PI,260,169
02-155,PI,234,189
02-154,PI,182,143
02-157,PI,290,210
02-156,PI,304,214
27-408,PI,277,213
27-409,PI,266,195
27-401,PI,118,112
27-404,PI,88,58
27-405,PI,254,233
27-406,PI,377,259
27-407,PI,249,188
28-520,PI,285,211
28-521,PI,303,233
28-522,PI,285,267
28-523,PI,279,263
28-524,PI,320,277
28-525,PI,306,286
28-526,PI,178,191
28-527,PI,337,283
28-528,PI,286,231
28-529,PI,216,186
31-818,PI,55,27
31-819,PI,106,45
31-813,PI,103,61
31-810,PI,118,77
31-816,PI,194,111
31-817,PI,201,134
31-814,PI,27,19
31-815,PI,151,86
26-351,PI,300,170
26-350,PI,291,192
26-352,PI,298,173
31-926,PI,4,3
31-927,PI,168,104
31-924,PI,91,92
31-925,PI,52,34
25-248,PI,315,213
25-249,PI,278,172
31-920,PI,135,100
31-921,PI,147,123
25-244,PI,310,222
25-246,PI,16,21
25-247,PI,219,179
25-240,PI,93,83
25-241,PI,134,95
25-242,PI,268,205
25-243,PI,185,145
25-245(*),PI,0,0
29-621(*),PI,0,0
29-668,PI,174,108
29-669,PI,198,158
29-662,PI,0,0
29-663,PI,195,131
29-660,PI,262,180
29-661,PI,194,113
29-667,PI,224,153
29-664,PI,229,126
28-565,PI,249,124
28-566,PI,244,139
28-567,PI,259,175
28-560,PI,312,241
28-561,PI,185,117
28-562,PI,152,111
28-563,PI,85,60
28-568,PI,286,166
02-148,PI,254,177
02-120,PI,185,127
02-121,PI,220,158
02-122,PI,239,162
02-123,PI,225,178
02-124,PI,191,128
02-125,PI,174,123
02-126,PI,210,173
02-127,PI,138,86
02-128,PI,248,151
