Row Label,County,Charles D. Short
JENNINGS LOOP,OK,19
MOCCASIN LAKE,OK,46
TONASKET CREEK,OK,18
FINLEY CANYON,OK,38
TUNK CREEK,OK,52
NORTH TONASKET,OK,54
FLETCHER,OK,30
GREENACRES,OK,25
OMAK #21,OK,21
BUCKHORN MTN,OK,38
GLOVER,OK,39
OMAK #22,OK,39
OMAK #23,OK,20
OMAK #24,OK,31
WEST CHEWUCH,OK,43
OKANOGAN #13,OK,17
METHOW,OK,44
ELMWAY,OK,26
BREWSTER FLAT,OK,35
TEAL LAKE,OK,26
TONASKET RURAL,OK,20
NORTH STAR,OK,10
NESPELEM CITY,OK,15
VALLEY,OK,31
OMAK RIVER,OK,31
BREWSTER #6,OK,18
OWHI,OK,23
AENEAS CREEK,OK,25
OMAK #19,OK,21
PINE CONE,OK,23
ASTON,OK,23
BREWSTER #2,OK,44
BREWSTER #3,OK,24
BREWSTER RURAL,OK,33
BREWSTER #1,OK,16
WHISKY MTN,OK,10
BREWSTER #4,OK,13
LIME BELT,OK,16
ELLISFORDE,OK,48
ALMA,OK,27
OROVILLE #8,OK,26
AENEAS LAKE,OK,40
OMAK #13,OK,31
SUNSET LAKES,OK,13
OMAK #6,OK,31
PALMER LAKE,OK,36
CARLTON,OK,21
OMAK #5,OK,35
OMAK #2,OK,28
MAZAMA,OK,49
FIKER,OK,28
OMAK #1,OK,20
PATEROS #3,OK,15
PATEROS #2,OK,26
PATEROS #1,OK,33
OKANOGAN #6,OK,30
OMAK #8,OK,16
BLACK CANYON,OK,24
CANAL,OK,30
OKANOGAN #3,OK,16
OKANOGAN #1,OK,22
COLUMBIA,OK,22
OKANOGAN #7,OK,16
TWISP RURAL,OK,28
BONAPARTE,OK,19
GUSTY RIDGE,OK,23
OROVILLE #7,OK,27
ROSS CANYON,OK,35
OKANOGAN #9,OK,27
OROVILLE #4,OK,34
KIPLING,OK,19
LONGANECKER,OK,23
NORTH OMAK,OK,20
OMAK MTN,OK,15
AVIATION,OK,16
RAT LAKE,OK,23
WINTHROP #2,OK,38
OMAK #7,OK,30
OMAK #10,OK,33
TWIN LAKES,OK,53
OMAK #4,OK,28
MOLSON,OK,38
YARNELL,OK,22
WHITESTONE,OK,21
CHEWILIKEN,OK,18
COULEE DAM #4,OK,30
OMAK #3,OK,13
HAVILLAH,OK,38
OMAK #20,OK,33
PINE CREEK,OK,23
EDELWEISS,OK,38
BUFFALO LAKE,OK,20
POORMAN CREEK,OK,57
CHESAW,OK,21
PATEROS RURAL,OK,30
CAYUSE MTN,OK,15
SOURDOUGH,OK,41
HIGHWAY,OK,13
DAVIS LAKE,OK,29
LEECHER MTN,OK,40
SOUTH OROVILLE,OK,43
BEEMAN,OK,47
MYERS CREEK,OK,18
BLUE LAKE,OK,42
POGUE,OK,48
MONSE #3,OK,23
TORODA,OK,44
MONSE #1,OK,38
BOUNDARY,OK,33
OMAK #9,OK,54
TONASKET #6,OK,20
SAN POIL,OK,55
LAKE ANDREWS,OK,36
ENGH,OK,47
OKANOGAN #2,OK,40
ANTOINE CREEK,OK,17
BRIDGE CREEK,OK,24
RIVERSIDE RURAL,OK,63
SPRING COULEE,OK,43
SPECTACLE LAKE,OK,25
AIRPORT,OK,39
DULEY LAKE,OK,21
OROVILLE #9,OK,24
FLATS,OK,25
WINTHROP #1,OK,59
OROVILLE #5,OK,34
OROVILLE #6,OK,21
CROSSROADS,OK,25
OROVILLE #1,OK,28
OROVILLE #2,OK,22
OROVILLE #3,OK,22
LIBBY CREEK,OK,44
OKANOGAN RURAL,OK,27
OKANOGAN #4,OK,36
WEST RIVER,OK,17
BALKY HILL,OK,29
COPPLE,OK,35
OKANOGAN #5,OK,38
MISSION,OK,18
NESPELEM RURAL,OK,20
PATTERSON LAKE,OK,46
MCGINNIS LAKE,OK,11
HORSESHOE LAKE,OK,26
OKANOGAN #8,OK,32
NICHOLS,OK,15
CONCONULLY CITY,OK,56
ORCHARD,OK,24
ELMER CITY,OK,67
MCCLURE MTN,OK,42
ALTA LAKE,OK,27
PEARRYGIN LAKE,OK,25
COLEMAN BUTTE,OK,37
TWISP #4,OK,17
JOHNSON CREEK,OK,42
TWISP #3,OK,42
TWISP #1,OK,54
DUFFYS MTN,OK,21
LOOMIS,OK,27
RIVERSIDE CITY,OK,55
SHORELINE,OK,19
SIMILKAMEEN,OK,19
PIONEER,OK,36
CRUMBACHER,OK,40
OMAK #11,OK,39
OMAK #12,OK,37
LONE PINE,OK,26
OMAK #14,OK,27
OMAK #15,OK,39
OMAK #16,OK,26
OMAK #17,OK,49
PICKENS MTN,OK,26
EDER,OK,25
WANNACUT,OK,45
CAPE LABELLE,OK,21
DIXON,OK,36
JANIS,OK,21
SIWASH CREEK,OK,34
BOSTON,OK,45
CHEROKEE,OK,39
RANCHES,OK,15
WOLF CREEK,OK,40
HENDRICK,OK,51
ELMERTON,OK,64
TONASKET #4,OK,28
FRONTAGE,OK,11
LEESE,OK,13
TONASKET #1,OK,23
OKANOGAN #11,OK,38
TONASKET #3,OK,15
TONASKET #2,OK,30
KERMEL,OK,41
ANGLIN,OK,46
OMAK LAKE,OK,19
SAND FLAT,OK,54
MALOTT,OK,57
DISAUTEL,OK,17
BREWSTER #5,OK,20
BODIE,OK,13
CHILIWIST,OK,28
TONASKET #5,OK,26
AENEAS,OK,28
COULEE DAM #3,OK,26
COULEE DAM #2,OK,31
COULEE DAM #1,OK,54
WESTLAKE,OK,22
TONASKET #7,OK,35
LEWIS BUTTE,OK,46
STARR,OK,21
OKANOGAN #10,OK,34
BEAVER CREEK,OK,25
NORTH MALOTT,OK,45
OKANOGAN #12,OK,20
WAUCONDA,OK,31
WINTHROP RURAL,OK,48
DUCK LAKE,OK,18
EASTSIDE,OK,52
HUDSON,OK,22
NIGHTHAWK,OK,13
CONCONULLY RURAL,OK,29
ANTOINE PEAK,OK,17
OROVILLE #10,OK,35
OMAK #18,OK,24
TWISP #2,OK,33
EASTLAKE,OK,22
Total,OK,6846
MOCK,OK,36
