Row Label,County,Vernon L. Schreiber
669,CR,341
668,CR,384
667,CR,309
664,CR,402
663,CR,282
662,CR,409
660,CR,427
130,CR,391
571,CR,383
490,CR,274
491,CR,26
626,CR,387
692,CR,424
693,CR,243
690,CR,392
691,CR,387
696,CR,448
697,CR,504
694,CR,157
695,CR,416
698,CR,351
699,CR,330
450,CR,469
540,CR,403
340,CR,400
400,CR,230
930,CR,357
452,CR,350
935,CR,388
570,CR,374
678,CR,298
679,CR,276
674,CR,348
675,CR,251
677,CR,377
670,CR,416
672,CR,341
455,CR,290
120,CR,463
575,CR,118
914,CR,409
917,CR,269
528,CR,331
910,CR,380
537,CR,158
415,CR,305
535,CR,489
410,CR,453
913,CR,423
298,CR,244
530,CR,163
296,CR,284
370,CR,291
294,CR,256
912,CR,335
925,CR,340
290,CR,394
538,CR,194
591,CR,488
590,CR,511
593,CR,397
592,CR,465
595,CR,213
594,CR,13
597,CR,37
200,CR,419
598,CR,11
629,CR,358
700,CR,65
190,CR,408
985,CR,322
390,CR,472
110,CR,396
113,CR,219
112,CR,36
250,CR,495
536,CR,243
628,CR,442
524,CR,37
525,CR,242
527,CR,317
520,CR,212
521,CR,7
522,CR,135
523,CR,5
420,CR,389
423,CR,315
255,CR,419
425,CR,300
424,CR,460
360,CR,385
426,CR,526
586,CR,342
587,CR,319
449,CR,513
448,CR,478
582,CR,313
583,CR,306
580,CR,263
581,CR,197
441,CR,391
440,CR,387
447,CR,473
446,CR,369
445,CR,494
444,CR,485
245,CR,428
920,CR,319
108,CR,379
240,CR,459
102,CR,323
100,CR,419
615,CR,173
106,CR,344
649,CR,336
104,CR,397
903,CR,398
900,CR,350
905,CR,407
641,CR,153
640,CR,409
643,CR,389
642,CR,180
645,CR,479
644,CR,410
647,CR,260
646,CR,194
436,CR,240
510,CR,260
434,CR,275
435,CR,267
515,CR,457
430,CR,289
588,CR,235
579,CR,16
578,CR,36
627,CR,388
338,CR,385
625,CR,399
624,CR,99
335,CR,318
451,CR,386
337,CR,347
453,CR,367
577,CR,504
330,CR,406
456,CR,534
574,CR,16
600,CR,207
175,CR,292
257,CR,415
170,CR,315
543,CR,368
596,CR,0
654,CR,275
656,CR,193
710,CR,188
180,CR,336
655,CR,384
652,CR,366
653,CR,350
650,CR,396
651,CR,274
505,CR,452
502,CR,346
503,CR,290
500,CR,407
659,CR,395
630,CR,321
631,CR,455
632,CR,212
633,CR,376
634,CR,346
635,CR,315
636,CR,330
560,CR,389
639,CR,354
545,CR,287
460,CR,581
566,CR,267
225,CR,541
160,CR,322
220,CR,301
964,CR,397
965,CR,351
966,CR,241
967,CR,223
960,CR,437
961,CR,75
962,CR,280
963,CR,304
968,CR,340
969,CR,225
658,CR,348
720,CR,299
947,CR,313
605,CR,357
150,CR,250
153,CR,281
606,CR,67
395,CR,109
603,CR,210
555,CR,474
550,CR,439
553,CR,377
584,CR,366
681,CR,330
959,CR,18
958,CR,70
951,CR,324
950,CR,382
953,CR,180
957,CR,73
638,CR,352
327,CR,418
585,CR,454
325,CR,304
620,CR,434
147,CR,316
618,CR,409
563,CR,450
613,CR,168
610,CR,509
617,CR,397
565,CR,325
511,CR,23
648,CR,329
487,CR,198
485,CR,254
673,CR,438
483,CR,545
573,CR,486
480,CR,532
686,CR,296
432,CR,295
576,CR,4
940,CR,338
470,CR,521
689,CR,412
688,CR,326
350,CR,337
685,CR,103
687,CR,376
Total,CR,79723
572,CR,514
680,CR,309
683,CR,355
682,CR,357
