Row Label,County,James P. Swanger
669,CR,340
668,CR,373
667,CR,306
664,CR,399
663,CR,279
662,CR,404
660,CR,418
130,CR,382
571,CR,381
490,CR,276
491,CR,27
626,CR,382
692,CR,417
693,CR,243
690,CR,385
691,CR,391
696,CR,442
697,CR,501
694,CR,154
695,CR,416
698,CR,348
699,CR,335
450,CR,466
540,CR,399
340,CR,402
400,CR,231
930,CR,355
452,CR,351
935,CR,381
570,CR,375
678,CR,292
679,CR,272
674,CR,344
675,CR,244
677,CR,375
670,CR,403
672,CR,335
455,CR,291
120,CR,455
575,CR,117
914,CR,405
917,CR,268
528,CR,330
910,CR,371
537,CR,156
415,CR,301
535,CR,478
410,CR,453
913,CR,422
298,CR,242
530,CR,160
296,CR,285
370,CR,292
294,CR,251
912,CR,335
925,CR,336
290,CR,387
538,CR,191
591,CR,478
590,CR,505
593,CR,391
592,CR,459
595,CR,210
594,CR,13
597,CR,36
200,CR,412
598,CR,11
629,CR,356
700,CR,70
190,CR,395
985,CR,314
390,CR,467
110,CR,389
113,CR,221
112,CR,36
250,CR,485
536,CR,241
628,CR,443
524,CR,38
525,CR,238
527,CR,310
520,CR,210
521,CR,7
522,CR,135
523,CR,5
420,CR,395
423,CR,322
255,CR,408
425,CR,295
424,CR,461
360,CR,380
426,CR,531
586,CR,347
587,CR,312
449,CR,508
448,CR,482
582,CR,313
583,CR,304
580,CR,256
581,CR,190
441,CR,397
440,CR,384
447,CR,473
446,CR,370
445,CR,491
444,CR,483
245,CR,429
920,CR,314
108,CR,375
240,CR,455
102,CR,311
100,CR,410
615,CR,170
106,CR,348
649,CR,338
104,CR,388
903,CR,393
900,CR,349
905,CR,402
641,CR,153
640,CR,406
643,CR,378
642,CR,177
645,CR,474
644,CR,397
647,CR,255
646,CR,193
436,CR,224
510,CR,265
434,CR,268
435,CR,267
515,CR,451
430,CR,283
588,CR,233
579,CR,15
578,CR,34
627,CR,388
338,CR,376
625,CR,397
624,CR,96
335,CR,312
451,CR,387
337,CR,344
453,CR,371
577,CR,495
330,CR,402
456,CR,528
574,CR,16
600,CR,201
175,CR,286
257,CR,413
170,CR,307
543,CR,361
596,CR,0
654,CR,279
656,CR,194
710,CR,186
180,CR,334
655,CR,385
652,CR,362
653,CR,343
650,CR,391
651,CR,267
505,CR,451
502,CR,346
503,CR,288
500,CR,409
659,CR,386
630,CR,319
631,CR,452
632,CR,205
633,CR,375
634,CR,351
635,CR,310
636,CR,328
560,CR,396
639,CR,352
545,CR,279
460,CR,571
566,CR,274
225,CR,529
160,CR,311
220,CR,298
964,CR,401
965,CR,338
966,CR,233
967,CR,222
960,CR,438
961,CR,74
962,CR,276
963,CR,309
968,CR,336
969,CR,220
658,CR,340
720,CR,299
947,CR,310
605,CR,352
150,CR,249
153,CR,270
606,CR,67
395,CR,110
603,CR,208
555,CR,457
550,CR,426
553,CR,371
584,CR,358
681,CR,325
959,CR,17
958,CR,69
951,CR,317
950,CR,377
953,CR,177
957,CR,75
638,CR,354
327,CR,410
585,CR,455
325,CR,301
620,CR,420
147,CR,308
618,CR,399
563,CR,449
613,CR,165
610,CR,506
617,CR,391
565,CR,324
511,CR,24
648,CR,323
487,CR,195
485,CR,251
673,CR,433
483,CR,536
573,CR,485
480,CR,525
686,CR,294
432,CR,297
576,CR,4
940,CR,335
470,CR,517
689,CR,413
688,CR,326
350,CR,328
685,CR,102
687,CR,376
Total,CR,78909
572,CR,500
680,CR,308
683,CR,349
682,CR,352
