Row Label,County,Tristen Worthen,Laurie Miller
PRECINCT 107,DG,93,65
PRECINCT 106,DG,72,88
PRECINCT 105,DG,59,68
PRECINCT 104,DG,310,143
PRECINCT 103,DG,49,31
PRECINCT 102,DG,221,149
PRECINCT 101,DG,139,71
PRECINCT 109,DG,70,53
PRECINCT 108,DG,71,101
PRECINCT 305,DG,89,51
PRECINCT 304,DG,36,20
PRECINCT 307,DG,25,22
PRECINCT 306,DG,68,77
PRECINCT 208,DG,89,65
PRECINCT 209,DG,164,125
PRECINCT 303,DG,126,72
PRECINCT 302,DG,194,118
PRECINCT 204,DG,135,150
PRECINCT 205,DG,291,144
PRECINCT 206,DG,67,95
PRECINCT 207,DG,168,145
PRECINCT 309,DG,52,29
PRECINCT 201,DG,109,88
PRECINCT 202,DG,53,47
PRECINCT 203,DG,112,144
PRECINCT 311,DG,94,52
PRECINCT 310,DG,64,46
PRECINCT 316,DG,130,142
PRECINCT 308,DG,44,9
PRECINCT 314,DG,26,17
PRECINCT 315,DG,205,133
PRECINCT 114,DG,95,66
PRECINCT 110,DG,136,103
PRECINCT 111,DG,173,168
PRECINCT 112,DG,92,103
PRECINCT 113,DG,91,83
PRECINCT 318,DG,51,37
PRECINCT 312,DG,94,79
PRECINCT 313,DG,44,11
PRECINCT 215,DG,136,113
PRECINCT 214,DG,37,35
PRECINCT 213,DG,149,55
PRECINCT 212,DG,97,93
PRECINCT 211,DG,65,23
PRECINCT 210,DG,55,47
PRECINCT 317,DG,195,195
PRECINCT 301,DG,198,170
Total,DG,5133,3941
