Row Label,County,Steve Jenkins
PRECINCT 107,DG,129
PRECINCT 106,DG,144
PRECINCT 105,DG,107
PRECINCT 104,DG,382
PRECINCT 103,DG,68
PRECINCT 102,DG,311
PRECINCT 101,DG,161
PRECINCT 109,DG,115
PRECINCT 108,DG,153
PRECINCT 305,DG,134
PRECINCT 304,DG,57
PRECINCT 307,DG,40
PRECINCT 306,DG,134
PRECINCT 208,DG,131
PRECINCT 209,DG,240
PRECINCT 303,DG,193
PRECINCT 302,DG,263
PRECINCT 204,DG,239
PRECINCT 205,DG,325
PRECINCT 206,DG,132
PRECINCT 207,DG,281
PRECINCT 309,DG,77
PRECINCT 201,DG,189
PRECINCT 202,DG,76
PRECINCT 203,DG,219
PRECINCT 311,DG,113
PRECINCT 310,DG,93
PRECINCT 316,DG,232
PRECINCT 308,DG,39
PRECINCT 314,DG,38
PRECINCT 315,DG,266
PRECINCT 114,DG,141
PRECINCT 110,DG,208
PRECINCT 111,DG,273
PRECINCT 112,DG,165
PRECINCT 113,DG,160
PRECINCT 318,DG,77
PRECINCT 312,DG,147
PRECINCT 313,DG,53
PRECINCT 215,DG,214
PRECINCT 214,DG,61
PRECINCT 213,DG,140
PRECINCT 212,DG,160
PRECINCT 211,DG,69
PRECINCT 210,DG,89
PRECINCT 317,DG,348
PRECINCT 301,DG,316
Total,DG,7702
