Row Label,County,Harvey Gjesdal
PRECINCT 107,DG,136
PRECINCT 106,DG,145
PRECINCT 105,DG,112
PRECINCT 104,DG,391
PRECINCT 103,DG,70
PRECINCT 102,DG,329
PRECINCT 101,DG,179
PRECINCT 109,DG,116
PRECINCT 108,DG,159
PRECINCT 305,DG,130
PRECINCT 304,DG,52
PRECINCT 307,DG,39
PRECINCT 306,DG,142
PRECINCT 208,DG,131
PRECINCT 209,DG,266
PRECINCT 303,DG,185
PRECINCT 302,DG,292
PRECINCT 204,DG,253
PRECINCT 205,DG,347
PRECINCT 206,DG,140
PRECINCT 207,DG,297
PRECINCT 309,DG,69
PRECINCT 201,DG,189
PRECINCT 202,DG,78
PRECINCT 203,DG,230
PRECINCT 311,DG,117
PRECINCT 310,DG,100
PRECINCT 316,DG,249
PRECINCT 308,DG,43
PRECINCT 314,DG,38
PRECINCT 315,DG,288
PRECINCT 114,DG,143
PRECINCT 110,DG,225
PRECINCT 111,DG,294
PRECINCT 112,DG,178
PRECINCT 113,DG,172
PRECINCT 318,DG,80
PRECINCT 312,DG,156
PRECINCT 313,DG,53
PRECINCT 215,DG,225
PRECINCT 214,DG,61
PRECINCT 213,DG,147
PRECINCT 212,DG,169
PRECINCT 211,DG,68
PRECINCT 210,DG,90
PRECINCT 317,DG,365
PRECINCT 301,DG,346
Total,DG,8084
