Row Label,County,Marilyn G. Paja
LEMOLO 435,KP,266
ANNAPOLIS 212,KP,414
MEADOWDALE 150,KP,235
BELLA VISTA 413,KP,245
LIGHTHOUSE POINT 292,KP,357
CLEAR CREEK 120,KP,302
AUGUSTA 461,KP,205
HEINS CREEK 297,KP,0
HANSVILLE 415,KP,189
TORVANGER 345,KP,351
BREMERTON 012,KP,72
BREMERTON 013,KP,258
BREMERTON 015,KP,302
BREMERTON 016,KP,71
WINSLOW 304,KP,520
HIGHLAND 423,KP,178
LAKE HELENA 214,KP,296
DICKENSON 282,KP,326
UNIVERSITY POINT 142,KP,229
SANDY HOOK 464,KP,227
BARKER CREEK 147,KP,388
BAYVIEW 087,KP,93
ISLAND CENTER 320,KP,298
EVERGREEN RIDGE 426,KP,134
REGAL 131,KP,91
COUNTRY CLUB 113,KP,193
POULSBO 405,KP,347
POULSBO 404,KP,372
POULSBO 407,KP,270
POULSBO 406,KP,411
SEDGWICK 272,KP,394
BERRY LAKE 279,KP,202
POULSBO 403,KP,306
EBBERT 247,KP,346
ILLAHEE 065,KP,378
COTTONWOOD 125,KP,296
MARION 090,KP,66
OLYMPIC 099,KP,44
GILBERTON 140,KP,274
STRIEBEL 453,KP,276
AZALEA 302,KP,370
YUKON 241,KP,229
FOREST RIDGE 126,KP,210
FAIRVIEW 135,KP,191
ANDERSON CREEK 163,KP,263
PORT GAMBLE 450,KP,315
RAINIER 067,KP,368
BRASCH 213,KP,352
GAMBLEWOOD 454,KP,211
CENTRAL VALLEY 128,KP,376
HOLLY 158,KP,98
BURLEY 218,KP,311
LUOTO 122,KP,175
POINT JEFFERSON 419,KP,238
BREMERTON 296,KP,0
MORKEN 161,KP,434
INDIANOLA 420,KP,403
TWIN LAKES 285,KP,90
BELFAIR VALLEY 280,KP,102
KARIOTIS 143,KP,344
TRACYTON 170,KP,228
ROCKY POINT 083,KP,398
HERITAGE PARK 112,KP,222
BREMERTON 294,KP,0
ORCA 421,KP,232
BREMERTON 293,KP,2
MINTERBROOK 216,KP,161
ALASKA 221,KP,390
GLENWOOD 232,KP,408
MEADOWMEER 321,KP,140
APEX 162,KP,360
OLALLA 265,KP,225
WINSTON 129,KP,146
RIDGETOP 149,KP,255
EAGLE CREST 164,KP,390
LOCKER 246,KP,396
BROWNSVILLE 105,KP,424
KINGSTON 430,KP,475
VENA 173,KP,301
CEDAR 211,KP,309
BREMERTON 041,KP,240
BREMERTON 040,KP,274
POULSBO 401,KP,447
BREMERTON 046,KP,286
CAMBRIDGE 144,KP,223
BREMERTON 056,KP,263
TWIN SPITS 417,KP,347
BIG VALLEY 441,KP,214
CHARLAND 110,KP,247
SKIFF POINT 328,KP,268
LOST HIGHWAY 157,KP,332
TRIDENT 101,KP,80
WILSON CREEK 242,KP,268
SYLVAN 066,KP,330
PORT ORCHARD 201,KP,279
EVERGREEN 257,KP,457
FERNWOOD 230,KP,365
MANCHESTER 255,KP,273
SUNNYSLOPE 281,KP,265
LOFALL 442,KP,448
BLAKELY 310,KP,262
PORT ORCHARD 207,KP,314
WOODMERE 127,KP,408
BREMERTON 058,KP,327
UELAND 082,KP,0
WATERMAN 295,KP,193
BREMERTON 054,KP,183
PIONEER 152,KP,371
SILVERDALE 160,KP,345
BREMERTON 051,KP,34
BREMERTON 052,KP,208
BREMERTON 053,KP,405
SEABECK 155,KP,415
POWERLINE 086,KP,3
PARKWOOD 270,KP,389
ISLAND LAKE 427,KP,313
BREMERTON 109,KP,31
BREIDABLIK 410,KP,339
BREMERTON 107,KP,0
WHISPERING PINES 227,KP,343
FRAGARIA 259,KP,252
LOVGREN 332,KP,182
BANDIX 263,KP,313
FORT WARD 318,KP,315
FUSON 175,KP,322
HARPER 240,KP,284
WILLOCK 258,KP,268
LIBERTY 325,KP,277
PORT ORCHARD 203,KP,177
SPRING CREEK 217,KP,236
MULLENIX 260,KP,385
LARSON 153,KP,395
FINCH 314,KP,218
ROLLING BAY 330,KP,287
BREMERTON 029,KP,262
TOTTEN 463,KP,284
WOODRIDGE 222,KP,185
MANZANITA 336,KP,206
OLD FRONTIER 106,KP,367
BREMERTON 022,KP,228
NEBRASKA 223,KP,322
EAGLE HARBOR 317,KP,230
NEW BROOKLYN 322,KP,198
TOLO 333,KP,269
FERNCLIFF 315,KP,460
S&#39;KLALLAM 418,KP,34
KITSAP LAKE 085,KP,24
PORT ORCHARD 202,KP,379
NAVY YARD CITY 095,KP,329
PORT ORCHARD 200,KP,170
SANTA FE 148,KP,298
PORT ORCHARD 206,KP,0
FIRGLADE 137,KP,219
PORT ORCHARD 204,KP,264
PORT ORCHARD 205,KP,680
HUNTER 219,KP,251
CONIFER 271,KP,195
PORT ORCHARD 208,KP,0
PORT ORCHARD 209,KP,0
KEYPORT 425,KP,393
SCANDIA 455,KP,318
PORT MADISON 340,KP,264
ALPINE 111,KP,267
LUNDBERG 250,KP,362
POINT NO POINT 416,KP,456
VINLAND 412,KP,374
LINCOLN 440,KP,256
BREMERTON 032,KP,46
OVERLOOK 267,KP,290
BREMERTON 030,KP,262
BREMERTON 031,KP,144
BREMERTON 037,KP,397
APPLE TREE 422,KP,360
ERLANDS POINT 130,KP,228
RIDGEPOINT 141,KP,246
PERRY 073,KP,194
CRYSTAL SPRINGS 312,KP,409
CRESCENT VALLEY 266,KP,309
SHERMAN HEIGHTS 278,KP,8
SPINNAKER 146,KP,239
SINCLAIR 275,KP,162
PORT ORCHARD 215,KP,0
BLUE HERON 301,KP,455
SYMINGTON 151,KP,171
PORT ORCHARD 210,KP,228
FRONTIER 102,KP,366
RIDGEWAY 084,KP,83
WING POINT 305,KP,242
PEARSON 445,KP,429
BREMERTON 114,KP,0
SEABOLD 335,KP,361
TIBARDIS 139,KP,156
BREMERTON 007,KP,5
BREMERTON 006,KP,192
BREMERTON 005,KP,207
SUQUAMISH 460,KP,261
BREMERTON 003,KP,284
BREMERTON 002,KP,115
BREMERTON 001,KP,175
BUCKLIN 121,KP,373
MADRONA 269,KP,270
DRIVE-IN 283,KP,7
MILLER BAY 458,KP,371
CONVERSE 252,KP,301
LONG LAKE 245,KP,206
BREMERTON 088,KP,51
BREMERTON 159,KP,183
SUTTON 165,KP,213
OLYMPIC VIEW 103,KP,251
Total,KP,53258
