Row Label,County,Stephen J. Holman
LEMOLO 435,KP,271
ANNAPOLIS 212,KP,410
MEADOWDALE 150,KP,238
BELLA VISTA 413,KP,248
LIGHTHOUSE POINT 292,KP,344
CLEAR CREEK 120,KP,298
AUGUSTA 461,KP,205
HEINS CREEK 297,KP,0
HANSVILLE 415,KP,192
TORVANGER 345,KP,359
BREMERTON 012,KP,70
BREMERTON 013,KP,253
BREMERTON 015,KP,301
BREMERTON 016,KP,75
WINSLOW 304,KP,526
HIGHLAND 423,KP,177
LAKE HELENA 214,KP,285
DICKENSON 282,KP,324
UNIVERSITY POINT 142,KP,229
SANDY HOOK 464,KP,229
BARKER CREEK 147,KP,375
BAYVIEW 087,KP,93
ISLAND CENTER 320,KP,304
EVERGREEN RIDGE 426,KP,130
REGAL 131,KP,91
COUNTRY CLUB 113,KP,192
POULSBO 405,KP,347
POULSBO 404,KP,373
POULSBO 407,KP,266
POULSBO 406,KP,405
SEDGWICK 272,KP,388
BERRY LAKE 279,KP,200
POULSBO 403,KP,306
EBBERT 247,KP,340
ILLAHEE 065,KP,381
COTTONWOOD 125,KP,300
MARION 090,KP,66
OLYMPIC 099,KP,43
GILBERTON 140,KP,269
STRIEBEL 453,KP,278
AZALEA 302,KP,380
YUKON 241,KP,229
FOREST RIDGE 126,KP,206
FAIRVIEW 135,KP,193
ANDERSON CREEK 163,KP,263
PORT GAMBLE 450,KP,320
RAINIER 067,KP,349
BRASCH 213,KP,350
GAMBLEWOOD 454,KP,212
CENTRAL VALLEY 128,KP,378
HOLLY 158,KP,99
BURLEY 218,KP,312
LUOTO 122,KP,172
POINT JEFFERSON 419,KP,239
BREMERTON 296,KP,0
MORKEN 161,KP,435
INDIANOLA 420,KP,404
TWIN LAKES 285,KP,90
BELFAIR VALLEY 280,KP,102
KARIOTIS 143,KP,352
TRACYTON 170,KP,227
ROCKY POINT 083,KP,397
HERITAGE PARK 112,KP,222
BREMERTON 294,KP,0
ORCA 421,KP,242
BREMERTON 293,KP,2
MINTERBROOK 216,KP,159
ALASKA 221,KP,386
GLENWOOD 232,KP,409
MEADOWMEER 321,KP,149
APEX 162,KP,358
OLALLA 265,KP,229
WINSTON 129,KP,147
RIDGETOP 149,KP,258
EAGLE CREST 164,KP,382
LOCKER 246,KP,391
BROWNSVILLE 105,KP,423
KINGSTON 430,KP,468
VENA 173,KP,295
CEDAR 211,KP,295
BREMERTON 041,KP,235
BREMERTON 040,KP,271
POULSBO 401,KP,445
BREMERTON 046,KP,287
CAMBRIDGE 144,KP,222
BREMERTON 056,KP,262
TWIN SPITS 417,KP,353
BIG VALLEY 441,KP,217
CHARLAND 110,KP,244
SKIFF POINT 328,KP,281
LOST HIGHWAY 157,KP,344
TRIDENT 101,KP,79
WILSON CREEK 242,KP,267
SYLVAN 066,KP,324
PORT ORCHARD 201,KP,267
EVERGREEN 257,KP,456
FERNWOOD 230,KP,363
MANCHESTER 255,KP,256
SUNNYSLOPE 281,KP,257
LOFALL 442,KP,449
BLAKELY 310,KP,266
PORT ORCHARD 207,KP,313
WOODMERE 127,KP,399
BREMERTON 058,KP,320
UELAND 082,KP,0
WATERMAN 295,KP,200
BREMERTON 054,KP,184
PIONEER 152,KP,379
SILVERDALE 160,KP,337
BREMERTON 051,KP,36
BREMERTON 052,KP,203
BREMERTON 053,KP,405
SEABECK 155,KP,421
POWERLINE 086,KP,3
PARKWOOD 270,KP,386
ISLAND LAKE 427,KP,317
BREMERTON 109,KP,30
BREIDABLIK 410,KP,346
BREMERTON 107,KP,0
WHISPERING PINES 227,KP,337
FRAGARIA 259,KP,253
LOVGREN 332,KP,186
BANDIX 263,KP,314
FORT WARD 318,KP,339
FUSON 175,KP,319
HARPER 240,KP,280
WILLOCK 258,KP,263
LIBERTY 325,KP,299
PORT ORCHARD 203,KP,176
SPRING CREEK 217,KP,230
MULLENIX 260,KP,385
LARSON 153,KP,392
FINCH 314,KP,227
ROLLING BAY 330,KP,298
BREMERTON 029,KP,259
TOTTEN 463,KP,278
WOODRIDGE 222,KP,187
MANZANITA 336,KP,216
OLD FRONTIER 106,KP,372
BREMERTON 022,KP,226
NEBRASKA 223,KP,325
EAGLE HARBOR 317,KP,236
NEW BROOKLYN 322,KP,203
TOLO 333,KP,284
FERNCLIFF 315,KP,465
S&#39;KLALLAM 418,KP,33
KITSAP LAKE 085,KP,24
PORT ORCHARD 202,KP,377
NAVY YARD CITY 095,KP,333
PORT ORCHARD 200,KP,168
SANTA FE 148,KP,299
PORT ORCHARD 206,KP,0
FIRGLADE 137,KP,215
PORT ORCHARD 204,KP,262
PORT ORCHARD 205,KP,667
HUNTER 219,KP,244
CONIFER 271,KP,192
PORT ORCHARD 208,KP,0
PORT ORCHARD 209,KP,0
KEYPORT 425,KP,396
SCANDIA 455,KP,311
PORT MADISON 340,KP,264
ALPINE 111,KP,268
LUNDBERG 250,KP,361
POINT NO POINT 416,KP,466
VINLAND 412,KP,371
LINCOLN 440,KP,253
BREMERTON 032,KP,47
OVERLOOK 267,KP,288
BREMERTON 030,KP,260
BREMERTON 031,KP,144
BREMERTON 037,KP,395
APPLE TREE 422,KP,359
ERLANDS POINT 130,KP,234
RIDGEPOINT 141,KP,245
PERRY 073,KP,195
CRYSTAL SPRINGS 312,KP,420
CRESCENT VALLEY 266,KP,308
SHERMAN HEIGHTS 278,KP,8
SPINNAKER 146,KP,239
SINCLAIR 275,KP,164
PORT ORCHARD 215,KP,0
BLUE HERON 301,KP,463
SYMINGTON 151,KP,168
PORT ORCHARD 210,KP,230
FRONTIER 102,KP,372
RIDGEWAY 084,KP,83
WING POINT 305,KP,254
PEARSON 445,KP,423
BREMERTON 114,KP,0
SEABOLD 335,KP,376
TIBARDIS 139,KP,158
BREMERTON 007,KP,5
BREMERTON 006,KP,191
BREMERTON 005,KP,205
SUQUAMISH 460,KP,263
BREMERTON 003,KP,284
BREMERTON 002,KP,114
BREMERTON 001,KP,169
BUCKLIN 121,KP,375
MADRONA 269,KP,272
DRIVE-IN 283,KP,7
MILLER BAY 458,KP,373
CONVERSE 252,KP,301
LONG LAKE 245,KP,203
BREMERTON 088,KP,50
BREMERTON 159,KP,180
SUTTON 165,KP,225
OLYMPIC VIEW 103,KP,254
Total,KP,53286
