Row Label,County,Jill Landes,Cheryl Potebnya
601 Queets,JE,22,10
704 Port Townsend,JE,131,90
101 Gardiner,JE,94,55
501 Port Ludlow I,JE,219,337
200 Coyle,JE,107,90
708 Port Townsend,JE,341,254
302 Center I,JE,140,106
702 Port Townsend,JE,157,107
306 Irondale II,JE,245,188
300 Chimacum I,JE,158,144
102 Port Discovery,JE,111,72
105 Discovery Bay,JE,261,191
305 Irondale I,JE,190,131
710 Port Townsend,JE,201,155
500 Port Ludlow,JE,202,251
106 North Jacob,JE,194,150
503 Port Ludlow III,JE,147,158
301 Chimacum II,JE,103,84
706 Port Townsend,JE,383,289
401 Nordland,JE,232,204
502 Port Ludlow II,JE,171,169
505 Port Ludlow V,JE,180,169
709 Port Townsend,JE,283,235
303 Hadlock,JE,237,193
304 Kala Point,JE,281,239
107 South Jacob,JE,269,186
201 Quilcene,JE,247,216
308 Center II,JE,97,68
705 Port Townsend,JE,158,126
204 Brinnon,JE,282,210
707 Port Townsend,JE,315,272
104 Cape George,JE,252,211
103 Crocker,JE,86,65
600 Hoh,JE,17,11
703 Port Townsend,JE,183,129
700 Port Townsend,JE,257,191
504 Port Ludlow IV,JE,129,86
Total,JE,7347,6079
701 Port Townsend,JE,111,108
307 Four Corners,JE,154,129
