Row Label,County,Dawn M. Bettinger,Janet Garrow,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 41-3554,KI,75,140,416,66,281,0,0
RIVERBEND,KI,95,135,762,111,345,0,4
N-B 05-2683,KI,101,131,706,113,351,0,6
PROVAN,KI,93,134,551,112,340,1,0
TWIN PEAKS,KI,109,161,700,127,401,0,4
BEL 48-1023,KI,48,107,322,51,206,0,0
KIR 48-2731,KI,52,95,483,86,233,0,0
SAM 45-3293,KI,105,142,661,134,382,0,1
SAM 41-0816,KI,96,172,687,116,385,0,1
SAM 45-3298,KI,87,118,523,91,297,0,1
BEL 41-0211,KI,41,132,373,55,229,0,1
BEL 41-0210,KI,34,100,367,52,186,0,0
KIR 01-2678,KI,93,179,695,101,375,0,2
BEL 41-0219,KI,59,133,623,70,264,0,2
SAM 41-2973,KI,94,206,723,134,434,0,0
KIR 01-2923,KI,67,152,642,91,311,0,1
MED 48-0750,KI,65,194,661,130,389,0,0
MED 48-0751,KI,64,162,510,105,331,0,0
BEL 48-2559,KI,55,127,431,76,259,0,1
RED 48-3208,KI,45,61,415,49,156,0,1
SAM 45-2575,KI,103,262,770,129,496,0,2
WINTERGREEN,KI,47,65,279,48,161,0,1
WOD 45-2680,KI,74,206,627,103,384,0,1
ISS 05-0550,KI,36,73,300,58,172,0,5
KIR 45-2730,KI,83,132,686,82,298,0,1
GRAFF,KI,9,28,105,27,64,0,0
RED 48-3664,KI,48,110,594,85,243,0,0
BEL 41-2782,KI,24,39,183,17,81,0,1
KIR 48-2788,KI,42,99,354,73,215,0,1
KIR 48-2922,KI,62,88,504,92,242,0,0
KIR 45-0554,KI,48,95,451,56,200,0,1
NEW 41-3578,KI,46,60,396,48,156,0,2
KIR 45-2679,KI,117,153,614,109,379,0,0
ISS 05-2461,KI,91,171,572,101,364,0,1
N-B 05-0858,KI,47,82,469,91,222,0,2
RED 48-2640,KI,40,100,356,68,208,0,0
SEAN,KI,109,129,690,128,367,0,1
HOLLYMORE,KI,63,178,525,95,337,0,1
KIR 45-2471,KI,111,230,720,109,453,0,3
ISABELLA,KI,106,182,660,119,409,0,2
KIR 01-3422,KI,57,135,546,74,266,0,0
MOUNT CLARE,KI,80,170,571,96,348,0,2
ALDARRA,KI,96,182,711,156,434,0,0
EDGEHILL,KI,13,17,67,14,44,0,0
BIG BEND,KI,31,48,216,45,124,0,0
BEL 48-2412,KI,32,91,308,45,168,0,0
RED 48-2628,KI,47,88,472,76,211,0,0
KIR 45-2786,KI,32,133,351,71,236,0,0
TIGER MTN,KI,99,204,742,140,447,3,1
SHANGRI-LA,KI,60,114,394,56,233,0,3
RED 45-3315,KI,95,275,705,130,503,0,3
BEL 48-2778,KI,26,87,243,35,148,0,0
BEL 48-2773,KI,29,73,287,40,142,0,0
BEL 48-2772,KI,44,95,345,66,205,0,0
BEL 48-2777,KI,23,47,229,19,89,0,0
BEL 48-2776,KI,68,140,495,65,274,1,0
BEL 48-2775,KI,36,145,478,81,264,0,2
BEL 48-2774,KI,63,71,434,51,186,0,1
BEL 41-3671,KI,32,86,337,46,164,0,0
COUNTRYSIDE,KI,83,117,667,80,280,0,0
SAM 41-3384,KI,92,159,764,139,391,0,1
SAM 41-3385,KI,71,155,616,102,328,0,0
M-I 41-0756,KI,85,191,738,125,402,0,1
SNQ 05-3511,KI,123,155,860,197,477,0,2
M-I 41-0757,KI,36,121,403,73,231,0,1
KIR 45-3198,KI,55,65,492,60,182,0,2
KIR 45-3199,KI,52,125,416,64,241,0,0
BEL 41-3695,KI,32,101,390,49,183,0,1
ISS 05-3634,KI,39,68,422,83,190,0,0
BOT 01-1207,KI,65,128,553,89,282,0,0
HOLLYWOOD,KI,69,155,538,135,359,0,0
BEL 41-3593,KI,45,86,534,51,182,0,0
CAR 05-0290,KI,70,108,512,98,276,0,0
M-I 41-0759,KI,40,113,379,57,211,0,1
BEL 48-0188,KI,45,104,472,94,244,0,1
BEL 48-0189,KI,42,106,523,84,232,0,0
BEL 48-0186,KI,23,79,277,62,165,0,1
BROOKSIDE,KI,70,169,548,106,345,0,0
RING HILL,KI,104,228,757,152,488,0,4
ISS 41-2733,KI,85,224,843,148,462,0,5
KIR 45-3109,KI,61,103,469,66,230,0,0
BEL 41-3608,KI,59,194,714,96,349,0,0
KIR 45-3450,KI,19,54,251,52,125,0,0
SAM 41-2690,KI,57,121,526,92,271,0,1
RIDGE,KI,76,206,669,106,393,0,5
KINGLET,KI,52,95,532,80,227,0,0
SAM 45-3454,KI,37,49,233,30,116,0,0
KIR 01-3678,KI,40,86,349,66,193,0,1
WOD 45-3270,KI,69,144,612,85,298,0,0
ISS 05-3527,KI,53,124,587,71,249,0,1
BOT 01-3661,KI,76,108,528,60,245,0,1
BEL 41-1235,KI,35,87,334,58,180,0,0
N-B 05-0859,KI,56,128,487,107,291,0,0
